MSE, Q-LIKE
   0.00000,   0.02597
   0.00000,  -0.15241
   0.00000,  -0.22772
   0.00000,   0.09915
   0.00000,  -0.03248
   0.00000,  -0.13835
   0.00000,  -0.51047
   0.00000,  -0.27775
   0.00000,  -0.45027
   0.00000,  -0.13682
   0.00000,  -0.41114
   0.00000,  -0.32975
   0.00000,  -0.27085
   0.00000,  -0.80518
   0.00000,   0.02929
   0.00000,  -0.05877
   0.00000,  -0.24192
   0.00000,  -0.11664
   0.00000,  -0.17520
   0.00000,  -0.09115
   0.00000,  -0.08682
   0.00000,  -0.19133
   0.00000,  -0.41828
   0.00000,  -0.15398
   0.00000,   0.03881
   0.00000,  -0.46545
   0.00000,  -0.39159
   0.00000,   0.09370
   0.00000,  -0.12705
   0.00000,  -0.19673
   0.00000,  -0.21666
   0.00000,  -0.04794
   0.00000,  -0.16438
   0.00000,  -0.14226
   0.00000,  -0.15589
   0.00000,  -0.16652
   0.00000,  -0.63375
   0.00000,  -0.38545
   0.00000,  -0.37906
   0.00000,  -0.51582
   0.00000,  -0.44654
   0.00000,  -0.48573
   0.00000,  -0.49558
   0.00000,   0.46396
   0.00000,  -0.12688
   0.00000,  -0.28008
   0.00000,  -0.52757
   0.00000,  -0.24409
   0.00000,  -0.45632
   0.00000,  -0.28162
   0.00000,  -0.45408
   0.00000,  -0.32908
   0.00000,  -0.68329
   0.00000,  -0.38874
   0.00000,  -0.63782
   0.00000,  -0.14147
   0.00000,  -0.58816
   0.00000,  -0.56933
   0.00000,  -0.34870
   0.00000,  -0.17176
   0.00000,  -0.46639
   0.00000,  -0.47191
   0.00000,  -0.73253
   0.00000,  -0.32174
   0.00000,  -0.47251
   0.00000,  -0.69962
   0.00000,  -0.52145
   0.00000,  -0.52053
   0.00000,  -0.42883
   0.00000,  -0.42422
   0.00000,  -0.39238
   0.00000,  -0.43508
   0.00000,  -0.22543
   0.00000,  -1.03485
   0.00000,  -0.53243
   0.00000,  -0.39306
   0.00000,  -0.51855
   0.00000,  -0.85116
   0.00000,  -0.56060
   0.00000,  -1.15620
   0.00000,   0.28180
   0.00000,  -0.27584
   0.00000,  -0.55612
   0.00000,  -0.68394
   0.00000,  -0.48574
   0.00000,   0.01382
   0.00000,  -0.73154
   0.00000,  -0.57643
   0.00000,  -0.54321
   0.00000,  -0.54338
   0.00000,  -0.37075
   0.00000,  -0.91210
   0.00000,  -0.45986
   0.00000,  -0.48295
   0.00000,  -0.44230
   0.00000,  -0.36872
   0.00000,  -0.47876
   0.00000,  -0.87005
   0.00000,  -0.95683
   0.00000,  -0.86357
   0.00000,  -0.81731
   0.00000,  -0.86542
   0.00000,  -0.85862
   0.00000,  -1.24757
   0.00000,  -0.99780
   0.00000,  -0.39528
   0.00000,  -1.29638
   0.00000,  -0.90997
   0.00000,  -0.78533
   0.00000,  -0.61513
   0.00000,  -1.08828
   0.00000,  -1.35446
   0.00000,  -0.91619
   0.00000,  -1.09459
   0.00000,  -0.83584
   0.00000,  -0.76623
   0.00000,  -1.36188
   0.00000,  -1.13168
   0.00000,  -0.96179
   0.00000,  -1.48084
   0.00000,  -1.81029
   0.00000,  -0.52761
   0.00000,  -1.12266
   0.00000,  -0.91600
   0.00000,  -0.97406
   0.00000,  -1.46108
   0.00000,  -1.56986
   0.00000,  -1.54873
   0.00000,  -0.87554
   0.00000,  -1.17601
   0.00000,  -0.86575
   0.00000,  -0.79318
   0.00000,  -0.71640
   0.00000,  -0.70484
   0.00000,  -0.49236
   0.00000,  -0.56248
   0.00000,  -0.79089
   0.00000,  -0.65149
   0.00000,  -1.53628
   0.00000,  -0.69383
   0.00000,  -0.96078
   0.00000,  -0.93935
   0.00000,  -1.07547
   0.00000,  -1.19136
   0.00000,  -1.09569
   0.00000,  -1.07709
   0.00000,  -0.70610
   0.00000,  -1.11343
   0.00000,  -1.66138
   0.00000,  -0.70704
   0.00000,  -0.97504
   0.00000,  -0.80459
   0.00000,  -0.71204
   0.00000,  -0.94400
   0.00000,  -1.04449
   0.00000,  -0.68172
   0.00000,  -0.69593
   0.00000,  -0.92190
   0.00000,  -1.15169
   0.00000,  -1.68088
   0.00000,  -1.18574
   0.00000,  -0.92952
   0.00000,  -1.01826
   0.00000,  -1.75742
   0.00000,  -1.27287
   0.00000,  -1.53344
   0.00000,  -0.99137
   0.00000,  -1.29962
   0.00000,  -0.80698
   0.00000,  -0.89689
   0.00000,  -1.25873
   0.00000,  -0.86577
   0.00000,  -0.93520
   0.00000,  -0.96748
   0.00000,  -1.03846
   0.00000,  -1.01540
   0.00000,  -1.18506
   0.00000,  -1.46275
   0.00000,  -1.29448
   0.00000,  -1.09713
   0.00000,  -1.30639
   0.00000,  -1.24033
   0.00000,  -0.94423
   0.00000,  -1.26825
   0.00000,  -1.23010
   0.00000,  -0.94881
   0.00000,  -1.05864
   0.00000,  -1.12873
   0.00000,  -1.12369
   0.00000,  -1.35765
   0.00000,  -1.04344
   0.00000,  -1.53443
   0.00000,  -1.32477
   0.00000,  -1.45690
   0.00000,  -1.93924
   0.00000,  -1.63638
   0.00000,  -1.24755
   0.00000,  -1.37464
   0.00000,  -1.31091
   0.00000,  -1.05165
   0.00000,  -1.18495
   0.00000,  -0.95582
   0.00000,  -1.93579
   0.00000,  -1.02778
   0.00000,  -1.17874
   0.00000,  -1.12311
   0.00000,  -1.54687
   0.00000,  -1.09494
   0.00000,  -0.92479
   0.00000,  -1.52546
   0.00000,  -1.49200
   0.00000,  -0.95204
   0.00000,  -0.91683
   0.00000,  -0.83815
   0.00000,  -0.80118
   0.00000,  -0.91743
   0.00000,  -0.83470
   0.00000,  -1.09814
   0.00000,  -0.98169
   0.00000,  -1.15650
   0.00000,  -0.98734
   0.00000,  -0.81994
   0.00000,  -0.97722
   0.00000,  -1.04463
   0.00000,  -1.06759
   0.00000,  -0.91056
   0.00000,  -1.32338
   0.00000,  -1.05098
   0.00000,  -0.97794
   0.00000,  -1.08400
   0.00000,  -1.00623
   0.00000,  -1.17817
   0.00000,  -1.03031
   0.00000,  -1.41278
   0.00000,  -1.06188
   0.00000,  -1.39888
   0.00000,  -1.27321
   0.00000,  -1.30502
   0.00000,  -1.58973
   0.00000,  -1.18748
   0.00000,  -1.01435
   0.00000,  -1.22356
   0.00000,  -0.97350
   0.00000,  -0.70773
   0.00000,  -0.80993
   0.00000,  -0.84759
   0.00000,  -0.92412
   0.00000,  -1.26135
   0.00000,  -0.84767
   0.00000,  -1.53863
   0.00000,  -0.86556
   0.00000,  -1.01727
   0.00000,  -0.82653
   0.00000,  -0.88903
   0.00000,  -1.08999
   0.00000,  -1.34864
   0.00000,  -1.21648
   0.00000,  -0.99583
   0.00000,  -0.96942
   0.00000,  -1.15348
   0.00000,  -1.02486
   0.00000,  -1.30498
   0.00000,  -0.98864
   0.00000,  -1.04194
   0.00000,  -2.09965
   0.00000,  -1.05629
   0.00000,  -0.70304
   0.00000,  -1.02634
   0.00000,  -1.03436
   0.00000,  -1.21668
   0.00000,  -1.22584
   0.00000,  -0.79951
   0.00000,  -0.74847
