MSE, Q-LIKE
   0.00000,   0.26706
   0.00000,  -0.05241
   0.00000,  -0.13586
   0.00000,   0.06793
   0.00000,  -0.03227
   0.00000,  -0.15790
   0.00000,  -0.92300
   0.00000,  -0.41392
   0.00000,  -0.43069
   0.00000,  -0.04097
   0.00000,  -0.56982
   0.00000,  -0.40947
   0.00000,  -0.13663
   0.00000,  -0.45328
   0.00000,   0.27161
   0.00000,   0.13740
   0.00000,  -0.53727
   0.00000,  -0.07498
   0.00000,  -0.80701
   0.00000,  -0.40641
   0.00000,  -0.33228
   0.00000,  -0.39261
   0.00000,  -0.63739
   0.00000,  -0.31492
   0.00000,  -0.24855
   0.00000,  -1.20200
   0.00000,  -0.54190
   0.00000,   0.33578
   0.00000,  -0.40251
   0.00000,  -0.48963
   0.00000,  -0.33217
   0.00000,  -0.23584
   0.00000,  -0.43085
   0.00000,  -0.57097
   0.00000,  -0.50370
   0.00000,  -0.31668
   0.00000,  -1.27746
   0.00000,  -0.57538
   0.00000,  -0.55850
   0.00000,  -0.70282
   0.00000,  -0.53124
   0.00000,  -0.88359
   0.00000,  -1.02927
   0.00000,  -0.23122
   0.00000,  -0.23439
   0.00000,  -0.89544
   0.00000,  -0.72976
   0.00000,  -0.40185
   0.00000,  -0.64453
   0.00000,  -0.30747
   0.00000,  -0.69139
   0.00000,  -0.37406
   0.00000,  -1.01379
   0.00000,  -0.46806
   0.00000,  -1.41993
   0.00000,  -0.36542
   0.00000,  -0.73509
   0.00000,  -0.68690
   0.00000,  -0.76343
   0.00000,  -0.23762
   0.00000,  -0.90362
   0.00000,  -0.75971
   0.00000,  -1.37570
   0.00000,  -0.52151
   0.00000,  -0.84151
   0.00000,  -1.04845
   0.00000,  -0.69173
   0.00000,  -0.66532
   0.00000,  -0.41597
   0.00000,  -0.64961
   0.00000,  -0.72745
   0.00000,  -0.50968
   0.00000,  -0.25454
   0.00000,  -1.65885
   0.00000,  -0.62708
   0.00000,  -0.48745
   0.00000,  -0.77147
   0.00000,  -1.13404
   0.00000,  -0.78735
   0.00000,  -1.75036
   0.00000,   0.34984
   0.00000,  -0.33508
   0.00000,  -1.11928
   0.00000,  -0.69335
   0.00000,  -0.39775
   0.00000,  -0.07936
   0.00000,  -1.36111
   0.00000,  -0.75413
   0.00000,  -0.47126
   0.00000,  -0.56277
   0.00000,  -0.32806
   0.00000,  -0.89590
   0.00000,  -0.31888
   0.00000,  -0.59451
   0.00000,  -0.40879
   0.00000,  -0.28979
   0.00000,  -0.46187
   0.00000,  -1.44713
   0.00000,  -1.05875
   0.00000,  -0.83984
   0.00000,  -0.80154
   0.00000,  -0.79152
   0.00000,  -0.90715
   0.00000,  -1.43456
   0.00000,  -1.44419
   0.00000,  -0.37136
   0.00000,  -1.70133
   0.00000,  -0.99295
   0.00000,  -1.01821
   0.00000,  -0.81255
   0.00000,  -1.29771
   0.00000,  -1.73166
   0.00000,  -0.91070
   0.00000,  -1.38901
   0.00000,  -0.79814
   0.00000,  -0.74095
   0.00000,  -1.46432
   0.00000,  -1.40901
   0.00000,  -0.98916
   0.00000,  -1.75070
   0.00000,  -2.58583
   0.00000,  -0.57919
   0.00000,  -1.30843
   0.00000,  -1.14403
   0.00000,  -1.27994
   0.00000,  -1.43375
   0.00000,  -1.73616
   0.00000,  -1.77008
   0.00000,  -1.08877
   0.00000,  -1.44322
   0.00000,  -1.00144
   0.00000,  -0.81257
   0.00000,  -0.84730
   0.00000,  -0.80233
   0.00000,  -0.48650
   0.00000,  -0.55613
   0.00000,  -0.84802
   0.00000,  -0.68179
   0.00000,  -1.78695
   0.00000,  -0.92242
   0.00000,  -1.28161
   0.00000,  -1.08312
   0.00000,  -1.25979
   0.00000,  -1.52934
   0.00000,  -1.37238
   0.00000,  -1.27998
   0.00000,  -0.84177
   0.00000,  -1.43279
   0.00000,  -2.07559
   0.00000,  -0.86206
   0.00000,  -1.20578
   0.00000,  -1.17501
   0.00000,  -0.95639
   0.00000,  -1.06902
   0.00000,  -1.35039
   0.00000,  -0.78126
   0.00000,  -1.05738
   0.00000,  -0.94704
   0.00000,  -1.31060
   0.00000,  -2.00979
   0.00000,  -1.41031
   0.00000,  -0.99422
   0.00000,  -1.25913
   0.00000,  -2.23145
   0.00000,  -1.49150
   0.00000,  -1.85043
   0.00000,  -1.01463
   0.00000,  -1.95803
   0.00000,  -0.75121
   0.00000,  -1.00457
   0.00000,  -1.51600
   0.00000,  -0.91045
   0.00000,  -1.30397
   0.00000,  -1.20471
   0.00000,  -1.44576
   0.00000,  -1.11603
   0.00000,  -1.38797
   0.00000,  -1.65028
   0.00000,  -1.25802
   0.00000,  -1.26464
   0.00000,  -1.51842
   0.00000,  -1.89762
   0.00000,  -1.16266
   0.00000,  -1.64091
   0.00000,  -1.76646
   0.00000,  -1.19522
   0.00000,  -1.41749
