MSE, Q-LIKE
   0.00000,   0.59634
   0.00000,   0.53541
   0.00000,   0.51745
   0.00000,   0.58883
   0.00000,   0.61279
   0.00000,   0.48579
   0.00000,  -0.00620
   0.00000,   0.26064
   0.00000,   0.17404
   0.00000,   0.61789
   0.00000,   0.28710
   0.00000,   0.42244
   0.00000,   0.54068
   0.00000,   0.44521
   0.00000,   0.94398
   0.00000,   0.71124
   0.00000,   0.56334
   0.00000,   0.65169
   0.00000,   0.30062
   0.00000,   0.65952
   0.00000,   0.44779
   0.00000,   0.62414
   0.00000,  -0.07307
   0.00000,   0.31575
   0.00000,   0.58310
   0.00000,   0.20496
   0.00000,   0.05845
   0.00000,   0.80912
   0.00000,   0.28024
   0.00000,   0.29405
   0.00000,   0.07893
   0.00000,   0.34757
   0.00000,   0.28615
   0.00000,   0.28008
   0.00000,   0.19053
   0.00000,   0.45490
   0.00000,  -0.56920
   0.00000,   0.12375
   0.00000,   0.14889
   0.00000,  -0.19047
   0.00000,   0.07143
   0.00000,  -0.16691
   0.00000,  -0.17155
   0.00000,   0.53554
   0.00000,   0.45083
   0.00000,   0.17112
   0.00000,   0.30858
   0.00000,   0.38890
   0.00000,   0.13794
   0.00000,   0.37975
   0.00000,   0.12645
   0.00000,   0.27717
   0.00000,  -0.24981
   0.00000,   0.11996
   0.00000,  -0.02048
   0.00000,   0.46679
   0.00000,   0.00095
   0.00000,   0.16242
   0.00000,   0.54095
   0.00000,   0.39956
   0.00000,   0.35155
   0.00000,  -0.03915
   0.00000,  -0.44271
   0.00000,  -0.01900
   0.00000,  -0.03139
   0.00000,  -0.57744
   0.00000,   0.11477
   0.00000,   0.07320
   0.00000,   0.24078
   0.00000,   0.14653
   0.00000,  -0.24770
   0.00000,   0.09168
   0.00000,   0.46511
   0.00000,  -1.02221
   0.00000,   0.05596
   0.00000,   0.18597
   0.00000,  -0.03383
   0.00000,  -0.82139
   0.00000,  -0.14129
   0.00000,  -1.37710
   0.00000,   0.88158
   0.00000,   0.33619
   0.00000,  -0.28750
   0.00000,  -0.04959
   0.00000,   0.08640
   0.00000,   0.81058
   0.00000,   0.11360
   0.00000,   0.20731
   0.00000,   0.30228
   0.00000,   0.09062
   0.00000,   0.44207
   0.00000,   0.02650
   0.00000,   0.26245
   0.00000,   0.08585
   0.00000,   0.17861
   0.00000,   0.31447
   0.00000,   0.22002
   0.00000,  -0.36281
   0.00000,  -0.19780
   0.00000,  -0.20796
   0.00000,  -0.26800
   0.00000,  -0.16280
   0.00000,  -0.19323
   0.00000,  -0.61127
   0.00000,  -0.39407
   0.00000,   0.33905
   0.00000,  -0.87767
   0.00000,  -0.59271
   0.00000,  -0.44633
   0.00000,   0.00046
   0.00000,  -0.49095
   0.00000,  -0.81115
   0.00000,  -0.01342
   0.00000,  -0.41826
   0.00000,  -0.12662
   0.00000,   0.10071
   0.00000,  -0.36457
   0.00000,  -0.44577
   0.00000,  -0.35421
   0.00000,  -1.15916
   0.00000,  -1.34825
   0.00000,   0.46532
   0.00000,  -0.40058
   0.00000,  -0.33175
   0.00000,  -0.32650
   0.00000,  -0.67561
   0.00000,  -1.09237
   0.00000,  -0.64108
   0.00000,   0.13568
   0.00000,  -0.32598
   0.00000,  -0.04101
   0.00000,  -0.28980
   0.00000,   0.08846
   0.00000,   0.09187
   0.00000,   0.29590
   0.00000,   0.21908
   0.00000,  -0.28223
   0.00000,   0.02220
   0.00000,  -1.52471
   0.00000,  -0.13917
   0.00000,  -0.58587
   0.00000,  -0.35262
   0.00000,  -0.36346
   0.00000,  -0.62185
   0.00000,  -0.59087
   0.00000,  -0.52057
   0.00000,  -0.05566
   0.00000,  -0.69783
   0.00000,  -1.41055
   0.00000,  -0.02763
   0.00000,  -0.22306
   0.00000,  -0.29973
   0.00000,  -0.11129
   0.00000,  -0.40955
   0.00000,  -0.57036
   0.00000,   0.04481
   0.00000,  -0.59851
   0.00000,  -0.20369
   0.00000,  -1.00438
   0.00000,  -1.28050
   0.00000,  -0.53645
   0.00000,  -0.31282
   0.00000,  -0.40918
   0.00000,  -1.08635
   0.00000,  -0.41834
   0.00000,  -0.82665
   0.00000,  -0.23748
   0.00000,  -0.70594
   0.00000,  -0.12839
   0.00000,  -0.42209
   0.00000,  -0.49282
   0.00000,   0.02249
   0.00000,  -0.09994
   0.00000,  -0.11788
   0.00000,  -0.20922
   0.00000,  -0.13932
   0.00000,  -0.18614
   0.00000,  -0.42577
   0.00000,  -0.12115
   0.00000,  -0.14875
   0.00000,  -0.30163
   0.00000,  -0.70416
   0.00000,  -0.15434
   0.00000,  -0.69643
   0.00000,  -0.44132
   0.00000,  -0.09020
   0.00000,  -0.53553
   0.00000,  -0.52887
   0.00000,  -0.36672
   0.00000,  -0.71640
   0.00000,  -0.31240
   0.00000,  -1.07449
   0.00000,  -0.55916
   0.00000,  -0.75846
   0.00000,  -0.62302
   0.00000,  -0.68953
   0.00000,  -0.27566
   0.00000,  -0.59342
   0.00000,  -0.52883
   0.00000,  -0.11545
   0.00000,  -0.35570
   0.00000,  -0.07508
   0.00000,  -1.45167
   0.00000,  -0.32380
   0.00000,  -0.47132
   0.00000,  -0.17333
   0.00000,  -0.53788
   0.00000,  -0.20493
   0.00000,   0.01648
   0.00000,  -0.65153
   0.00000,  -0.57035
   0.00000,  -0.10021
   0.00000,  -0.03143
   0.00000,   0.02273
   0.00000,   0.07089
   0.00000,  -0.11661
   0.00000,  -0.01316
   0.00000,  -0.28821
   0.00000,  -0.06541
   0.00000,  -0.20068
   0.00000,  -0.15868
   0.00000,  -0.36724
   0.00000,  -0.21666
   0.00000,  -0.22671
   0.00000,  -0.43735
   0.00000,  -0.16984
   0.00000,  -0.77373
   0.00000,  -0.61140
   0.00000,  -0.54262
   0.00000,  -0.16502
   0.00000,  -0.10797
   0.00000,  -0.49833
   0.00000,  -0.30575
   0.00000,  -0.59058
   0.00000,  -0.23026
   0.00000,  -0.68657
   0.00000,  -0.40441
   0.00000,  -0.35027
   0.00000,  -0.91694
   0.00000,  -0.26290
   0.00000,  -0.19097
   0.00000,  -0.46120
   0.00000,  -0.11567
   0.00000,   0.21154
   0.00000,   0.09864
   0.00000,   0.01816
   0.00000,  -0.02649
   0.00000,  -0.76074
   0.00000,  -0.01028
   0.00000,  -0.65466
   0.00000,  -0.03395
   0.00000,  -0.17856
   0.00000,  -0.03439
   0.00000,  -0.26435
   0.00000,  -0.62011
   0.00000,  -0.82111
   0.00000,  -0.58314
   0.00000,  -0.29169
   0.00000,  -0.35507
   0.00000,  -0.67074
   0.00000,  -0.39126
   0.00000,  -1.04565
   0.00000,  -0.41895
   0.00000,  -0.57810
   0.00000,  -2.06369
   0.00000,  -0.47089
   0.00000,  -0.03317
   0.00000,  -0.56862
   0.00000,  -0.45273
   0.00000,  -0.77010
   0.00000,  -1.08313
   0.00000,  -0.16615
   0.00000,  -0.17459
   0.00000,  -0.31179
   0.00000,  -0.49907
   0.00000,  -0.33744
   0.00000,   0.01958
   0.00000,   0.11119
   0.00000,   0.45037
   0.00000,  -0.47602
   0.00000,  -0.14581
   0.00000,  -0.56674
   0.00000,  -0.33466
   0.00000,   0.06839
   0.00000,   0.18365
   0.00000,  -0.33566
   0.00000,  -0.02578
   0.00000,  -0.01671
   0.00000,  -0.04826
   0.00000,  -0.15459
   0.00000,  -0.46153
