MSE, Q-LIKE
   0.00000,   0.18226
   0.00000,  -0.32898
   0.00000,  -0.42420
   0.00000,  -0.12086
   0.00000,  -0.24439
   0.00000,  -0.40608
   0.00000,  -1.09345
   0.00000,  -0.55448
   0.00000,  -0.78796
   0.00000,  -0.47232
   0.00000,  -0.94339
   0.00000,  -0.76630
   0.00000,  -0.40822
   0.00000,  -1.12297
   0.00000,  -0.04412
   0.00000,  -0.33252
   0.00000,  -1.00313
   0.00000,  -0.41159
   0.00000,  -0.75457
   0.00000,  -0.79739
   0.00000,  -0.59086
   0.00000,   0.31379
   0.00000,  -0.91122
   0.00000,  -0.65242
   0.00000,  -0.13368
   0.00000,  -1.10518
   0.00000,  -0.80481
   0.00000,   0.20770
   0.00000,  -0.67776
   0.00000,  -0.82927
   0.00000,  -0.62169
   0.00000,  -0.57123
   0.00000,  -0.71536
   0.00000,  -0.87160
   0.00000,  -0.82060
   0.00000,  -0.63329
   0.00000,  -1.67242
   0.00000,  -0.96961
   0.00000,  -0.87671
   0.00000,  -1.03123
   0.00000,  -0.98455
   0.00000,  -1.06185
   0.00000,  -1.63999
   0.00000,  -1.06717
   0.00000,  -0.62785
   0.00000,  -1.27850
   0.00000,  -1.26548
   0.00000,  -0.75622
   0.00000,  -1.03236
   0.00000,  -0.68543
   0.00000,  -1.05243
   0.00000,  -0.80212
   0.00000,  -1.55243
   0.00000,  -0.99670
   0.00000,  -1.97431
   0.00000,  -0.84640
   0.00000,  -1.13554
   0.00000,  -1.10724
   0.00000,  -0.91791
   0.00000,  -0.56352
   0.00000,  -1.06332
   0.00000,  -0.95879
   0.00000,  -1.27912
   0.00000,  -0.76847
   0.00000,  -0.95794
   0.00000,  -1.18368
   0.00000,  -1.10735
   0.00000,  -0.95111
   0.00000,  -0.67855
   0.00000,  -1.00572
   0.00000,  -1.10249
   0.00000,  -0.84133
   0.00000,  -0.59876
   0.00000,  -2.52342
   0.00000,  -1.22255
   0.00000,  -0.82154
   0.00000,  -1.11001
   0.00000,  -1.53584
   0.00000,  -1.10637
   0.00000,  -2.21411
   0.00000,  -0.14239
   0.00000,  -0.64401
   0.00000,  -1.43402
   0.00000,  -0.87910
   0.00000,  -0.72788
   0.00000,  -0.46375
   0.00000,  -1.53372
   0.00000,  -0.92075
   0.00000,  -0.88187
   0.00000,  -0.98770
   0.00000,  -0.78087
   0.00000,  -1.23984
   0.00000,  -0.58708
   0.00000,  -0.86495
   0.00000,  -0.66962
   0.00000,  -0.56206
   0.00000,  -0.75275
   0.00000,  -1.47550
   0.00000,  -1.29410
   0.00000,  -1.25340
   0.00000,  -1.18845
   0.00000,  -1.21627
   0.00000,  -1.39915
   0.00000,  -1.76700
   0.00000,  -1.48157
   0.00000,  -0.77028
   0.00000,  -1.68647
   0.00000,  -1.40795
   0.00000,  -1.08971
   0.00000,  -0.85305
   0.00000,  -1.44838
   0.00000,  -1.89927
   0.00000,  -1.17543
   0.00000,  -1.72486
   0.00000,  -1.06545
   0.00000,  -0.96928
   0.00000,  -1.68796
   0.00000,  -1.60610
   0.00000,  -1.24786
   0.00000,  -2.14894
   0.00000,  -2.48008
   0.00000,  -0.82199
   0.00000,  -1.41970
   0.00000,  -1.29871
   0.00000,  -1.78983
   0.00000,  -1.55153
   0.00000,  -1.64413
   0.00000,  -1.85632
   0.00000,  -1.27635
   0.00000,  -1.67172
   0.00000,  -1.18404
   0.00000,  -0.98516
   0.00000,  -1.01223
   0.00000,  -0.95369
   0.00000,  -0.73380
   0.00000,  -0.78706
   0.00000,  -1.08589
   0.00000,  -0.89673
   0.00000,  -1.83898
   0.00000,  -1.12769
   0.00000,  -1.42361
   0.00000,  -1.24541
   0.00000,  -1.48326
   0.00000,  -1.55840
   0.00000,  -1.58774
   0.00000,  -1.39473
   0.00000,  -1.02334
   0.00000,  -1.50642
   0.00000,  -2.15101
   0.00000,  -0.99728
   0.00000,  -1.28419
   0.00000,  -1.30945
   0.00000,  -1.10886
   0.00000,  -1.23487
   0.00000,  -1.51524
   0.00000,  -1.00339
   0.00000,  -1.24117
   0.00000,  -1.15985
   0.00000,  -1.50049
   0.00000,  -2.12834
   0.00000,  -1.55816
   0.00000,  -1.16782
   0.00000,  -1.36207
   0.00000,  -2.39864
   0.00000,  -1.77623
   0.00000,  -2.05546
   0.00000,  -1.12201
   0.00000,  -1.64195
   0.00000,  -0.93291
   0.00000,  -1.24796
   0.00000,  -1.65674
   0.00000,  -1.09633
   0.00000,  -1.39826
   0.00000,  -1.45257
   0.00000,  -1.57255
   0.00000,  -1.34516
   0.00000,  -1.48831
   0.00000,  -1.82609
   0.00000,  -1.47746
   0.00000,  -1.39636
   0.00000,  -1.62763
   0.00000,  -1.87901
   0.00000,  -1.24536
   0.00000,  -1.73794
   0.00000,  -1.76161
   0.00000,  -1.32974
   0.00000,  -1.65209
   0.00000,  -2.05797
   0.00000,  -1.68577
   0.00000,  -2.22878
   0.00000,  -1.71877
   0.00000,  -2.01277
   0.00000,  -2.04020
   0.00000,  -2.26024
   0.00000,  -2.48771
   0.00000,  -2.12805
   0.00000,  -1.83857
   0.00000,  -1.97728
   0.00000,  -1.83988
   0.00000,  -1.52725
   0.00000,  -1.72189
   0.00000,  -1.49667
   0.00000,  -3.06748
   0.00000,  -1.61533
   0.00000,  -1.65387
   0.00000,  -1.62320
   0.00000,  -2.10709
   0.00000,  -1.54873
   0.00000,  -1.19062
   0.00000,  -1.85951
   0.00000,  -1.80966
   0.00000,  -1.35330
   0.00000,  -1.29014
   0.00000,  -1.19592
   0.00000,  -1.16760
   0.00000,  -1.36716
   0.00000,  -1.25526
   0.00000,  -1.60906
   0.00000,  -1.42709
   0.00000,  -1.64861
   0.00000,  -1.46906
   0.00000,  -1.47270
   0.00000,  -1.45932
   0.00000,  -1.58626
   0.00000,  -1.83798
   0.00000,  -1.33906
   0.00000,  -2.00821
   0.00000,  -1.54453
   0.00000,  -1.40318
   0.00000,  -1.59404
   0.00000,  -1.49018
   0.00000,  -1.45687
   0.00000,  -1.56750
   0.00000,  -2.13201
   0.00000,  -1.54808
   0.00000,  -2.11576
   0.00000,  -1.80434
   0.00000,  -1.73305
   0.00000,  -2.09206
   0.00000,  -1.58062
   0.00000,  -1.27388
   0.00000,  -1.66238
   0.00000,  -1.36690
   0.00000,  -0.98594
   0.00000,  -1.20502
   0.00000,  -1.27132
   0.00000,  -1.40759
   0.00000,  -2.00872
   0.00000,  -1.37783
   0.00000,  -2.16767
   0.00000,  -1.32126
   0.00000,  -1.57333
   0.00000,  -1.37551
   0.00000,  -1.34029
   0.00000,  -1.64612
   0.00000,  -2.12413
