MSE, Q-LIKE
   0.00000,   0.65529
   0.00000,   0.23490
   0.00000,   0.20672
   0.00000,   0.44201
   0.00000,   0.25880
   0.00000,   0.20225
   0.00000,  -0.27647
   0.00000,   0.02205
   0.00000,   0.06207
   0.00000,   0.31555
   0.00000,  -0.07909
   0.00000,   0.05060
   0.00000,   0.25572
   0.00000,  -0.05917
   0.00000,   0.52447
   0.00000,   0.40782
   0.00000,   0.03445
   0.00000,   0.29296
   0.00000,  -0.15986
   0.00000,   0.07174
   0.00000,   0.09855
   0.00000,   0.25907
   0.00000,  -0.12283
   0.00000,   0.08919
   0.00000,   0.22392
   0.00000,  -0.41944
   0.00000,  -0.16376
   0.00000,   0.58320
   0.00000,   0.03871
   0.00000,   0.00189
   0.00000,   0.05350
   0.00000,   0.11090
   0.00000,   0.00603
   0.00000,  -0.12069
   0.00000,  -0.06990
   0.00000,   0.14174
   0.00000,  -0.60662
   0.00000,  -0.11554
   0.00000,  -0.12979
   0.00000,  -0.28375
   0.00000,  -0.16606
   0.00000,  -0.42027
   0.00000,  -0.83359
   0.00000,   0.01693
   0.00000,   0.10513
   0.00000,  -0.35605
   0.00000,  -0.54940
   0.00000,   0.06636
   0.00000,  -0.16099
   0.00000,   0.09510
   0.00000,  -0.18794
   0.00000,  -0.01548
   0.00000,  -0.50376
   0.00000,  -0.11948
   0.00000,  -0.69456
   0.00000,   0.05519
   0.00000,  -0.25781
   0.00000,  -0.22942
   0.00000,  -0.15497
   0.00000,   0.09438
   0.00000,  -0.29452
   0.00000,  -0.25093
   0.00000,  -0.66932
   0.00000,  -0.13713
   0.00000,  -0.25779
   0.00000,  -0.49976
   0.00000,  -0.22263
   0.00000,  -0.21868
   0.00000,  -0.00575
   0.00000,  -0.17748
   0.00000,  -0.26873
   0.00000,  -0.08222
   0.00000,   0.15076
   0.00000,  -0.96735
   0.00000,  -0.19264
   0.00000,  -0.03295
   0.00000,  -0.21888
   0.00000,  -0.57893
   0.00000,  -0.33487
   0.00000,  -0.87148
   0.00000,   0.52639
   0.00000,   0.02360
   0.00000,  -0.50758
   0.00000,  -0.25924
   0.00000,  -0.02311
   0.00000,   0.30487
   0.00000,  -0.52228
   0.00000,  -0.21691
   0.00000,  -0.06626
   0.00000,  -0.18372
   0.00000,  -0.00408
   0.00000,  -0.42672
   0.00000,  -0.07880
   0.00000,  -0.20130
   0.00000,  -0.10479
   0.00000,   0.00745
   0.00000,  -0.13777
   0.00000,  -0.72542
   0.00000,  -0.56682
   0.00000,  -0.49356
   0.00000,  -0.48409
   0.00000,  -0.45111
   0.00000,  -0.52341
   0.00000,  -0.86492
   0.00000,  -0.82151
   0.00000,   0.00005
   0.00000,  -0.87789
   0.00000,  -0.50269
   0.00000,  -0.34269
   0.00000,  -0.11289
   0.00000,  -0.59992
   0.00000,  -0.90012
   0.00000,  -0.39837
   0.00000,  -0.70472
   0.00000,  -0.30408
   0.00000,  -0.19002
   0.00000,  -0.75384
   0.00000,  -0.65288
   0.00000,  -0.46476
   0.00000,  -0.96488
   0.00000,  -1.46423
   0.00000,  -0.01315
   0.00000,  -0.60265
   0.00000,  -0.46064
   0.00000,  -0.64849
   0.00000,  -0.78853
   0.00000,  -0.96644
   0.00000,  -0.98560
   0.00000,  -0.32938
   0.00000,  -0.71567
   0.00000,  -0.32852
   0.00000,  -0.22445
   0.00000,  -0.15595
   0.00000,  -0.13575
   0.00000,   0.07142
   0.00000,   0.02225
   0.00000,  -0.23235
   0.00000,  -0.05813
   0.00000,  -0.85759
   0.00000,  -0.19807
   0.00000,  -0.46940
   0.00000,  -0.30949
   0.00000,  -0.43146
   0.00000,  -0.54936
   0.00000,  -0.55968
   0.00000,  -0.40889
   0.00000,  -0.11422
   0.00000,  -0.46912
   0.00000,  -1.08169
   0.00000,  -0.11832
   0.00000,  -0.32848
   0.00000,  -0.36931
   0.00000,  -0.21734
   0.00000,  -0.32525
   0.00000,  -0.54183
   0.00000,  -0.14916
   0.00000,  -0.42713
   0.00000,  -0.30963
   0.00000,  -0.63412
   0.00000,  -1.28559
   0.00000,  -0.65879
   0.00000,  -0.32515
   0.00000,  -0.49152
   0.00000,  -1.15857
   0.00000,  -0.64281
   0.00000,  -0.95388
   0.00000,  -0.29737
   0.00000,  -0.71842
   0.00000,  -0.20323
   0.00000,  -0.35393
   0.00000,  -0.79055
   0.00000,  -0.28501
   0.00000,  -0.54667
   0.00000,  -0.51089
   0.00000,  -0.61835
   0.00000,  -0.44210
   0.00000,  -0.53058
   0.00000,  -0.82313
   0.00000,  -0.50178
   0.00000,  -0.52233
   0.00000,  -0.64458
   0.00000,  -0.82153
   0.00000,  -0.36700
   0.00000,  -0.80825
   0.00000,  -0.79526
   0.00000,  -0.41704
   0.00000,  -0.59035
   0.00000,  -0.92640
   0.00000,  -0.59856
   0.00000,  -0.96416
   0.00000,  -0.54027
   0.00000,  -0.93921
   0.00000,  -0.76657
   0.00000,  -0.88674
   0.00000,  -1.20534
   0.00000,  -0.90410
   0.00000,  -0.64591
   0.00000,  -0.89483
   0.00000,  -0.66025
   0.00000,  -0.43719
   0.00000,  -0.59672
   0.00000,  -0.32437
   0.00000,  -1.60912
   0.00000,  -0.39663
   0.00000,  -0.53376
   0.00000,  -0.38031
   0.00000,  -0.70208
   0.00000,  -0.46011
   0.00000,  -0.11418
   0.00000,  -0.72946
   0.00000,  -0.62563
   0.00000,  -0.18745
   0.00000,  -0.10536
   0.00000,  -0.04963
   0.00000,  -0.02954
   0.00000,  -0.17146
   0.00000,  -0.11244
   0.00000,  -0.35842
   0.00000,  -0.20615
   0.00000,  -0.33798
   0.00000,  -0.23509
   0.00000,  -0.27227
   0.00000,  -0.22072
   0.00000,  -0.27712
   0.00000,  -0.41189
   0.00000,  -0.12722
   0.00000,  -0.61583
   0.00000,  -0.32483
   0.00000,  -0.22376
   0.00000,  -0.20784
   0.00000,  -0.13383
   0.00000,  -0.26596
   0.00000,  -0.22058
   0.00000,  -0.61983
   0.00000,  -0.18745
   0.00000,  -0.54818
   0.00000,  -0.36180
   0.00000,  -0.28360
   0.00000,  -0.59349
   0.00000,  -0.23201
   0.00000,  -0.08599
   0.00000,  -0.28900
   0.00000,  -0.07944
   0.00000,   0.19475
   0.00000,   0.07004
   0.00000,  -0.02289
   0.00000,  -0.04540
   0.00000,  -0.47614
   0.00000,  -0.01773
   0.00000,  -0.53976
   0.00000,   0.00591
   0.00000,  -0.16948
   0.00000,  -0.05072
   0.00000,  -0.12536
   0.00000,  -0.33438
   0.00000,  -0.63140
   0.00000,  -0.38787
   0.00000,  -0.18781
   0.00000,  -0.21955
   0.00000,  -0.39099
   0.00000,  -0.28286
   0.00000,  -0.66114
   0.00000,  -0.28285
   0.00000,  -0.33577
   0.00000,  -1.50832
   0.00000,  -0.21775
   0.00000,  -0.03163
   0.00000,  -0.28189
   0.00000,  -0.26969
   0.00000,  -0.47340
   0.00000,  -0.47736
   0.00000,  -0.09225
   0.00000,  -0.06952
   0.00000,  -0.14006
   0.00000,  -0.26944
   0.00000,  -0.28260
   0.00000,  -0.05174
   0.00000,   0.03973
   0.00000,   0.46659
   0.00000,  -0.15130
   0.00000,   0.03812
   0.00000,  -0.23059
   0.00000,  -0.16350
   0.00000,   0.14143
   0.00000,   0.11414
   0.00000,  -0.12075
   0.00000,   0.12110
   0.00000,   0.04739
   0.00000,   0.15016
   0.00000,   0.03278
   0.00000,  -0.08614
   0.00000,  -0.13828
   0.00000,  -0.08913
   0.00000,  -0.45838
   0.00000,  -0.04849
   0.00000,  -0.09945
   0.00000,  -0.40993
   0.00000,  -0.21524
   0.00000,  -0.77039
   0.00000,  -0.25195
   0.00000,  -0.41607
   0.00000,  -0.47622
   0.00000,  -0.35905
   0.00000,  -0.86209
   0.00000,  -0.22315
   0.00000,  -0.19096
   0.00000,  -0.79865
   0.00000,  -0.54273
   0.00000,  -0.45001
   0.00000,  -0.49188
   0.00000,  -1.40389
   0.00000,  -0.29047
   0.00000,  -0.63320
   0.00000,  -0.44305
   0.00000,  -0.44743
   0.00000,  -0.37745
   0.00000,  -0.74813
   0.00000,  -0.36707
   0.00000,  -0.57587
   0.00000,  -0.33352
   0.00000,  -0.18521
   0.00000,  -0.29183
   0.00000,  -0.68732
   0.00000,  -0.58707
   0.00000,  -0.23632
   0.00000,  -0.44345
   0.00000,  -0.36823
   0.00000,  -0.80024
   0.00000,  -0.40083
   0.00000,  -0.76455
   0.00000,  -0.15667
   0.00000,  -0.26122
   0.00000,  -0.37389
   0.00000,  -0.18233
   0.00000,   0.07580
   0.00000,  -0.04657
   0.00000,  -0.12718
   0.00000,  -0.12623
   0.00000,  -0.15777
   0.00000,  -0.31673
   0.00000,  -0.35717
   0.00000,  -0.32372
   0.00000,  -0.27730
   0.00000,  -1.07376
   0.00000,  -0.37968
   0.00000,  -0.23606
   0.00000,  -0.59409
   0.00000,  -0.38730
   0.00000,  -0.29769
   0.00000,  -0.33606
   0.00000,  -0.53910
   0.00000,  -0.41936
   0.00000,  -0.76572
   0.00000,  -0.41365
   0.00000,  -0.69210
   0.00000,  -0.60297
   0.00000,  -0.76814
   0.00000,  -0.74062
   0.00000,  -0.56408
   0.00000,  -0.89028
   0.00000,  -1.14778
   0.00000,  -1.17155
   0.00000,  -0.77596
   0.00000,  -0.47922
   0.00000,  -0.86035
   0.00000,  -0.83839
   0.00000,  -0.68553
   0.00000,  -0.83507
   0.00000,  -0.83496
   0.00000,  -0.45254
   0.00000,  -1.03121
   0.00000,  -1.05471
   0.00000,  -0.69421
   0.00000,  -1.13042
   0.00000,  -0.86518
   0.00000,  -0.74092
   0.00000,  -0.63158
   0.00000,  -0.84312
   0.00000,  -0.78168
   0.00000,  -0.80891
   0.00000,  -0.78171
   0.00000,  -0.75569
   0.00000,  -0.77662
   0.00000,  -0.52669
   0.00000,  -0.58982
   0.00000,  -0.94174
   0.00000,  -0.58280
   0.00000,  -0.75849
   0.00000,  -0.68750
   0.00000,  -0.57206
   0.00000,  -0.90308
   0.00000,  -0.83552
   0.00000,  -0.52952
   0.00000,  -0.21935
   0.00000,  -0.54283
   0.00000,  -0.02814
   0.00000,  -0.46101
   0.00000,  -0.42772
   0.00000,  -0.34931
   0.00000,   0.08412
   0.00000,  -0.11531
   0.00000,  -0.36412
   0.00000,  -0.40970
   0.00000,  -0.42365
   0.00000,  -0.37878
   0.00000,  -0.28239
   0.00000,  -0.20308
   0.00000,  -0.21758
   0.00000,  -0.21449
   0.00000,  -0.23534
   0.00000,  -0.26133
   0.00000,  -0.65117
   0.00000,  -0.47149
   0.00000,  -0.65139
   0.00000,  -0.57903
   0.00000,  -0.58619
   0.00000,  -0.69943
   0.00000,  -0.51795
   0.00000,  -0.57224
   0.00000,  -0.50632
   0.00000,  -0.63445
   0.00000,  -0.60765
   0.00000,  -0.80090
   0.00000,  -0.47363
   0.00000,  -0.46037
   0.00000,  -0.44905
   0.00000,  -0.33340
   0.00000,  -0.35169
   0.00000,  -0.61119
   0.00000,  -0.38685
   0.00000,  -0.43350
   0.00000,  -0.14822
   0.00000,  -0.44042
   0.00000,  -0.58738
   0.00000,  -0.71927
   0.00000,  -0.66849
   0.00000,  -0.57180
   0.00000,  -0.42811
   0.00000,  -0.42435
   0.00000,  -0.65086
   0.00000,  -0.91151
   0.00000,  -0.76641
   0.00000,  -0.66695
   0.00000,  -1.06775
   0.00000,  -1.19178
   0.00000,  -1.21726
   0.00000,  -1.20375
   0.00000,  -0.64386
   0.00000,  -0.48814
   0.00000,  -0.46500
   0.00000,  -0.25688
   0.00000,  -0.42473
   0.00000,  -0.58669
   0.00000,  -0.64834
   0.00000,  -0.49533
   0.00000,  -0.50648
   0.00000,  -0.63699
   0.00000,  -0.56655
   0.00000,  -0.63461
   0.00000,  -0.42851
   0.00000,  -0.40043
   0.00000,  -0.43020
   0.00000,  -0.61675
   0.00000,  -0.75416
   0.00000,  -0.58687
   0.00000,   0.30708
   0.00000,  -0.22118
   0.00000,  -0.05535
