MSE, Q-LIKE
   0.00000,   0.46030
   0.00000,  -0.10757
   0.00000,  -0.17222
   0.00000,   0.10581
   0.00000,  -0.12112
   0.00000,  -0.22604
   0.00000,  -0.66206
   0.00000,  -0.36219
   0.00000,  -0.61009
   0.00000,  -0.21837
   0.00000,  -0.49889
   0.00000,  -0.69693
   0.00000,  -0.26174
   0.00000,  -0.35269
   0.00000,   0.12237
   0.00000,  -0.17335
   0.00000,  -0.74576
   0.00000,  -0.27467
   0.00000,  -0.60678
   0.00000,  -0.42200
   0.00000,  -0.52794
   0.00000,  -1.25758
   0.00000,  -1.00052
   0.00000,  -0.45259
   0.00000,  -0.24458
   0.00000,  -0.89556
   0.00000,  -0.88470
   0.00000,  -0.09979
   0.00000,  -0.56783
   0.00000,  -0.64137
   0.00000,  -0.60676
   0.00000,  -0.43247
   0.00000,  -0.58933
   0.00000,  -0.77325
   0.00000,  -0.73708
   0.00000,  -0.41765
   0.00000,  -1.22998
   0.00000,  -0.60080
   0.00000,  -0.77095
   0.00000,  -0.99614
   0.00000,  -0.77865
   0.00000,  -0.98704
   0.00000,  -1.60280
   0.00000,  -0.34787
   0.00000,  -0.50141
   0.00000,  -1.09113
   0.00000,  -1.36656
   0.00000,  -0.54158
   0.00000,  -0.77735
   0.00000,  -0.47468
   0.00000,  -0.78143
   0.00000,  -0.61858
   0.00000,  -1.19708
   0.00000,  -0.72734
   0.00000,  -1.43522
   0.00000,  -0.44009
   0.00000,  -0.87900
   0.00000,  -0.79501
   0.00000,  -0.84230
   0.00000,  -0.40264
   0.00000,  -0.91812
   0.00000,  -0.78714
   0.00000,  -0.94687
   0.00000,  -0.63267
   0.00000,  -0.68504
   0.00000,  -0.99391
   0.00000,  -0.81008
   0.00000,  -0.83496
   0.00000,  -0.59641
   0.00000,  -0.69701
   0.00000,  -0.90227
   0.00000,  -0.60280
   0.00000,  -0.29268
   0.00000,  -1.02065
   0.00000,  -0.58214
   0.00000,  -0.52828
   0.00000,  -0.83627
   0.00000,  -1.45182
   0.00000,  -0.84759
   0.00000,  -1.84464
   0.00000,   0.32864
   0.00000,  -0.30431
   0.00000,  -0.91232
   0.00000,  -0.59996
   0.00000,  -0.45747
   0.00000,   0.06323
   0.00000,  -0.83751
   0.00000,  -0.43697
   0.00000,  -0.42559
   0.00000,  -0.51490
   0.00000,  -0.32639
   0.00000,  -0.77991
   0.00000,  -0.21127
   0.00000,  -0.45108
   0.00000,  -0.34940
   0.00000,  -0.22199
   0.00000,  -0.35868
   0.00000,  -0.80860
   0.00000,  -0.67811
   0.00000,  -0.75814
   0.00000,  -0.80106
   0.00000,  -0.84569
   0.00000,  -1.03631
   0.00000,  -1.38502
   0.00000,  -1.26029
   0.00000,  -0.34723
   0.00000,  -1.28393
   0.00000,  -1.11968
   0.00000,  -0.85991
   0.00000,  -0.42396
   0.00000,  -1.02153
   0.00000,  -1.17959
   0.00000,  -0.85876
   0.00000,  -1.01036
   0.00000,  -0.77205
   0.00000,  -0.64907
   0.00000,  -1.29183
   0.00000,  -1.26599
   0.00000,  -0.97893
   0.00000,  -1.84034
   0.00000,  -2.48804
   0.00000,  -0.43343
   0.00000,  -1.07396
   0.00000,  -0.88988
   0.00000,  -0.88636
   0.00000,  -1.35733
   0.00000,  -1.81851
   0.00000,  -1.50193
   0.00000,  -0.89435
   0.00000,  -1.42895
   0.00000,  -0.89574
   0.00000,  -0.85701
   0.00000,  -0.76756
   0.00000,  -0.71666
   0.00000,  -0.45852
   0.00000,  -0.52125
   0.00000,  -0.86562
   0.00000,  -0.61302
   0.00000,  -1.74241
   0.00000,  -0.78375
   0.00000,  -1.09478
   0.00000,  -0.87863
   0.00000,  -1.12326
   0.00000,  -1.22095
   0.00000,  -1.24741
   0.00000,  -1.13744
   0.00000,  -0.70419
   0.00000,  -1.20110
   0.00000,  -1.84415
   0.00000,  -0.68538
   0.00000,  -0.96390
   0.00000,  -0.96436
   0.00000,  -0.78326
   0.00000,  -0.82905
   0.00000,  -1.17144
   0.00000,  -0.70764
   0.00000,  -1.01618
   0.00000,  -0.85144
   0.00000,  -1.24374
   0.00000,  -1.85524
   0.00000,  -1.23623
   0.00000,  -0.83986
   0.00000,  -1.09466
   0.00000,  -1.95848
   0.00000,  -1.23817
   0.00000,  -1.57513
   0.00000,  -0.85565
   0.00000,  -1.20071
   0.00000,  -0.63176
   0.00000,  -0.88368
   0.00000,  -1.17510
   0.00000,  -0.72373
   0.00000,  -0.91397
   0.00000,  -0.81999
   0.00000,  -1.01926
   0.00000,  -1.00327
   0.00000,  -1.06542
   0.00000,  -1.53279
   0.00000,  -1.16874
   0.00000,  -0.97512
   0.00000,  -1.17794
   0.00000,  -1.43777
   0.00000,  -0.85534
   0.00000,  -1.38151
   0.00000,  -1.30400
   0.00000,  -0.99515
   0.00000,  -1.25273
   0.00000,  -1.58557
   0.00000,  -1.16446
   0.00000,  -1.48190
   0.00000,  -1.16312
   0.00000,  -1.29132
   0.00000,  -1.41937
   0.00000,  -1.48519
   0.00000,  -1.94204
   0.00000,  -1.63827
   0.00000,  -1.24654
   0.00000,  -1.22174
   0.00000,  -1.19286
   0.00000,  -0.93072
   0.00000,  -1.10377
   0.00000,  -0.79633
   0.00000,  -2.05475
   0.00000,  -0.90729
   0.00000,  -1.00690
   0.00000,  -0.93748
   0.00000,  -1.45980
   0.00000,  -1.16951
   0.00000,  -0.67795
   0.00000,  -1.30359
   0.00000,  -1.37542
   0.00000,  -0.82359
   0.00000,  -0.73659
   0.00000,  -0.73470
   0.00000,  -0.65083
   0.00000,  -0.81665
   0.00000,  -0.70981
   0.00000,  -1.01607
   0.00000,  -0.88176
   0.00000,  -1.10547
   0.00000,  -1.03629
   0.00000,  -1.00714
   0.00000,  -0.95966
   0.00000,  -1.06066
   0.00000,  -1.26250
   0.00000,  -0.85703
   0.00000,  -1.44976
   0.00000,  -1.11103
   0.00000,  -0.98884
   0.00000,  -1.06003
   0.00000,  -0.98417
   0.00000,  -1.21186
   0.00000,  -1.07389
   0.00000,  -1.56023
   0.00000,  -1.09816
   0.00000,  -1.58294
   0.00000,  -1.33921
   0.00000,  -1.22271
   0.00000,  -1.60875
   0.00000,  -1.12335
   0.00000,  -0.90536
   0.00000,  -1.20489
   0.00000,  -0.88730
   0.00000,  -0.62453
   0.00000,  -0.74355
   0.00000,  -0.76468
   0.00000,  -0.85020
   0.00000,  -1.35141
   0.00000,  -0.66464
   0.00000,  -1.49827
   0.00000,  -0.76112
   0.00000,  -0.91046
   0.00000,  -0.71418
   0.00000,  -0.75116
   0.00000,  -1.04730
   0.00000,  -1.38384
   0.00000,  -1.15010
   0.00000,  -0.91491
   0.00000,  -0.91347
   0.00000,  -1.19991
   0.00000,  -0.96489
   0.00000,  -1.53090
   0.00000,  -0.92629
   0.00000,  -1.01810
   0.00000,  -1.82078
   0.00000,  -1.04230
   0.00000,  -0.60695
   0.00000,  -0.98608
   0.00000,  -0.87543
   0.00000,  -1.08200
   0.00000,  -1.21695
   0.00000,  -0.67498
   0.00000,  -0.62583
   0.00000,  -0.73742
   0.00000,  -0.96510
   0.00000,  -0.84207
   0.00000,  -0.58167
   0.00000,  -0.48450
   0.00000,  -0.31068
   0.00000,  -0.87631
   0.00000,  -0.61011
   0.00000,  -0.84084
   0.00000,  -0.70714
   0.00000,  -0.30745
   0.00000,  -0.33219
   0.00000,  -0.64259
   0.00000,  -0.30969
   0.00000,  -0.40757
   0.00000,  -0.27475
   0.00000,  -0.49200
   0.00000,  -0.61582
   0.00000,  -0.68964
   0.00000,  -0.67399
   0.00000,  -1.14504
   0.00000,  -0.61856
   0.00000,  -0.65771
   0.00000,  -0.99145
   0.00000,  -0.76990
   0.00000,  -1.33789
   0.00000,  -0.84478
   0.00000,  -1.05308
   0.00000,  -1.12024
   0.00000,  -0.99502
   0.00000,  -1.52088
   0.00000,  -0.77857
   0.00000,  -0.74442
   0.00000,  -1.36232
   0.00000,  -1.18201
   0.00000,  -1.02277
   0.00000,  -1.10740
   0.00000,  -1.92875
   0.00000,  -0.82718
   0.00000,  -1.19383
   0.00000,  -0.93544
   0.00000,  -1.01931
   0.00000,  -0.92414
   0.00000,  -1.32536
   0.00000,  -0.94977
   0.00000,  -1.19444
   0.00000,  -0.91136
   0.00000,  -0.73226
   0.00000,  -0.79408
   0.00000,  -1.17380
   0.00000,  -1.06607
   0.00000,  -0.77606
   0.00000,  -1.02246
   0.00000,  -0.87791
   0.00000,  -1.34739
   0.00000,  -0.90743
   0.00000,  -1.28949
   0.00000,  -0.56597
   0.00000,  -0.85303
   0.00000,  -0.93323
   0.00000,  -0.82526
   0.00000,  -0.64327
   0.00000,  -0.63210
   0.00000,  -0.72947
   0.00000,  -0.82697
   0.00000,  -0.74954
   0.00000,  -0.97793
   0.00000,  -0.96351
   0.00000,  -0.91006
   0.00000,  -0.81273
   0.00000,  -1.75276
   0.00000,  -0.92413
   0.00000,  -0.86787
   0.00000,  -1.23006
   0.00000,  -0.98221
   0.00000,  -0.84379
   0.00000,  -0.90023
   0.00000,  -1.10249
   0.00000,  -0.93796
   0.00000,  -1.35366
   0.00000,  -0.94659
   0.00000,  -1.28622
   0.00000,  -1.13976
   0.00000,  -1.42878
   0.00000,  -1.27612
   0.00000,  -1.05514
   0.00000,  -1.40113
   0.00000,  -1.65062
   0.00000,  -1.79975
   0.00000,  -1.28774
   0.00000,  -1.00694
   0.00000,  -1.45758
   0.00000,  -1.35582
   0.00000,  -1.18466
   0.00000,  -1.32582
   0.00000,  -1.34028
   0.00000,  -0.90511
   0.00000,  -1.47519
   0.00000,  -1.38961
   0.00000,  -1.10250
   0.00000,  -1.39549
   0.00000,  -1.22462
   0.00000,  -1.11919
   0.00000,  -0.95597
   0.00000,  -1.18905
   0.00000,  -1.06885
   0.00000,  -1.03808
   0.00000,  -0.96900
   0.00000,  -0.96975
   0.00000,  -0.99569
   0.00000,  -0.75750
   0.00000,  -0.81557
   0.00000,  -1.06328
   0.00000,  -0.78037
   0.00000,  -0.91988
   0.00000,  -0.82002
   0.00000,  -0.71205
   0.00000,  -1.00400
   0.00000,  -0.89999
   0.00000,  -0.59737
   0.00000,  -0.32646
   0.00000,  -0.64803
   0.00000,  -0.47470
   0.00000,  -0.57298
   0.00000,  -0.54821
   0.00000,  -0.44146
   0.00000,  -0.08797
   0.00000,  -0.40694
   0.00000,  -0.41202
   0.00000,  -0.43853
   0.00000,  -0.44066
   0.00000,  -0.35624
   0.00000,  -0.22907
   0.00000,  -0.16179
   0.00000,  -0.15136
   0.00000,  -0.16415
   0.00000,  -0.21264
   0.00000,  -0.11729
   0.00000,  -0.52803
   0.00000,  -0.42014
   0.00000,  -0.53604
   0.00000,  -0.54500
   0.00000,  -0.51289
   0.00000,  -0.64598
   0.00000,  -0.50219
   0.00000,  -0.58565
   0.00000,  -0.54116
   0.00000,  -0.66771
   0.00000,  -0.67298
   0.00000,  -0.78590
   0.00000,  -0.55495
   0.00000,  -0.60526
   0.00000,  -0.58444
   0.00000,  -0.44518
   0.00000,  -0.50431
   0.00000,  -0.74204
   0.00000,  -0.54830
   0.00000,  -0.55934
   0.00000,  -0.33704
   0.00000,  -0.53707
