MSE, Q-LIKE
   0.00000,   0.38753
   0.00000,   0.11212
   0.00000,   0.10670
   0.00000,   0.27498
   0.00000,   0.21495
   0.00000,   0.05189
   0.00000,  -0.60954
   0.00000,  -0.20255
   0.00000,  -0.05986
   0.00000,   0.24727
   0.00000,  -0.23014
   0.00000,  -0.10745
   0.00000,   0.18846
   0.00000,  -0.27579
   0.00000,   0.54613
   0.00000,   0.35953
   0.00000,  -0.20452
   0.00000,   0.22872
   0.00000,  -0.58569
   0.00000,  -0.08608
   0.00000,  -0.02685
   0.00000,   0.00287
   0.00000,  -0.29535
   0.00000,  -0.10056
   0.00000,  -0.07402
   0.00000,  -0.83266
   0.00000,  -0.42829
   0.00000,   0.57535
   0.00000,  -0.15268
   0.00000,  -0.21417
   0.00000,  -0.11440
   0.00000,   0.00234
   0.00000,  -0.13098
   0.00000,  -0.25614
   0.00000,  -0.22963
   0.00000,   0.02740
   0.00000,  -0.86876
   0.00000,  -0.33773
   0.00000,  -0.28595
   0.00000,  -0.40198
   0.00000,  -0.30630
   0.00000,  -0.54950
   0.00000,  -0.82908
   0.00000,  -0.03996
   0.00000,   0.08495
   0.00000,  -0.47735
   0.00000,  -0.34658
   0.00000,  -0.07315
   0.00000,  -0.35609
   0.00000,  -0.00868
   0.00000,  -0.33585
   0.00000,  -0.11849
   0.00000,  -0.81318
   0.00000,  -0.25628
   0.00000,  -1.24349
   0.00000,  -0.18183
   0.00000,  -0.49364
   0.00000,  -0.44380
   0.00000,  -0.48690
   0.00000,  -0.08817
   0.00000,  -0.63420
   0.00000,  -0.55952
   0.00000,  -1.13776
   0.00000,  -0.49219
   0.00000,  -0.66021
   0.00000,  -0.93500
   0.00000,  -0.49972
   0.00000,  -0.56853
   0.00000,  -0.20660
   0.00000,  -0.47745
   0.00000,  -0.52096
   0.00000,  -0.33315
   0.00000,  -0.09204
   0.00000,  -1.59186
   0.00000,  -0.50638
   0.00000,  -0.36358
   0.00000,  -0.63585
   0.00000,  -0.93639
   0.00000,  -0.68694
   0.00000,  -1.25042
   0.00000,   0.46860
   0.00000,  -0.24330
   0.00000,  -1.01941
   0.00000,  -0.63644
   0.00000,  -0.36457
   0.00000,   0.05857
   0.00000,  -1.23613
   0.00000,  -0.62217
   0.00000,  -0.40560
   0.00000,  -0.60004
   0.00000,  -0.25975
   0.00000,  -0.80321
   0.00000,  -0.26761
   0.00000,  -0.50220
   0.00000,  -0.34471
   0.00000,  -0.15727
   0.00000,  -0.37291
   0.00000,  -1.27450
   0.00000,  -0.91332
   0.00000,  -0.73692
   0.00000,  -0.78203
   0.00000,  -0.76583
   0.00000,  -0.74738
   0.00000,  -1.28224
   0.00000,  -1.42390
   0.00000,  -0.25892
   0.00000,  -1.52966
   0.00000,  -0.79524
   0.00000,  -0.69792
   0.00000,  -0.38414
   0.00000,  -0.88638
   0.00000,  -1.43040
   0.00000,  -0.70629
   0.00000,  -1.03566
   0.00000,  -0.52155
   0.00000,  -0.41502
   0.00000,  -0.95517
   0.00000,  -1.06153
   0.00000,  -0.75298
   0.00000,  -1.29892
   0.00000,  -2.00021
   0.00000,  -0.28008
   0.00000,  -1.08233
   0.00000,  -0.95905
   0.00000,  -0.97863
   0.00000,  -1.00406
   0.00000,  -1.42638
   0.00000,  -1.52633
   0.00000,  -0.63806
   0.00000,  -1.22786
   0.00000,  -0.70361
   0.00000,  -0.56468
   0.00000,  -0.51308
   0.00000,  -0.47203
   0.00000,  -0.18452
   0.00000,  -0.26053
   0.00000,  -0.64854
   0.00000,  -0.43393
   0.00000,  -1.50665
   0.00000,  -0.63141
   0.00000,  -0.95186
   0.00000,  -0.73176
   0.00000,  -0.79119
   0.00000,  -0.99837
   0.00000,  -0.84272
   0.00000,  -0.72034
   0.00000,  -0.40464
   0.00000,  -0.79825
   0.00000,  -1.49108
   0.00000,  -0.37487
   0.00000,  -0.55178
   0.00000,  -0.64411
   0.00000,  -0.44195
   0.00000,  -0.64684
   0.00000,  -0.82845
   0.00000,  -0.31112
   0.00000,  -0.59903
   0.00000,  -0.39774
   0.00000,  -0.84913
   0.00000,  -1.33844
   0.00000,  -0.75566
   0.00000,  -0.41345
   0.00000,  -0.54873
   0.00000,  -1.14560
   0.00000,  -0.66001
   0.00000,  -1.02576
   0.00000,  -0.39407
   0.00000,  -0.97263
   0.00000,  -0.19967
   0.00000,  -0.42016
   0.00000,  -0.87045
   0.00000,  -0.30204
   0.00000,  -0.61389
   0.00000,  -0.53787
   0.00000,  -0.73665
   0.00000,  -0.50856
   0.00000,  -0.61305
   0.00000,  -0.86070
   0.00000,  -0.44680
   0.00000,  -0.54149
   0.00000,  -0.73040
   0.00000,  -0.98699
   0.00000,  -0.40170
   0.00000,  -0.78864
   0.00000,  -0.86420
   0.00000,  -0.45407
   0.00000,  -0.68582
   0.00000,  -1.07999
   0.00000,  -0.75461
   0.00000,  -1.15761
   0.00000,  -0.70797
   0.00000,  -1.24856
   0.00000,  -0.99425
   0.00000,  -1.10709
   0.00000,  -1.28265
   0.00000,  -1.10741
   0.00000,  -0.79175
   0.00000,  -1.10135
   0.00000,  -0.85483
   0.00000,  -0.54333
   0.00000,  -0.67084
   0.00000,  -0.45861
   0.00000,  -1.84018
   0.00000,  -0.59069
   0.00000,  -0.75257
   0.00000,  -0.53051
   0.00000,  -0.90876
   0.00000,  -0.60336
   0.00000,  -0.25709
   0.00000,  -1.01847
   0.00000,  -0.90541
   0.00000,  -0.39635
   0.00000,  -0.28464
   0.00000,  -0.20340
   0.00000,  -0.20823
   0.00000,  -0.38413
   0.00000,  -0.31815
   0.00000,  -0.68802
   0.00000,  -0.43020
   0.00000,  -0.57921
   0.00000,  -0.59359
   0.00000,  -0.64252
   0.00000,  -0.56125
   0.00000,  -0.65667
   0.00000,  -0.82794
   0.00000,  -0.48517
   0.00000,  -1.21737
   0.00000,  -0.77116
   0.00000,  -0.63101
   0.00000,  -0.64006
   0.00000,  -0.49076
   0.00000,  -0.66053
   0.00000,  -0.64656
   0.00000,  -1.14663
   0.00000,  -0.56059
   0.00000,  -1.17111
   0.00000,  -0.83143
   0.00000,  -0.65027
   0.00000,  -1.13299
   0.00000,  -0.60079
   0.00000,  -0.51391
   0.00000,  -0.71191
   0.00000,  -0.43082
   0.00000,  -0.04814
   0.00000,  -0.23885
   0.00000,  -0.34243
   0.00000,  -0.41361
   0.00000,  -0.97204
   0.00000,  -0.39433
   0.00000,  -1.12443
   0.00000,  -0.32226
   0.00000,  -0.57249
   0.00000,  -0.39026
   0.00000,  -0.48818
   0.00000,  -0.73697
   0.00000,  -1.08863
   0.00000,  -0.65230
   0.00000,  -0.44125
   0.00000,  -0.47938
   0.00000,  -0.74159
   0.00000,  -0.52325
   0.00000,  -1.08335
   0.00000,  -0.53491
   0.00000,  -0.59985
   0.00000,  -2.01013
   0.00000,  -0.37722
   0.00000,  -0.20279
   0.00000,  -0.58831
   0.00000,  -0.48520
   0.00000,  -0.75680
   0.00000,  -0.80806
   0.00000,  -0.32424
   0.00000,  -0.33059
   0.00000,  -0.41703
   0.00000,  -0.59011
   0.00000,  -0.64571
   0.00000,  -0.25611
   0.00000,  -0.15785
   0.00000,   0.34581
   0.00000,  -0.46510
   0.00000,  -0.19773
   0.00000,  -0.53234
   0.00000,  -0.47586
   0.00000,  -0.02612
   0.00000,  -0.12409
   0.00000,  -0.41725
   0.00000,  -0.10119
   0.00000,  -0.26551
   0.00000,  -0.19400
   0.00000,  -0.34293
   0.00000,  -0.56240
   0.00000,  -0.62108
   0.00000,  -0.56421
   0.00000,  -1.07172
   0.00000,  -0.50484
   0.00000,  -0.54420
   0.00000,  -0.95085
   0.00000,  -0.67164
   0.00000,  -1.45109
   0.00000,  -0.73895
   0.00000,  -0.87080
   0.00000,  -1.08264
   0.00000,  -0.87597
   0.00000,  -1.59585
   0.00000,  -0.76585
   0.00000,  -0.69845
   0.00000,  -1.49604
   0.00000,  -1.04369
   0.00000,  -1.05179
   0.00000,  -0.99903
   0.00000,  -2.01476
   0.00000,  -0.66342
   0.00000,  -1.11928
   0.00000,  -0.87796
   0.00000,  -0.88526
   0.00000,  -0.80906
   0.00000,  -1.33651
   0.00000,  -0.79917
   0.00000,  -1.06772
   0.00000,  -0.78401
   0.00000,  -0.59445
   0.00000,  -0.69580
   0.00000,  -1.19171
   0.00000,  -1.04487
   0.00000,  -0.57222
   0.00000,  -0.83269
   0.00000,  -0.71896
   0.00000,  -1.30746
   0.00000,  -0.73448
   0.00000,  -1.15589
   0.00000,  -0.37464
   0.00000,  -0.51103
   0.00000,  -0.71959
   0.00000,  -0.46167
   0.00000,  -0.17395
   0.00000,  -0.34929
   0.00000,  -0.42714
   0.00000,  -0.43810
   0.00000,  -0.48481
   0.00000,  -0.68332
   0.00000,  -0.72119
   0.00000,  -0.65707
   0.00000,  -0.62830
   0.00000,  -1.49348
   0.00000,  -0.65961
   0.00000,  -0.59144
   0.00000,  -1.00285
   0.00000,  -0.71593
   0.00000,  -0.59918
   0.00000,  -0.58864
   0.00000,  -0.79517
   0.00000,  -0.66655
   0.00000,  -1.07113
   0.00000,  -0.68676
   0.00000,  -1.00615
   0.00000,  -0.91112
   0.00000,  -1.09918
   0.00000,  -1.04426
   0.00000,  -0.79197
   0.00000,  -1.18095
   0.00000,  -1.47357
   0.00000,  -1.40909
   0.00000,  -0.98850
   0.00000,  -0.68705
   0.00000,  -1.05792
   0.00000,  -1.06901
   0.00000,  -0.90654
   0.00000,  -1.11153
   0.00000,  -1.06337
   0.00000,  -0.68459
   0.00000,  -1.34786
   0.00000,  -1.20059
   0.00000,  -0.81208
   0.00000,  -1.38511
   0.00000,  -1.03340
   0.00000,  -0.91712
   0.00000,  -0.82127
   0.00000,  -1.07798
   0.00000,  -1.00970
   0.00000,  -0.99073
   0.00000,  -0.95133
   0.00000,  -0.98822
   0.00000,  -1.06972
   0.00000,  -0.79168
   0.00000,  -0.86890
   0.00000,  -1.30057
   0.00000,  -0.87640
   0.00000,  -1.03679
   0.00000,  -1.00783
   0.00000,  -0.89007
   0.00000,  -1.29574
   0.00000,  -1.25134
   0.00000,  -0.84730
   0.00000,  -0.40794
   0.00000,  -0.90050
   0.00000,  -0.30731
   0.00000,  -0.82515
   0.00000,  -0.81724
   0.00000,  -0.73437
   0.00000,  -0.13166
   0.00000,  -0.45385
   0.00000,  -0.70567
   0.00000,  -0.76695
   0.00000,  -0.76531
   0.00000,  -0.69032
   0.00000,  -0.56979
   0.00000,  -0.52480
   0.00000,  -0.53843
   0.00000,  -0.56264
   0.00000,  -0.60598
   0.00000,  -0.67455
   0.00000,  -1.17734
   0.00000,  -0.90853
   0.00000,  -1.21463
   0.00000,  -1.02415
   0.00000,  -1.04007
   0.00000,  -1.26581
   0.00000,  -0.99754
   0.00000,  -1.10337
   0.00000,  -0.98805
   0.00000,  -1.16617
   0.00000,  -1.13556
   0.00000,  -1.30569
   0.00000,  -0.91808
   0.00000,  -0.94348
   0.00000,  -0.96152
   0.00000,  -0.83689
   0.00000,  -0.89123
   0.00000,  -1.21416
   0.00000,  -0.94835
   0.00000,  -1.01489
   0.00000,  -0.62422
   0.00000,  -0.99476
   0.00000,  -1.14133
   0.00000,  -1.33303
   0.00000,  -1.27553
   0.00000,  -1.10009
   0.00000,  -0.93121
   0.00000,  -0.90253
   0.00000,  -1.18535
   0.00000,  -1.48005
   0.00000,  -1.29838
   0.00000,  -1.16216
   0.00000,  -1.62557
   0.00000,  -1.75833
   0.00000,  -1.74450
   0.00000,  -1.78925
   0.00000,  -1.11012
   0.00000,  -0.90873
   0.00000,  -0.89286
   0.00000,  -0.68731
   0.00000,  -0.85992
   0.00000,  -1.05215
   0.00000,  -1.10791
   0.00000,  -0.92545
   0.00000,  -0.92896
   0.00000,  -1.07377
   0.00000,  -1.02026
   0.00000,  -1.09150
   0.00000,  -0.85604
   0.00000,  -0.83575
   0.00000,  -0.83206
   0.00000,  -1.06220
   0.00000,  -1.18921
   0.00000,  -1.00793
   0.00000,   0.16437
   0.00000,  -0.53011
   0.00000,  -0.30795
   0.00000,  -0.73994
   0.00000,  -1.57354
   0.00000,  -1.42953
   0.00000,  -1.42234
   0.00000,  -1.38317
   0.00000,  -1.09338
   0.00000,  -1.13169
   0.00000,  -1.09933
   0.00000,  -1.25837
   0.00000,  -1.27338
   0.00000,  -1.12131
   0.00000,  -1.31106
   0.00000,  -0.67957
   0.00000,  -0.69037
   0.00000,  -0.74448
   0.00000,  -0.07636
   0.00000,  -0.90647
   0.00000,  -1.19605
   0.00000,  -1.20114
   0.00000,  -1.07262
   0.00000,  -0.79531
   0.00000,  -1.02770
   0.00000,  -0.92424
   0.00000,  -0.93477
   0.00000,  -0.80154
   0.00000,  -0.69870
   0.00000,  -0.56317
   0.00000,  -0.89063
   0.00000,  -0.42637
   0.00000,  -0.95239
   0.00000,  -0.17770
   0.00000,  -0.84890
   0.00000,  -0.84354
   0.00000,  -0.54901
   0.00000,  -0.67314
   0.00000,  -0.56827
   0.00000,  -0.93268
   0.00000,  -0.57268
   0.00000,  -0.47610
   0.00000,  -0.40421
   0.00000,  -0.04881
   0.00000,  -0.51916
   0.00000,  -0.19782
   0.00000,  -0.85329
   0.00000,  -0.57522
   0.00000,  -0.53354
   0.00000,  -0.90280
   0.00000,  -0.77341
   0.00000,  -0.14835
   0.00000,  -0.49968
   0.00000,  -0.32441
   0.00000,   0.63599
   0.00000,  -0.53388
   0.00000,   0.04781
   0.00000,   0.10715
   0.00000,  -0.03556
   0.00000,  -0.34433
   0.00000,  -0.22141
   0.00000,  -0.20177
   0.00000,  -0.01802
   0.00000,  -0.26653
   0.00000,   0.14160
   0.00000,  -0.19528
   0.00000,   0.04667
   0.00000,  -0.11698
   0.00000,  -0.10001
   0.00000,  -0.48466
   0.00000,  -0.47749
   0.00000,  -0.47525
   0.00000,   0.01638
   0.00000,  -0.04123
   0.00000,   0.35175
   0.00000,  -0.35322
   0.00000,  -0.45454
   0.00000,  -0.56347
   0.00000,  -0.75869
   0.00000,  -0.65885
   0.00000,  -0.71479
   0.00000,  -0.69185
   0.00000,  -1.17377
   0.00000,  -1.10188
   0.00000,  -0.95814
   0.00000,  -0.53331
   0.00000,  -0.81371
   0.00000,  -0.61231
   0.00000,  -0.72554
   0.00000,  -0.75611
   0.00000,  -0.86591
   0.00000,  -0.68937
   0.00000,  -0.36059
   0.00000,  -0.68454
   0.00000,  -0.93079
   0.00000,  -0.74693
   0.00000,  -0.70899
   0.00000,  -0.50770
   0.00000,  -0.73302
   0.00000,  -0.88515
   0.00000,  -0.64320
   0.00000,   0.06892
   0.00000,  -0.60230
   0.00000,  -0.36505
   0.00000,  -0.69944
   0.00000,  -0.60824
   0.00000,  -0.00579
   0.00000,  -0.28273
   0.00000,  -0.69357
   0.00000,  -0.60665
   0.00000,  -0.41013
   0.00000,  -0.68958
   0.00000,  -0.68556
   0.00000,  -0.81907
   0.00000,  -0.80688
   0.00000,  -0.64227
   0.00000,  -0.85031
   0.00000,  -0.84264
   0.00000,  -0.83940
   0.00000,  -0.74094
   0.00000,  -0.55844
   0.00000,  -0.56394
   0.00000,  -0.82538
   0.00000,  -0.80271
   0.00000,  -0.83304
   0.00000,  -1.06759
   0.00000,  -1.34922
   0.00000,  -0.86508
   0.00000,  -0.99398
   0.00000,  -1.08908
   0.00000,  -0.90646
   0.00000,  -0.92883
   0.00000,  -0.80644
   0.00000,  -0.90285
   0.00000,  -0.73686
   0.00000,  -0.51287
   0.00000,  -0.67307
   0.00000,  -0.80539
   0.00000,  -0.71535
   0.00000,  -0.67611
   0.00000,  -0.57712
   0.00000,   0.11193
   0.00000,  -0.39591
   0.00000,  -0.65877
   0.00000,  -0.74350
   0.00000,  -0.80397
   0.00000,  -0.86966
   0.00000,  -0.75252
   0.00000,  -0.58687
   0.00000,  -0.56025
   0.00000,  -0.34672
   0.00000,  -0.39980
   0.00000,  -0.74624
   0.00000,  -0.86991
   0.00000,  -0.73297
   0.00000,  -0.98975
   0.00000,  -1.05148
   0.00000,  -0.79949
   0.00000,  -0.63943
   0.00000,  -0.77468
   0.00000,  -0.70403
   0.00000,  -0.74832
   0.00000,  -0.65768
   0.00000,  -0.63410
   0.00000,  -0.64150
   0.00000,  -0.35188
   0.00000,  -0.51608
   0.00000,  -0.44869
   0.00000,  -0.62892
   0.00000,  -0.75957
   0.00000,  -0.53129
   0.00000,  -0.67626
   0.00000,  -0.31121
   0.00000,  -0.57893
   0.00000,  -0.42124
   0.00000,   0.18395
   0.00000,   0.31895
   0.00000,  -0.51351
   0.00000,  -0.51025
   0.00000,  -0.15089
   0.00000,  -0.41455
   0.00000,  -0.63603
   0.00000,  -0.09894
   0.00000,  -0.71353
   0.00000,  -0.29784
   0.00000,   0.02645
   0.00000,  -0.21841
   0.00000,  -0.33940
   0.00000,  -0.05945
   0.00000,   0.05915
   0.00000,  -0.74356
   0.00000,  -0.41373
   0.00000,  -0.44945
   0.00000,  -0.60171
   0.00000,  -0.49659
   0.00000,  -0.38936
   0.00000,  -0.59459
   0.00000,  -0.75324
   0.00000,  -0.77835
   0.00000,  -0.46401
   0.00000,  -0.72377
   0.00000,  -0.87949
   0.00000,  -0.27373
   0.00000,  -0.67933
   0.00000,  -0.76512
   0.00000,  -0.70508
   0.00000,  -0.75024
   0.00000,  -0.90846
   0.00000,  -0.84759
   0.00000,  -0.60755
   0.00000,  -0.96023
   0.00000,  -0.78494
   0.00000,  -0.99542
   0.00000,  -0.97636
   0.00000,  -0.87131
   0.00000,  -1.10681
   0.00000,  -0.77637
   0.00000,  -0.60296
   0.00000,  -1.12780
   0.00000,  -1.06294
   0.00000,  -0.68549
   0.00000,  -1.03736
   0.00000,  -0.91677
   0.00000,  -1.17641
   0.00000,  -1.06909
   0.00000,  -0.62083
   0.00000,  -0.77610
   0.00000,  -0.98382
   0.00000,  -1.31697
   0.00000,  -0.93536
   0.00000,  -1.24952
   0.00000,  -1.27990
   0.00000,  -1.26712
   0.00000,  -1.05113
   0.00000,  -0.57571
   0.00000,  -0.91150
   0.00000,  -0.88030
   0.00000,  -1.28280
   0.00000,  -0.83164
   0.00000,  -0.83996
   0.00000,  -0.68282
   0.00000,  -1.04921
   0.00000,  -0.85588
   0.00000,  -0.91236
   0.00000,  -1.00922
   0.00000,  -0.55555
   0.00000,  -0.06260
   0.00000,  -0.74701
   0.00000,  -0.83857
   0.00000,  -0.41127
   0.00000,  -0.61698
   0.00000,  -0.42713
   0.00000,  -0.16955
   0.00000,  -1.13537
   0.00000,  -0.55051
   0.00000,  -0.70683
   0.00000,  -0.83205
   0.00000,  -0.80108
   0.00000,  -0.46544
   0.00000,  -0.77834
   0.00000,  -0.47082
   0.00000,  -0.70065
   0.00000,  -0.77840
   0.00000,  -0.77005
   0.00000,  -1.12527
   0.00000,  -1.05842
   0.00000,  -0.60115
   0.00000,  -1.09724
   0.00000,  -0.95569
   0.00000,  -1.03232
   0.00000,  -1.10672
   0.00000,  -0.70078
   0.00000,  -0.80132
   0.00000,  -0.85448
   0.00000,  -0.85106
   0.00000,  -0.70764
   0.00000,  -0.69534
   0.00000,  -0.56363
   0.00000,  -0.37185
   0.00000,  -0.70401
   0.00000,  -0.79589
   0.00000,  -0.75623
   0.00000,  -0.66436
   0.00000,  -0.80894
   0.00000,  -0.80557
   0.00000,  -0.74112
   0.00000,  -0.75579
   0.00000,  -0.97929
   0.00000,  -0.87424
   0.00000,  -0.79349
   0.00000,  -0.93406
   0.00000,  -0.80767
   0.00000,  -0.61416
   0.00000,  -0.73082
   0.00000,  -0.47670
   0.00000,  -0.26454
   0.00000,  -0.47213
   0.00000,  -0.35391
   0.00000,  -0.66352
   0.00000,  -0.60717
   0.00000,  -0.78393
   0.00000,  -0.56395
   0.00000,  -0.66670
   0.00000,  -0.63978
   0.00000,  -0.87903
   0.00000,  -0.37549
   0.00000,  -0.75289
   0.00000,  -0.13615
   0.00000,  -0.36002
   0.00000,  -0.44724
   0.00000,  -0.47085
   0.00000,  -0.62623
   0.00000,  -0.55001
   0.00000,  -0.38837
   0.00000,  -0.30210
   0.00000,  -0.05492
   0.00000,  -0.73122
   0.00000,  -0.91359
   0.00000,  -1.05040
   0.00000,  -0.90892
   0.00000,  -1.14125
   0.00000,  -0.82949
   0.00000,  -0.83133
   0.00000,  -0.80866
   0.00000,  -0.24357
   0.00000,  -0.52492
   0.00000,  -0.14198
   0.00000,  -0.25452
   0.00000,  -0.55219
   0.00000,  -0.16189
   0.00000,  -0.07976
   0.00000,  -0.04494
   0.00000,  -0.13533
   0.00000,   0.00943
   0.00000,  -0.01139
   0.00000,  -1.23640
   0.00000,  -0.10549
   0.00000,  -0.70333
   0.00000,  -0.03831
   0.00000,  -0.49260
   0.00000,  -0.11511
   0.00000,  -0.44879
   0.00000,   0.59378
   0.00000,  -0.13178
   0.00000,  -0.50100
   0.00000,   0.13123
   0.00000,   0.22796
   0.00000,  -0.42654
   0.00000,  -0.15586
   0.00000,  -0.46775
   0.00000,  -0.64896
   0.00000,  -0.33880
   0.00000,  -0.65743
   0.00000,  -0.93076
   0.00000,  -0.44788
   0.00000,  -0.58368
   0.00000,  -0.84396
   0.00000,  -0.59584
   0.00000,  -0.51512
   0.00000,  -0.96638
   0.00000,  -0.94901
   0.00000,  -0.96632
   0.00000,  -0.89124
   0.00000,  -0.70096
   0.00000,  -0.93374
   0.00000,  -0.33305
   0.00000,  -0.47485
   0.00000,  -0.26773
   0.00000,   0.17617
   0.00000,  -0.02337
   0.00000,  -0.24863
   0.00000,  -0.30108
   0.00000,  -0.17232
   0.00000,  -0.67469
   0.00000,  -0.03785
   0.00000,  -0.56403
   0.00000,  -0.67225
   0.00000,  -0.83776
   0.00000,  -0.84645
   0.00000,  -0.83803
   0.00000,  -0.60216
   0.00000,  -0.78008
   0.00000,  -0.70178
   0.00000,  -0.50442
