MSE, Q-LIKE
   0.00000,   0.85517
   0.00000,   0.58829
   0.00000,   0.53589
   0.00000,   0.76220
   0.00000,   0.67366
   0.00000,   0.56161
   0.00000,  -0.17097
   0.00000,   0.27735
   0.00000,   0.09854
   0.00000,   0.55131
   0.00000,   0.11093
   0.00000,   0.34133
   0.00000,   0.48370
   0.00000,  -0.05048
   0.00000,   0.84656
   0.00000,   0.72483
   0.00000,   0.44749
   0.00000,   0.58336
   0.00000,   0.00458
   0.00000,   0.53153
   0.00000,   0.51828
   0.00000,   0.48562
   0.00000,  -0.11824
   0.00000,   0.34843
   0.00000,   0.68340
   0.00000,  -0.21687
   0.00000,   0.03827
   0.00000,   0.86588
   0.00000,   0.31221
   0.00000,   0.29009
   0.00000,   0.29407
   0.00000,   0.44992
   0.00000,   0.26115
   0.00000,   0.18345
   0.00000,   0.17705
   0.00000,   0.36141
   0.00000,  -0.90933
   0.00000,  -0.08747
   0.00000,   0.02952
   0.00000,  -0.27095
   0.00000,   0.00504
   0.00000,  -0.38034
   0.00000,  -0.59232
   0.00000,   0.79535
   0.00000,   0.51512
   0.00000,   0.06152
   0.00000,  -0.43715
   0.00000,   0.37710
   0.00000,  -0.04104
   0.00000,   0.28857
   0.00000,  -0.09835
   0.00000,   0.15947
   0.00000,  -0.51246
   0.00000,   0.02025
   0.00000,  -0.29224
   0.00000,   0.45492
   0.00000,  -0.04024
   0.00000,  -0.32583
   0.00000,   0.16533
   0.00000,   0.35520
   0.00000,  -0.11812
   0.00000,  -0.18335
   0.00000,  -0.90698
   0.00000,   0.09424
   0.00000,  -0.26313
   0.00000,  -0.77991
   0.00000,  -0.17386
   0.00000,  -0.14759
   0.00000,  -0.00635
   0.00000,   0.05385
   0.00000,  -0.22570
   0.00000,   0.05395
   0.00000,   0.40310
   0.00000,  -1.65278
   0.00000,  -0.05186
   0.00000,   0.22291
   0.00000,  -0.03794
   0.00000,  -0.93591
   0.00000,  -0.20453
   0.00000,  -1.88109
   0.00000,   0.87846
   0.00000,   0.36663
   0.00000,  -0.24910
   0.00000,  -0.12921
   0.00000,   0.21141
   0.00000,   0.65399
   0.00000,  -0.31184
   0.00000,  -0.03096
   0.00000,   0.13690
   0.00000,   0.10212
   0.00000,   0.39129
   0.00000,  -0.30543
   0.00000,   0.22041
   0.00000,   0.07916
   0.00000,   0.20465
   0.00000,   0.28837
   0.00000,   0.14650
   0.00000,  -0.74312
   0.00000,  -0.63210
   0.00000,  -0.37157
   0.00000,  -0.34768
   0.00000,  -0.40266
   0.00000,  -0.39213
   0.00000,  -1.06150
   0.00000,  -0.65073
   0.00000,   0.21865
   0.00000,  -1.59122
   0.00000,  -0.79346
   0.00000,  -0.51982
   0.00000,  -0.09144
   0.00000,  -0.98547
   0.00000,  -1.64081
   0.00000,  -0.34258
   0.00000,  -0.91405
   0.00000,  -0.21211
   0.00000,  -0.08705
   0.00000,  -1.06076
   0.00000,  -0.75083
   0.00000,  -0.66309
   0.00000,  -1.69122
   0.00000,  -2.80595
   0.00000,   0.19944
   0.00000,  -0.73777
   0.00000,  -0.47614
   0.00000,  -0.63737
   0.00000,  -0.97711
   0.00000,  -1.34654
   0.00000,  -1.31154
   0.00000,  -0.27495
   0.00000,  -0.82223
   0.00000,  -0.36927
   0.00000,  -0.19183
   0.00000,  -0.15115
   0.00000,  -0.14301
   0.00000,   0.26606
   0.00000,   0.19759
   0.00000,  -0.16396
   0.00000,   0.04559
   0.00000,  -1.47678
   0.00000,  -0.07618
   0.00000,  -0.63313
   0.00000,  -0.40698
   0.00000,  -0.65040
   0.00000,  -1.09411
   0.00000,  -0.70389
   0.00000,  -0.58821
   0.00000,  -0.03261
   0.00000,  -0.69988
   0.00000,  -1.67375
   0.00000,  -0.06468
   0.00000,  -0.42533
   0.00000,  -0.29899
   0.00000,  -0.11957
   0.00000,  -0.50504
   0.00000,  -0.79677
   0.00000,   0.02554
   0.00000,  -0.25097
   0.00000,  -0.28105
   0.00000,  -0.74627
   0.00000,  -1.51144
   0.00000,  -0.66381
   0.00000,  -0.19511
   0.00000,  -0.47179
   0.00000,  -1.58537
   0.00000,  -0.85065
   0.00000,  -1.21962
   0.00000,  -0.42963
   0.00000,  -1.28384
   0.00000,  -0.14298
   0.00000,  -0.37820
   0.00000,  -0.89880
   0.00000,  -0.12216
   0.00000,  -0.37485
   0.00000,  -0.37292
   0.00000,  -0.48687
   0.00000,  -0.29290
   0.00000,  -0.56911
   0.00000,  -0.94466
   0.00000,  -0.46289
   0.00000,  -0.37751
   0.00000,  -0.63393
   0.00000,  -0.84705
   0.00000,  -0.24933
   0.00000,  -0.75864
   0.00000,  -0.87247
   0.00000,  -0.23857
   0.00000,  -0.42858
   0.00000,  -0.75544
   0.00000,  -0.60969
   0.00000,  -1.17083
   0.00000,  -0.52510
   0.00000,  -1.52848
   0.00000,  -1.00086
   0.00000,  -1.21909
   0.00000,  -1.79803
   0.00000,  -1.38810
   0.00000,  -0.73236
   0.00000,  -1.12817
   0.00000,  -0.82705
   0.00000,  -0.35099
   0.00000,  -0.66625
   0.00000,  -0.22842
   0.00000,  -2.32605
   0.00000,  -0.42423
   0.00000,  -0.79718
   0.00000,  -0.48394
   0.00000,  -1.12597
   0.00000,  -0.54537
   0.00000,  -0.18617
   0.00000,  -1.38854
   0.00000,  -1.10227
   0.00000,  -0.23501
   0.00000,  -0.16926
   0.00000,  -0.06507
   0.00000,  -0.03718
   0.00000,  -0.26906
   0.00000,  -0.12417
   0.00000,  -0.63092
   0.00000,  -0.31444
   0.00000,  -0.58482
   0.00000,  -0.33748
   0.00000,  -0.28808
   0.00000,  -0.36062
   0.00000,  -0.44860
   0.00000,  -0.53739
   0.00000,  -0.18746
   0.00000,  -1.02361
   0.00000,  -0.49539
   0.00000,  -0.33985
   0.00000,  -0.43435
   0.00000,  -0.30446
   0.00000,  -0.67843
   0.00000,  -0.40039
   0.00000,  -1.12263
   0.00000,  -0.37440
   0.00000,  -1.07852
   0.00000,  -0.70353
   0.00000,  -0.64606
   0.00000,  -1.24746
   0.00000,  -0.54240
   0.00000,  -0.45473
   0.00000,  -0.59685
   0.00000,  -0.18812
   0.00000,   0.21553
   0.00000,   0.10298
   0.00000,  -0.01378
   0.00000,  -0.15849
   0.00000,  -0.87142
   0.00000,  -0.05061
   0.00000,  -1.12287
   0.00000,  -0.05598
   0.00000,  -0.39420
   0.00000,  -0.14312
   0.00000,  -0.25210
   0.00000,  -0.67428
   0.00000,  -1.20099
   0.00000,  -0.77172
   0.00000,  -0.45550
   0.00000,  -0.44273
   0.00000,  -0.90426
   0.00000,  -0.63126
   0.00000,  -1.42819
   0.00000,  -0.59220
   0.00000,  -0.68169
   0.00000,  -3.25715
   0.00000,  -0.66410
   0.00000,  -0.11152
   0.00000,  -0.87377
   0.00000,  -0.66051
   0.00000,  -0.94978
   0.00000,  -1.06221
   0.00000,  -0.25677
   0.00000,  -0.23374
   0.00000,  -0.39623
   0.00000,  -0.68835
   0.00000,  -0.49346
   0.00000,  -0.19858
   0.00000,  -0.03957
   0.00000,   0.57176
   0.00000,  -0.53221
   0.00000,  -0.11728
   0.00000,  -0.61376
   0.00000,  -0.39039
   0.00000,   0.02707
   0.00000,   0.06955
   0.00000,  -0.34284
   0.00000,  -0.02082
   0.00000,  -0.07987
   0.00000,   0.07045
   0.00000,  -0.21679
   0.00000,  -0.40342
   0.00000,  -0.52441
   0.00000,  -0.54947
   0.00000,  -1.36473
   0.00000,  -0.47436
   0.00000,  -0.51551
   0.00000,  -0.96863
   0.00000,  -0.70962
   0.00000,  -1.32957
   0.00000,  -0.69647
   0.00000,  -1.14634
   0.00000,  -1.16795
   0.00000,  -0.93514
   0.00000,  -1.45269
   0.00000,  -0.57396
   0.00000,  -0.63985
   0.00000,  -1.51120
   0.00000,  -1.40390
   0.00000,  -1.02253
   0.00000,  -1.34428
   0.00000,  -2.91002
   0.00000,  -0.80880
   0.00000,  -1.52287
   0.00000,  -0.99668
   0.00000,  -0.98837
   0.00000,  -0.78603
   0.00000,  -1.47620
   0.00000,  -0.74360
   0.00000,  -1.13864
   0.00000,  -0.59865
   0.00000,  -0.40073
   0.00000,  -0.49928
   0.00000,  -1.19405
   0.00000,  -1.06786
   0.00000,  -0.49746
   0.00000,  -0.84911
   0.00000,  -0.56359
   0.00000,  -1.20435
   0.00000,  -0.64070
   0.00000,  -1.27298
   0.00000,  -0.04150
   0.00000,  -0.44664
   0.00000,  -0.57450
   0.00000,  -0.24158
   0.00000,   0.07445
   0.00000,   0.02417
   0.00000,  -0.11349
   0.00000,  -0.18639
   0.00000,  -0.18478
   0.00000,  -0.53222
   0.00000,  -0.58164
   0.00000,  -0.48712
   0.00000,  -0.43807
   0.00000,  -1.63196
   0.00000,  -0.37232
   0.00000,  -0.51126
   0.00000,  -1.07855
   0.00000,  -0.66660
   0.00000,  -0.39984
   0.00000,  -0.44598
   0.00000,  -0.77690
   0.00000,  -0.55797
   0.00000,  -1.07741
   0.00000,  -0.51131
   0.00000,  -1.02547
   0.00000,  -0.91585
   0.00000,  -1.19435
   0.00000,  -1.21106
   0.00000,  -0.74355
   0.00000,  -1.20734
   0.00000,  -1.55454
   0.00000,  -1.84003
   0.00000,  -1.02976
   0.00000,  -0.66923
   0.00000,  -1.34539
   0.00000,  -1.00337
   0.00000,  -0.81640
   0.00000,  -1.12242
   0.00000,  -1.08404
   0.00000,  -0.41567
   0.00000,  -1.26051
   0.00000,  -1.39518
   0.00000,  -0.77034
   0.00000,  -1.29748
   0.00000,  -0.96693
   0.00000,  -0.89144
   0.00000,  -0.74428
   0.00000,  -1.10036
   0.00000,  -0.95597
   0.00000,  -1.03790
   0.00000,  -1.03673
   0.00000,  -1.13732
   0.00000,  -0.89952
   0.00000,  -0.56063
   0.00000,  -0.67944
   0.00000,  -1.21337
   0.00000,  -0.68203
   0.00000,  -0.96824
   0.00000,  -0.75244
   0.00000,  -0.66201
   0.00000,  -1.23729
   0.00000,  -1.16132
   0.00000,  -0.61662
   0.00000,  -0.11739
   0.00000,  -0.65858
   0.00000,   0.08949
   0.00000,  -0.54037
   0.00000,  -0.56358
   0.00000,  -0.43405
   0.00000,   0.11990
   0.00000,  -0.17989
   0.00000,  -0.47117
   0.00000,  -0.60759
   0.00000,  -0.64197
   0.00000,  -0.53112
   0.00000,  -0.30203
   0.00000,  -0.20791
   0.00000,  -0.25409
   0.00000,  -0.33308
   0.00000,  -0.37604
   0.00000,  -0.33810
   0.00000,  -0.97077
   0.00000,  -0.76723
   0.00000,  -0.83408
   0.00000,  -0.86823
   0.00000,  -0.83640
   0.00000,  -0.93390
   0.00000,  -0.75746
   0.00000,  -0.85654
   0.00000,  -0.75240
   0.00000,  -0.96786
   0.00000,  -0.94908
