MSE, Q-LIKE
   0.00000,   0.75503
   0.00000,   0.23659
   0.00000,   0.22796
   0.00000,   0.44942
   0.00000,   0.26948
   0.00000,   0.13502
   0.00000,  -0.96939
   0.00000,  -0.21718
   0.00000,   0.04913
   0.00000,   0.36873
   0.00000,  -0.27130
   0.00000,  -0.09183
   0.00000,   0.38861
   0.00000,  -0.30230
   0.00000,   0.74679
   0.00000,   0.51521
   0.00000,  -0.34224
   0.00000,   0.35340
   0.00000,  -0.97941
   0.00000,  -0.23107
   0.00000,  -0.11966
   0.00000,   0.48670
   0.00000,  -0.33449
   0.00000,  -0.14056
   0.00000,  -0.05899
   0.00000,  -1.00994
   0.00000,  -0.45390
   0.00000,   0.82225
   0.00000,  -0.26668
   0.00000,  -0.37193
   0.00000,  -0.09929
   0.00000,  -0.04840
   0.00000,  -0.21692
   0.00000,  -0.59786
   0.00000,  -0.40106
   0.00000,   0.00388
   0.00000,  -1.67758
   0.00000,  -0.50370
   0.00000,  -0.33349
   0.00000,  -0.43122
   0.00000,  -0.37312
   0.00000,  -0.57783
   0.00000,  -1.61046
   0.00000,  -1.03432
   0.00000,   0.03623
   0.00000,  -1.06941
   0.00000,  -0.93928
   0.00000,  -0.14671
   0.00000,  -0.49955
   0.00000,  -0.01017
   0.00000,  -0.57760
   0.00000,  -0.16422
   0.00000,  -1.23629
   0.00000,  -0.34402
   0.00000,  -2.00953
   0.00000,  -0.27782
   0.00000,  -0.66146
   0.00000,  -0.54450
   0.00000,  -0.55904
   0.00000,   0.04680
   0.00000,  -0.68303
   0.00000,  -0.65598
   0.00000,  -1.08914
   0.00000,  -0.40437
   0.00000,  -0.52994
   0.00000,  -0.79645
   0.00000,  -0.57206
   0.00000,  -0.49495
   0.00000,   0.06629
   0.00000,  -0.46752
   0.00000,  -0.57584
   0.00000,  -0.14224
   0.00000,   0.13374
   0.00000,  -2.17990
   0.00000,  -0.42313
   0.00000,  -0.13781
   0.00000,  -0.49601
   0.00000,  -0.86235
   0.00000,  -0.61245
   0.00000,  -1.33765
   0.00000,   0.64808
   0.00000,   0.02458
   0.00000,  -1.06195
   0.00000,  -0.23024
   0.00000,   0.02968
   0.00000,   0.30835
   0.00000,  -1.29939
   0.00000,  -0.31129
   0.00000,  -0.06975
   0.00000,  -0.31920
   0.00000,   0.00978
   0.00000,  -0.62603
   0.00000,   0.15966
   0.00000,  -0.27017
   0.00000,  -0.00565
   0.00000,   0.18886
   0.00000,  -0.09069
   0.00000,  -1.28702
   0.00000,  -0.85011
   0.00000,  -0.55593
   0.00000,  -0.55558
   0.00000,  -0.48707
   0.00000,  -0.63132
   0.00000,  -1.19768
   0.00000,  -1.21151
   0.00000,   0.16957
   0.00000,  -1.13783
   0.00000,  -0.47838
   0.00000,  -0.40634
   0.00000,  -0.15224
   0.00000,  -0.83053
   0.00000,  -1.54792
   0.00000,  -0.59102
   0.00000,  -1.20084
   0.00000,  -0.32370
   0.00000,  -0.18909
   0.00000,  -1.07247
   0.00000,  -1.00650
   0.00000,  -0.47599
   0.00000,  -1.37759
   0.00000,  -2.18392
   0.00000,  -0.02646
   0.00000,  -0.89839
   0.00000,  -0.79431
   0.00000,  -1.04066
   0.00000,  -1.01127
   0.00000,  -1.28935
   0.00000,  -1.45145
   0.00000,  -0.60418
   0.00000,  -1.21867
   0.00000,  -0.50627
   0.00000,  -0.28856
   0.00000,  -0.36735
   0.00000,  -0.25011
   0.00000,   0.05142
   0.00000,  -0.03412
   0.00000,  -0.51872
   0.00000,  -0.22974
   0.00000,  -1.69453
   0.00000,  -0.59092
   0.00000,  -1.00517
   0.00000,  -0.66613
   0.00000,  -0.95479
   0.00000,  -1.12066
   0.00000,  -1.14118
   0.00000,  -0.87909
   0.00000,  -0.38911
   0.00000,  -1.12614
   0.00000,  -2.17910
   0.00000,  -0.37512
   0.00000,  -0.74209
   0.00000,  -0.84921
   0.00000,  -0.55436
   0.00000,  -0.69615
   0.00000,  -1.03425
   0.00000,  -0.37298
   0.00000,  -0.97516
   0.00000,  -0.51630
   0.00000,  -1.06192
   0.00000,  -2.19738
   0.00000,  -1.10322
   0.00000,  -0.51549
   0.00000,  -0.86410
   0.00000,  -2.23338
   0.00000,  -1.15301
   0.00000,  -1.70217
   0.00000,  -0.43388
   0.00000,  -1.46455
   0.00000,  -0.26528
   0.00000,  -0.64788
   0.00000,  -1.18113
   0.00000,  -0.36840
   0.00000,  -0.91224
   0.00000,  -0.73534
   0.00000,  -1.04622
   0.00000,  -0.61314
   0.00000,  -0.79636
   0.00000,  -1.28480
   0.00000,  -0.61187
   0.00000,  -0.69857
   0.00000,  -0.97341
   0.00000,  -1.46854
   0.00000,  -0.47746
   0.00000,  -1.26898
   0.00000,  -1.14889
   0.00000,  -0.57245
   0.00000,  -0.94245
   0.00000,  -1.59294
   0.00000,  -0.96374
   0.00000,  -1.73170
   0.00000,  -1.01047
   0.00000,  -1.59552
   0.00000,  -1.42015
   0.00000,  -1.55943
   0.00000,  -1.93839
   0.00000,  -1.46283
   0.00000,  -1.01931
   0.00000,  -1.36088
   0.00000,  -1.08573
   0.00000,  -0.70801
   0.00000,  -0.90928
   0.00000,  -0.59880
   0.00000,  -2.93816
   0.00000,  -0.81217
   0.00000,  -0.94436
   0.00000,  -0.76601
   0.00000,  -1.24157
   0.00000,  -0.72859
   0.00000,  -0.19185
   0.00000,  -1.14340
   0.00000,  -1.12197
   0.00000,  -0.45715
   0.00000,  -0.36053
   0.00000,  -0.25173
   0.00000,  -0.25631
   0.00000,  -0.56334
   0.00000,  -0.38334
   0.00000,  -0.94223
   0.00000,  -0.52040
   0.00000,  -0.85586
   0.00000,  -0.63843
   0.00000,  -0.89208
   0.00000,  -0.56605
   0.00000,  -0.69870
   0.00000,  -1.05918
   0.00000,  -0.41580
   0.00000,  -1.55144
   0.00000,  -0.83602
   0.00000,  -0.63816
   0.00000,  -0.71430
   0.00000,  -0.59071
   0.00000,  -0.49987
   0.00000,  -0.79026
   0.00000,  -1.55739
   0.00000,  -0.65515
   0.00000,  -1.59321
   0.00000,  -1.03622
   0.00000,  -0.91941
   0.00000,  -1.55908
   0.00000,  -0.80422
   0.00000,  -0.51308
   0.00000,  -0.87674
   0.00000,  -0.49300
   0.00000,   0.03029
   0.00000,  -0.25377
   0.00000,  -0.38586
   0.00000,  -0.51421
   0.00000,  -1.48056
   0.00000,  -0.54170
   0.00000,  -1.64479
   0.00000,  -0.38637
   0.00000,  -0.81451
   0.00000,  -0.56776
   0.00000,  -0.58888
   0.00000,  -0.97829
   0.00000,  -1.62829
   0.00000,  -1.01907
   0.00000,  -0.68091
   0.00000,  -0.75883
   0.00000,  -1.16114
   0.00000,  -0.89210
   0.00000,  -1.74393
   0.00000,  -0.81838
   0.00000,  -0.85694
   0.00000,  -2.61116
   0.00000,  -0.49619
   0.00000,  -0.30076
   0.00000,  -0.73996
   0.00000,  -0.64669
   0.00000,  -1.07958
   0.00000,  -1.03211
   0.00000,  -0.37005
   0.00000,  -0.32268
   0.00000,  -0.47531
   0.00000,  -0.80217
   0.00000,  -0.98804
   0.00000,  -0.38018
   0.00000,  -0.20718
   0.00000,   0.42568
   0.00000,  -0.65742
   0.00000,  -0.26037
   0.00000,  -0.74209
   0.00000,  -0.65928
   0.00000,   0.09873
   0.00000,  -0.16742
   0.00000,  -0.58993
   0.00000,  -0.08052
   0.00000,  -0.37323
   0.00000,  -0.20411
   0.00000,  -0.46360
   0.00000,  -0.74278
   0.00000,  -0.89547
   0.00000,  -0.84142
   0.00000,  -1.55447
   0.00000,  -0.72055
   0.00000,  -0.88789
   0.00000,  -1.56880
   0.00000,  -1.06540
   0.00000,  -2.43423
   0.00000,  -1.13457
   0.00000,  -1.37933
   0.00000,  -1.60691
   0.00000,  -1.25418
   0.00000,  -2.60164
   0.00000,  -1.05891
   0.00000,  -0.93272
   0.00000,  -2.27413
   0.00000,  -1.53792
   0.00000,  -1.48260
   0.00000,  -1.45581
   0.00000,  -2.85018
   0.00000,  -0.92914
   0.00000,  -1.58800
   0.00000,  -1.23419
   0.00000,  -1.19914
   0.00000,  -1.05638
   0.00000,  -1.56632
   0.00000,  -0.98616
   0.00000,  -1.31181
   0.00000,  -0.93516
   0.00000,  -0.67157
   0.00000,  -0.87988
   0.00000,  -1.54538
   0.00000,  -1.19491
   0.00000,  -0.63517
   0.00000,  -0.99564
   0.00000,  -0.84758
   0.00000,  -1.68959
   0.00000,  -0.88553
   0.00000,  -1.41976
   0.00000,  -0.45749
   0.00000,  -0.53960
   0.00000,  -0.90497
   0.00000,  -0.63165
   0.00000,  -0.17072
   0.00000,  -0.43243
   0.00000,  -0.51982
   0.00000,  -0.56950
   0.00000,  -0.61614
   0.00000,  -0.88006
   0.00000,  -0.94721
   0.00000,  -0.81633
   0.00000,  -0.77139
   0.00000,  -1.82681
   0.00000,  -0.77748
   0.00000,  -0.66638
   0.00000,  -1.26885
   0.00000,  -0.94446
   0.00000,  -0.82359
   0.00000,  -0.88562
   0.00000,  -1.16823
   0.00000,  -0.96399
   0.00000,  -1.58640
   0.00000,  -0.89293
   0.00000,  -1.40483
   0.00000,  -1.28788
   0.00000,  -1.66023
   0.00000,  -1.50620
   0.00000,  -1.23288
   0.00000,  -1.81996
   0.00000,  -2.19774
   0.00000,  -2.08104
   0.00000,  -1.46578
   0.00000,  -1.00287
   0.00000,  -1.61611
   0.00000,  -1.64910
   0.00000,  -1.32011
   0.00000,  -1.53102
   0.00000,  -1.49832
   0.00000,  -0.87091
   0.00000,  -1.95050
   0.00000,  -1.72405
   0.00000,  -1.21712
   0.00000,  -1.97419
   0.00000,  -1.53177
   0.00000,  -1.25414
   0.00000,  -1.09361
   0.00000,  -1.46229
   0.00000,  -1.35121
   0.00000,  -1.33447
   0.00000,  -1.20698
   0.00000,  -1.17466
   0.00000,  -1.42920
   0.00000,  -0.95539
   0.00000,  -1.08274
   0.00000,  -1.74992
   0.00000,  -1.09588
   0.00000,  -1.35570
   0.00000,  -1.23406
   0.00000,  -1.01290
   0.00000,  -1.56148
   0.00000,  -1.45943
   0.00000,  -0.90266
   0.00000,  -0.49283
   0.00000,  -1.01169
   0.00000,  -0.27256
   0.00000,  -0.88970
   0.00000,  -0.83842
   0.00000,  -0.74120
   0.00000,   0.04396
   0.00000,  -0.48051
   0.00000,  -0.76192
   0.00000,  -0.86086
   0.00000,  -0.90578
   0.00000,  -0.85309
   0.00000,  -0.69086
   0.00000,  -0.62968
   0.00000,  -0.67705
   0.00000,  -0.68009
   0.00000,  -0.70670
   0.00000,  -0.90957
   0.00000,  -1.46248
   0.00000,  -1.05108
   0.00000,  -1.53167
   0.00000,  -1.19560
   0.00000,  -1.22843
   0.00000,  -1.60314
   0.00000,  -1.14597
   0.00000,  -1.28507
   0.00000,  -1.13229
   0.00000,  -1.32007
   0.00000,  -1.25278
   0.00000,  -1.56062
   0.00000,  -0.99496
   0.00000,  -0.99412
   0.00000,  -1.01022
   0.00000,  -0.82089
   0.00000,  -0.89968
   0.00000,  -1.28391
   0.00000,  -0.99534
   0.00000,  -1.08047
   0.00000,  -0.60801
   0.00000,  -1.04666
   0.00000,  -1.24831
   0.00000,  -1.47971
   0.00000,  -1.39197
   0.00000,  -1.17271
   0.00000,  -0.90484
   0.00000,  -0.81083
   0.00000,  -1.24850
   0.00000,  -1.70204
   0.00000,  -1.48633
   0.00000,  -1.36215
   0.00000,  -2.06082
   0.00000,  -2.26651
   0.00000,  -2.18755
   0.00000,  -2.24251
   0.00000,  -1.26986
   0.00000,  -1.03623
   0.00000,  -1.03499
   0.00000,  -0.75150
   0.00000,  -0.98528
   0.00000,  -1.22654
   0.00000,  -1.24574
   0.00000,  -1.01397
   0.00000,  -1.04184
   0.00000,  -1.25905
   0.00000,  -1.15249
   0.00000,  -1.21824
   0.00000,  -0.90164
   0.00000,  -0.80628
   0.00000,  -0.81785
   0.00000,  -1.12710
   0.00000,  -1.33929
   0.00000,  -1.15331
   0.00000,   0.43018
   0.00000,  -0.47570
   0.00000,  -0.22637
   0.00000,  -0.82847
   0.00000,  -1.97404
   0.00000,  -1.83136
   0.00000,  -1.81890
   0.00000,  -1.75129
   0.00000,  -1.19840
   0.00000,  -1.30867
   0.00000,  -1.30793
