MSE, Q-LIKE
   0.00000,  -0.60844
   0.00000,  -0.78232
   0.00000,  -0.81858
   0.00000,  -0.58132
   0.00000,  -0.67807
   0.00000,  -0.80096
   0.00000,  -1.27273
   0.00000,  -1.02417
   0.00000,  -0.82479
   0.00000,  -0.60535
   0.00000,  -1.00717
   0.00000,  -0.88894
   0.00000,  -0.88170
   0.00000,  -0.99478
   0.00000,  -0.27752
   0.00000,  -0.50823
   0.00000,  -0.59421
   0.00000,  -0.69687
   0.00000,  -1.18028
   0.00000,  -0.43994
   0.00000,  -0.58791
   0.00000,  -0.53048
   0.00000,  -0.92940
   0.00000,  -0.85234
   0.00000,  -0.86597
   0.00000,  -1.17750
   0.00000,  -1.19498
   0.00000,  -0.16770
   0.00000,  -0.80959
   0.00000,  -0.80808
   0.00000,  -0.94004
   0.00000,  -0.74342
   0.00000,  -0.82761
   0.00000,  -0.75863
   0.00000,  -0.77305
   0.00000,  -0.78415
   0.00000,  -1.27438
   0.00000,  -1.19490
   0.00000,  -1.00970
   0.00000,  -1.10274
   0.00000,  -1.00128
   0.00000,  -1.15764
   0.00000,  -1.11237
   0.00000,   0.30207
   0.00000,  -0.66209
   0.00000,  -0.80780
   0.00000,  -1.17143
   0.00000,  -0.78217
   0.00000,  -1.00050
   0.00000,  -0.82474
   0.00000,  -0.96460
   0.00000,  -0.88216
   0.00000,  -1.07713
   0.00000,  -0.84190
   0.00000,  -0.86465
   0.00000,  -0.56735
   0.00000,  -0.92988
   0.00000,  -1.06631
   0.00000,  -0.72067
   0.00000,  -0.80042
   0.00000,  -0.98178
   0.00000,  -1.07032
   0.00000,  -1.11576
   0.00000,  -0.98835
   0.00000,  -0.95659
   0.00000,  -1.22718
   0.00000,  -0.89548
   0.00000,  -1.04598
   0.00000,  -0.92701
   0.00000,  -0.81567
   0.00000,  -0.70069
   0.00000,  -0.87163
   0.00000,  -0.73889
   0.00000,  -1.59186
   0.00000,  -1.02642
   0.00000,  -0.89283
   0.00000,  -0.92378
   0.00000,  -1.03881
   0.00000,  -1.13373
   0.00000,  -1.00167
   0.00000,  -0.05587
