MSE, Q-LIKE
   0.00000,   0.62919
   0.00000,   0.13696
   0.00000,   0.09767
   0.00000,   0.42817
   0.00000,   0.15493
   0.00000,  -0.04786
   0.00000,  -0.79167
   0.00000,  -0.29407
   0.00000,   0.19361
   0.00000,   0.30189
   0.00000,  -0.41184
   0.00000,  -0.45656
   0.00000,  -0.00234
   0.00000,  -0.54662
   0.00000,   0.26519
   0.00000,   0.27738
   0.00000,  -0.29331
   0.00000,   0.11091
   0.00000,  -0.89281
   0.00000,   0.03606
   0.00000,  -0.12925
   0.00000,  -0.12652
   0.00000,  -0.33626
   0.00000,  -0.21680
   0.00000,  -0.52414
   0.00000,  -1.02392
   0.00000,  -0.93785
   0.00000,   0.53588
   0.00000,  -0.48377
   0.00000,  -0.38338
   0.00000,  -0.33063
   0.00000,  -0.16200
   0.00000,  -0.21318
   0.00000,  -0.41561
   0.00000,  -0.34426
   0.00000,  -0.04960
   0.00000,  -1.01748
   0.00000,  -0.50474
   0.00000,  -0.43690
   0.00000,  -0.45899
   0.00000,  -0.18617
   0.00000,  -0.48437
   0.00000,  -1.23812
   0.00000,   0.22166
   0.00000,   0.03206
   0.00000,  -0.60678
   0.00000,  -0.87253
   0.00000,  -0.10400
   0.00000,  -0.40519
   0.00000,  -0.10449
   0.00000,  -0.44240
   0.00000,  -0.17278
   0.00000,  -0.71588
   0.00000,  -0.16034
   0.00000,  -1.07311
   0.00000,  -0.08998
   0.00000,  -0.58141
   0.00000,  -0.61353
   0.00000,  -0.65121
   0.00000,  -0.13970
   0.00000,  -0.92333
   0.00000,  -0.61289
   0.00000,  -0.71617
   0.00000,  -0.58944
   0.00000,  -0.38756
   0.00000,  -0.60359
   0.00000,  -0.45955
   0.00000,  -0.66114
   0.00000,  -0.11904
   0.00000,  -0.28009
   0.00000,  -0.09136
   0.00000,  -0.10126
   0.00000,   0.03861
   0.00000,  -1.63493
   0.00000,  -0.39112
   0.00000,  -0.22590
   0.00000,  -0.38512
   0.00000,  -0.35451
   0.00000,  -0.61965
   0.00000,   0.02961
   0.00000,   0.62801
   0.00000,  -0.04533
   0.00000,  -0.49365
   0.00000,  -0.37542
   0.00000,  -0.24217
   0.00000,   0.30865
   0.00000,  -0.82074
   0.00000,  -0.37345
   0.00000,  -0.26131
   0.00000,  -0.47939
   0.00000,  -0.09734
   0.00000,  -0.65501
   0.00000,  -0.04497
   0.00000,  -0.39406
   0.00000,  -0.30821
   0.00000,  -0.06765
   0.00000,  -0.26792
   0.00000,  -0.79852
   0.00000,  -0.81181
   0.00000,  -0.50441
   0.00000,  -0.54497
   0.00000,  -0.40546
   0.00000,  -0.45828
   0.00000,  -1.18860
   0.00000,  -1.12890
   0.00000,   0.08443
   0.00000,  -1.25334
   0.00000,  -0.20798
   0.00000,  -0.67910
   0.00000,  -0.46122
   0.00000,  -0.76289
   0.00000,  -1.48749
   0.00000,  -0.96519
   0.00000,  -1.26817
   0.00000,  -0.70313
