MSE, Q-LIKE
   0.00000,   0.57668
   0.00000,   0.17196
   0.00000,   0.19170
   0.00000,   0.34288
   0.00000,   0.16461
   0.00000,   0.09577
   0.00000,  -1.14613
   0.00000,  -0.41785
   0.00000,  -0.17241
   0.00000,   0.18443
   0.00000,  -0.25533
   0.00000,  -0.04506
   0.00000,   0.42411
   0.00000,  -0.39665
   0.00000,   0.53967
   0.00000,   0.37289
   0.00000,  -0.48773
   0.00000,   0.33168
   0.00000,  -1.33252
   0.00000,  -0.23484
   0.00000,  -0.02972
   0.00000,   0.70985
   0.00000,  -0.22353
   0.00000,  -0.07993
   0.00000,   0.44549
   0.00000,  -0.51010
   0.00000,  -0.08961
   0.00000,   0.91965
   0.00000,  -0.13369
   0.00000,  -0.18850
   0.00000,   0.05015
   0.00000,  -0.05205
   0.00000,  -0.15837
   0.00000,  -0.65104
   0.00000,  -0.34344
   0.00000,  -0.00552
   0.00000,  -1.87435
   0.00000,  -0.46615
   0.00000,  -0.15628
   0.00000,  -0.23223
   0.00000,  -0.11835
   0.00000,  -0.22412
   0.00000,  -0.77451
   0.00000,  -1.26794
   0.00000,   0.13379
   0.00000,  -0.71097
   0.00000,  -0.33195
   0.00000,  -0.00973
   0.00000,  -0.27757
   0.00000,   0.08320
   0.00000,  -0.42586
   0.00000,  -0.00776
   0.00000,  -0.96290
   0.00000,  -0.21881
   0.00000,  -1.49238
   0.00000,  -0.13471
   0.00000,  -0.27738
   0.00000,  -0.32708
   0.00000,  -0.36844
   0.00000,   0.18900
   0.00000,  -0.48977
   0.00000,  -0.40564
   0.00000,  -0.65032
   0.00000,  -0.05513
   0.00000,  -0.28656
   0.00000,  -0.37434
   0.00000,  -0.39799
   0.00000,  -0.33309
   0.00000,   0.11709
   0.00000,  -0.25995
   0.00000,  -0.73206
   0.00000,  -0.06949
   0.00000,   0.16443
   0.00000,  -2.15712
   0.00000,  -0.37396
   0.00000,  -0.02293
   0.00000,  -0.34728
   0.00000,  -1.00713
   0.00000,  -0.53510
   0.00000,  -1.93970
   0.00000,   0.42965
   0.00000,  -0.08845
   0.00000,  -1.03410
   0.00000,  -0.04731
   0.00000,   0.09593
   0.00000,   0.05979
   0.00000,  -1.23684
   0.00000,  -0.23710
   0.00000,  -0.02006
   0.00000,  -0.25533
   0.00000,  -0.04497
   0.00000,  -0.52808
   0.00000,   0.16274
   0.00000,  -0.28383
   0.00000,   0.00031
   0.00000,   0.09091
   0.00000,  -0.20692
   0.00000,  -1.50718
   0.00000,  -0.91182
   0.00000,  -0.56746
   0.00000,  -0.55198
   0.00000,  -0.51888
   0.00000,  -0.79604
   0.00000,  -1.12724
   0.00000,  -0.73327
   0.00000,   0.08066
   0.00000,  -0.88214
   0.00000,  -0.78414
   0.00000,  -0.37931
   0.00000,  -0.34139
   0.00000,  -1.02130
   0.00000,  -1.61946
   0.00000,  -0.55416
   0.00000,  -1.35022
   0.00000,  -0.22290
   0.00000,  -0.16251
   0.00000,  -0.94153
   0.00000,  -0.82197
   0.00000,  -0.54786
   0.00000,  -1.62852
   0.00000,  -1.82316
   0.00000,  -0.06169
   0.00000,  -0.58525
   0.00000,  -0.42362
   0.00000,  -0.94265
   0.00000,  -0.52052
   0.00000,  -0.59627
   0.00000,  -0.84784
   0.00000,  -0.53364
   0.00000,  -0.95786
   0.00000,  -0.22810
   0.00000,  -0.01838
   0.00000,  -0.18282
   0.00000,  -0.09115
   0.00000,   0.10515
   0.00000,   0.08037
   0.00000,  -0.21331
   0.00000,  -0.03140
   0.00000,  -1.13412
   0.00000,  -0.39665
   0.00000,  -0.77626
   0.00000,  -0.34444
   0.00000,  -0.77417
   0.00000,  -1.13569
   0.00000,  -1.06959
   0.00000,  -0.59527
   0.00000,  -0.27640
   0.00000,  -0.88047
   0.00000,  -1.70180
   0.00000,  -0.33980
   0.00000,  -0.62108
   0.00000,  -0.73233
   0.00000,  -0.47305
   0.00000,  -0.57520
   0.00000,  -1.03092
   0.00000,  -0.34069
   0.00000,  -1.06357
   0.00000,  -0.45317
   0.00000,  -0.88283
   0.00000,  -1.82617
   0.00000,  -0.95628
   0.00000,  -0.42118
   0.00000,  -0.95685
   0.00000,  -2.27831
   0.00000,  -1.28855
   0.00000,  -1.53434
   0.00000,  -0.50192
   0.00000,  -1.42525
   0.00000,  -0.26847
   0.00000,  -0.61943
   0.00000,  -1.16278
   0.00000,  -0.39075
   0.00000,  -0.96541
   0.00000,  -0.83753
   0.00000,  -1.04702
   0.00000,  -0.59973
   0.00000,  -0.77452
   0.00000,  -1.12109
   0.00000,  -0.49516
   0.00000,  -0.57088
   0.00000,  -0.79353
   0.00000,  -1.42486
   0.00000,  -0.35649
   0.00000,  -0.97979
   0.00000,  -1.06286
   0.00000,  -0.55068
   0.00000,  -0.73125
   0.00000,  -1.36047
   0.00000,  -0.96411
   0.00000,  -1.73890
   0.00000,  -1.04845
   0.00000,  -1.44875
   0.00000,  -1.52334
   0.00000,  -1.62313
   0.00000,  -1.75913
   0.00000,  -1.39128
   0.00000,  -1.00398
   0.00000,  -1.12676
   0.00000,  -0.91220
   0.00000,  -0.59118
   0.00000,  -0.71672
   0.00000,  -0.48112
   0.00000,  -2.69928
   0.00000,  -0.67860
   0.00000,  -0.86936
   0.00000,  -0.71665
   0.00000,  -1.10381
   0.00000,  -0.75708
   0.00000,  -0.19286
   0.00000,  -0.91524
   0.00000,  -1.08619
   0.00000,  -0.42663
   0.00000,  -0.36480
   0.00000,  -0.29386
   0.00000,  -0.25583
