MSE, Q-LIKE
   0.00000,   0.70353
   0.00000,   0.28718
   0.00000,   0.38887
   0.00000,   0.50184
   0.00000,   0.29452
   0.00000,   0.19279
   0.00000,  -1.07478
   0.00000,  -0.40079
   0.00000,   0.18449
   0.00000,   0.41876
   0.00000,  -0.18075
   0.00000,  -0.06106
   0.00000,   0.63180
   0.00000,  -0.20164
   0.00000,   0.73446
   0.00000,   0.59883
   0.00000,  -0.40054
   0.00000,   0.51585
   0.00000,  -1.79886
   0.00000,  -0.25422
   0.00000,  -0.18376
   0.00000,   0.30127
   0.00000,  -0.29608
   0.00000,  -0.11853
   0.00000,   0.12176
   0.00000,  -0.56338
   0.00000,  -0.05742
   0.00000,   0.93877
   0.00000,  -0.32983
   0.00000,  -0.16246
   0.00000,   0.12457
   0.00000,  -0.09178
   0.00000,  -0.08998
   0.00000,  -0.87046
   0.00000,  -0.55535
   0.00000,   0.14414
   0.00000,  -2.13278
   0.00000,  -0.31409
   0.00000,  -0.20423
   0.00000,  -0.21825
   0.00000,  -0.13515
   0.00000,  -0.15333
   0.00000,  -0.96980
   0.00000,  -3.07071
   0.00000,   0.23773
   0.00000,  -0.85227
   0.00000,  -0.23637
   0.00000,   0.11454
   0.00000,  -0.17397
   0.00000,   0.25507
   0.00000,  -0.25607
   0.00000,   0.20270
   0.00000,  -0.75151
   0.00000,   0.05417
   0.00000,  -1.26612
   0.00000,   0.06684
   0.00000,  -0.00411
   0.00000,  -0.02060
   0.00000,  -0.16376
   0.00000,   0.35626
   0.00000,  -0.32658
   0.00000,  -0.20304
   0.00000,  -0.57640
   0.00000,  -0.10530
   0.00000,  -0.11816
   0.00000,  -0.17637
   0.00000,  -0.06766
   0.00000,  -0.02157
   0.00000,   0.47021
   0.00000,   0.05093
   0.00000,  -0.59350
   0.00000,   0.26385
   0.00000,   0.43009
   0.00000,  -1.76279
   0.00000,   0.06263
   0.00000,   0.18410
   0.00000,  -0.18923
   0.00000,  -0.65693
   0.00000,  -0.35940
   0.00000,  -1.08510
   0.00000,   0.62653
   0.00000,   0.26277
   0.00000,  -0.99590
   0.00000,   0.27964
   0.00000,   0.38992
   0.00000,   0.15147
   0.00000,  -0.85292
   0.00000,   0.15161
   0.00000,   0.36271
   0.00000,   0.03971
   0.00000,   0.25776
   0.00000,  -0.14081
   0.00000,   0.44485
   0.00000,  -0.07870
   0.00000,   0.26265
   0.00000,   0.37783
   0.00000,   0.14775
   0.00000,  -1.17526
   0.00000,  -0.54788
   0.00000,  -0.18381
   0.00000,  -0.34247
   0.00000,  -0.44100
   0.00000,  -0.47124
   0.00000,  -0.90758
   0.00000,  -0.90501
   0.00000,   0.34547
   0.00000,  -0.75130
   0.00000,  -0.39795
   0.00000,   0.07396
   0.00000,  -0.12841
   0.00000,  -0.52618
   0.00000,  -1.12051
   0.00000,  -0.20484
   0.00000,  -0.86380
   0.00000,   0.15715
   0.00000,   0.18239
   0.00000,  -0.51952
