MSE, Q-LIKE
   0.00000,   0.74275
   0.00000,   0.21429
   0.00000,   0.19179
   0.00000,   0.52435
   0.00000,   0.28551
   0.00000,   0.12393
   0.00000,  -0.45686
   0.00000,  -0.10964
   0.00000,  -0.08692
   0.00000,   0.24240
   0.00000,  -0.01132
   0.00000,  -0.28628
   0.00000,  -0.05246
   0.00000,  -0.60373
   0.00000,   0.64978
   0.00000,   0.25309
   0.00000,  -0.22365
   0.00000,   0.10598
   0.00000,  -0.63243
   0.00000,   0.15988
   0.00000,   0.07515
   0.00000,  -1.33887
   0.00000,  -0.37458
   0.00000,   0.03898
   0.00000,  -0.17775
   0.00000,  -0.38132
   0.00000,  -0.31892
   0.00000,   0.41699
   0.00000,   0.02543
   0.00000,  -0.13808
   0.00000,  -0.09774
   0.00000,   0.14859
   0.00000,  -0.10420
   0.00000,  -0.21065
   0.00000,  -0.12413
   0.00000,  -0.01280
   0.00000,  -0.82201
   0.00000,  -0.43845
   0.00000,  -0.25963
   0.00000,  -0.50723
   0.00000,  -0.36470
   0.00000,  -0.54700
   0.00000,  -1.20258
   0.00000,   0.57195
   0.00000,   0.05860
   0.00000,  -0.55913
   0.00000,  -1.21189
   0.00000,  -0.14240
   0.00000,  -0.39637
   0.00000,  -0.09983
   0.00000,  -0.38586
   0.00000,  -0.18118
   0.00000,  -0.73301
   0.00000,  -0.18662
   0.00000,  -0.85305
   0.00000,  -0.07377
   0.00000,  -0.58959
   0.00000,  -0.44478
   0.00000,  -0.36508
   0.00000,   0.05596
   0.00000,  -0.32977
   0.00000,  -0.44597
   0.00000,  -0.33207
   0.00000,  -0.15228
   0.00000,  -0.07388
   0.00000,  -0.36145
   0.00000,  -0.23260
   0.00000,  -0.26238
   0.00000,  -0.04586
   0.00000,  -0.14539
   0.00000,  -0.08051
   0.00000,  -0.04004
   0.00000,   0.20236
   0.00000,  -0.34154
   0.00000,   0.15134
   0.00000,   0.04732
   0.00000,  -0.22852
   0.00000,  -0.62044
   0.00000,  -0.38373
   0.00000,  -1.05485
   0.00000,   0.70088
   0.00000,   0.11241
   0.00000,  -0.20291
   0.00000,  -0.08077
   0.00000,  -0.07063
   0.00000,   0.52813
   0.00000,  -0.61328
   0.00000,  -0.06998
   0.00000,  -0.02262
   0.00000,  -0.15688
   0.00000,   0.10159
   0.00000,  -0.53802
   0.00000,   0.18580
   0.00000,  -0.04064
   0.00000,   0.04297
   0.00000,   0.14606
   0.00000,  -0.08504
   0.00000,  -0.56654
   0.00000,  -0.63555
   0.00000,  -0.34694
   0.00000,  -0.23602
   0.00000,  -0.34688
   0.00000,  -0.30804
   0.00000,  -0.87487
   0.00000,  -0.68746
   0.00000,   0.19304
   0.00000,  -0.90456
   0.00000,  -0.25256
   0.00000,  -0.52238
   0.00000,  -0.35344
   0.00000,  -0.71761
   0.00000,  -1.10432
   0.00000,  -0.39212
   0.00000,  -0.63842
   0.00000,  -0.47302
   0.00000,  -0.37343
   0.00000,  -1.18329
   0.00000,  -0.90503
   0.00000,  -0.32766
   0.00000,  -1.23825
   0.00000,  -2.10425
   0.00000,   0.06248
   0.00000,  -0.64969
   0.00000,  -0.52894
   0.00000,  -0.07103
   0.00000,  -1.20403
   0.00000,  -1.50385
   0.00000,  -0.98296
   0.00000,  -0.42283
   0.00000,  -0.72315
   0.00000,  -0.51527
   0.00000,  -0.46007
   0.00000,  -0.42370
   0.00000,  -0.30632
   0.00000,  -0.03789
   0.00000,  -0.13702
   0.00000,  -0.48031
   0.00000,  -0.24875
   0.00000,  -1.53998
   0.00000,  -0.40930
   0.00000,  -0.73527
   0.00000,  -0.57651
   0.00000,  -0.84323
   0.00000,  -1.03216
   0.00000,  -0.80853
   0.00000,  -0.90215
   0.00000,  -0.29855
   0.00000,  -0.89491
   0.00000,  -1.42264
   0.00000,  -0.28123
   0.00000,  -0.64041
   0.00000,  -0.50281
   0.00000,  -0.45222
   0.00000,  -0.67822
   0.00000,  -0.75001
   0.00000,  -0.25190
   0.00000,  -0.37814
   0.00000,  -0.48149
   0.00000,  -0.87845
   0.00000,  -1.74140
   0.00000,  -0.92169
   0.00000,  -0.51142
   0.00000,  -0.70801
   0.00000,  -1.61534
   0.00000,  -0.78688
   0.00000,  -1.31480
   0.00000,  -0.46158
   0.00000,  -0.87824
   0.00000,  -0.07900
   0.00000,  -0.29488
   0.00000,  -0.30852
   0.00000,  -0.20502
   0.00000,  -0.29944
   0.00000,  -0.16664
   0.00000,  -0.35253
   0.00000,  -0.23722
   0.00000,  -0.47643
   0.00000,  -0.88250
   0.00000,  -0.57851
   0.00000,  -0.38714
   0.00000,  -0.64663
   0.00000,  -0.78819
   0.00000,  -0.44523
   0.00000,  -0.93679
   0.00000,  -0.71100
   0.00000,  -0.43266
   0.00000,  -0.72439
   0.00000,  -0.86800
   0.00000,  -0.64224
   0.00000,  -0.90046
   0.00000,  -0.62066
   0.00000,  -1.02306
   0.00000,  -0.85696
   0.00000,  -0.75666
   0.00000,  -1.56569
   0.00000,  -1.16837
   0.00000,  -0.74998
   0.00000,  -0.72887
   0.00000,  -0.82020
   0.00000,  -0.61288
   0.00000,  -0.81460
   0.00000,  -0.50181
   0.00000,  -1.83972
   0.00000,  -0.67314
   0.00000,  -0.81554
   0.00000,  -0.71731
   0.00000,  -0.96538
   0.00000,  -0.63580
   0.00000,  -0.31431
   0.00000,  -0.92833
   0.00000,  -1.08401
   0.00000,  -0.43869
   0.00000,  -0.40913
   0.00000,  -0.33234
   0.00000,  -0.31488
   0.00000,  -0.49826
   0.00000,  -0.38896
   0.00000,  -0.79965
   0.00000,  -0.57509
   0.00000,  -0.87594
   0.00000,  -0.71241
   0.00000,  -0.54373
   0.00000,  -0.67984
   0.00000,  -0.82614
   0.00000,  -0.89632
   0.00000,  -0.57159
   0.00000,  -1.29075
   0.00000,  -0.84832
   0.00000,  -0.73821
   0.00000,  -0.82966
   0.00000,  -0.80537
   0.00000,  -0.88527
   0.00000,  -0.85624
   0.00000,  -1.45010
   0.00000,  -0.81362
   0.00000,  -1.34032
   0.00000,  -1.15184
   0.00000,  -1.11298
   0.00000,  -1.53136
   0.00000,  -0.98412
   0.00000,  -0.99682
   0.00000,  -1.03628
   0.00000,  -0.63660
   0.00000,  -0.34009
   0.00000,  -0.47918
   0.00000,  -0.47439
   0.00000,  -0.59238
   0.00000,  -1.05309
   0.00000,  -0.50157
   0.00000,  -1.34828
   0.00000,  -0.50967
   0.00000,  -0.76673
   0.00000,  -0.53416
   0.00000,  -0.63953
   0.00000,  -0.93089
   0.00000,  -1.36601
   0.00000,  -1.17979
   0.00000,  -0.83910
   0.00000,  -0.73222
   0.00000,  -1.09935
   0.00000,  -0.87357
   0.00000,  -1.42147
   0.00000,  -0.78365
   0.00000,  -0.91465
   0.00000,  -1.96514
   0.00000,  -0.89916
   0.00000,  -0.44158
   0.00000,  -0.93676
   0.00000,  -0.78357
   0.00000,  -1.11762
   0.00000,  -1.22616
   0.00000,  -0.59579
   0.00000,  -0.52331
   0.00000,  -0.70947
   0.00000,  -0.95891
   0.00000,  -0.80074
   0.00000,  -0.46702
