MSE, Q-LIKE
   0.00000,  -0.21096
   0.00000,  -0.39739
   0.00000,  -0.47759
   0.00000,  -0.27695
   0.00000,  -0.33290
   0.00000,  -0.45418
   0.00000,  -1.16990
   0.00000,  -0.60486
   0.00000,  -0.64879
   0.00000,  -0.40711
   0.00000,  -0.95490
   0.00000,  -0.60475
   0.00000,  -0.33489
   0.00000,  -0.88710
   0.00000,   0.06910
   0.00000,  -0.16746
   0.00000,  -0.74226
   0.00000,  -0.40431
   0.00000,  -0.91483
   0.00000,  -0.82999
   0.00000,  -0.65525
   0.00000,   0.38726
   0.00000,  -0.87952
   0.00000,  -0.75814
   0.00000,  -0.30810
   0.00000,  -1.19298
   0.00000,  -0.63844
   0.00000,   0.23045
   0.00000,  -0.75991
   0.00000,  -0.85080
   0.00000,  -0.65877
   0.00000,  -0.71621
   0.00000,  -0.79075
   0.00000,  -0.94851
   0.00000,  -0.88319
   0.00000,  -0.69624
   0.00000,  -1.72721
   0.00000,  -0.98213
   0.00000,  -0.88397
   0.00000,  -0.95651
   0.00000,  -0.99156
   0.00000,  -1.06827
   0.00000,  -1.12392
   0.00000,  -1.28424
   0.00000,  -0.64606
   0.00000,  -1.17722
   0.00000,  -0.88360
   0.00000,  -0.76934
   0.00000,  -1.03310
   0.00000,  -0.74887
   0.00000,  -1.08149
   0.00000,  -0.84098
   0.00000,  -1.42539
   0.00000,  -0.96739
   0.00000,  -1.63347
   0.00000,  -0.83417
   0.00000,  -0.98262
   0.00000,  -1.04956
   0.00000,  -0.74517
   0.00000,  -0.62972
   0.00000,  -0.99400
   0.00000,  -0.97654
   0.00000,  -1.45812
   0.00000,  -0.82881
   0.00000,  -1.06979
   0.00000,  -1.27888
   0.00000,  -1.03318
   0.00000,  -0.84200
   0.00000,  -0.70750
   0.00000,  -0.99104
   0.00000,  -1.16426
   0.00000,  -0.84329
   0.00000,  -0.70621
   0.00000,  -2.57416
   0.00000,  -1.23968
   0.00000,  -0.89502
   0.00000,  -1.13307
   0.00000,  -1.41270
   0.00000,  -1.13221
   0.00000,  -2.01759
   0.00000,  -0.32667
   0.00000,  -0.71363
   0.00000,  -1.55081
   0.00000,  -0.96574
   0.00000,  -0.73576
   0.00000,  -0.83273
   0.00000,  -1.55197
   0.00000,  -1.04456
   0.00000,  -0.87564
   0.00000,  -0.93045
   0.00000,  -0.79316
   0.00000,  -1.14238
   0.00000,  -0.64166
   0.00000,  -0.89180
   0.00000,  -0.70671
   0.00000,  -0.65217
   0.00000,  -0.80143
   0.00000,  -1.58664
   0.00000,  -1.28477
   0.00000,  -1.18368
   0.00000,  -1.16869
   0.00000,  -1.26803
   0.00000,  -1.30753
   0.00000,  -1.65943
   0.00000,  -1.52415
   0.00000,  -0.91849
   0.00000,  -1.87985
   0.00000,  -1.34702
   0.00000,  -1.17922
   0.00000,  -1.08059
   0.00000,  -1.43254
   0.00000,  -1.91615
   0.00000,  -1.16898
   0.00000,  -1.72248
   0.00000,  -1.03365
   0.00000,  -1.03613
   0.00000,  -1.62137
   0.00000,  -1.49327
   0.00000,  -1.31908
   0.00000,  -1.92318
   0.00000,  -2.29022
   0.00000,  -1.08117
   0.00000,  -1.57853
   0.00000,  -1.55711
   0.00000,  -2.00122
   0.00000,  -1.56570
   0.00000,  -1.51564
   0.00000,  -1.94083
   0.00000,  -1.29655
   0.00000,  -1.53986
   0.00000,  -1.23172
   0.00000,  -0.93525
   0.00000,  -1.05701
   0.00000,  -1.03647
   0.00000,  -0.83763
   0.00000,  -0.86257
   0.00000,  -1.07059
   0.00000,  -1.00800
   0.00000,  -1.75252
   0.00000,  -1.19628
   0.00000,  -1.49285
   0.00000,  -1.31916
   0.00000,  -1.49182
   0.00000,  -1.63159
   0.00000,  -1.61820
   0.00000,  -1.56802
   0.00000,  -1.18166
   0.00000,  -1.52441
   0.00000,  -2.00033
   0.00000,  -1.17936
   0.00000,  -1.40551
   0.00000,  -1.45016
   0.00000,  -1.25555
   0.00000,  -1.40250
   0.00000,  -1.65464
   0.00000,  -1.19593
   0.00000,  -1.50689
   0.00000,  -1.28960
   0.00000,  -1.55831
   0.00000,  -2.10680
   0.00000,  -1.65243
   0.00000,  -1.30758
   0.00000,  -1.57217
   0.00000,  -2.32720
   0.00000,  -1.86166
   0.00000,  -2.08000
   0.00000,  -1.36789
   0.00000,  -2.17024
   0.00000,  -1.28427
   0.00000,  -1.53586
   0.00000,  -1.87735
   0.00000,  -1.36427
   0.00000,  -1.79915
   0.00000,  -1.78560
   0.00000,  -1.85547
   0.00000,  -1.56608
   0.00000,  -1.74187
   0.00000,  -1.87076
   0.00000,  -1.55822
   0.00000,  -1.62776
   0.00000,  -1.89151
   0.00000,  -2.12269
   0.00000,  -1.47419
   0.00000,  -1.92132
   0.00000,  -2.00989
   0.00000,  -1.55240
   0.00000,  -1.80689
   0.00000,  -2.11699
   0.00000,  -1.85683
   0.00000,  -2.35345
   0.00000,  -1.88078
   0.00000,  -2.23670
   0.00000,  -2.15078
   0.00000,  -2.41224
   0.00000,  -2.44566
