MSE, Q-LIKE
   0.00000,   0.63554
   0.00000,   0.34414
   0.00000,   0.28101
   0.00000,   0.48302
   0.00000,   0.44273
   0.00000,   0.28364
   0.00000,  -0.28661
   0.00000,   0.12555
   0.00000,  -0.14168
   0.00000,   0.33927
   0.00000,   0.07616
   0.00000,   0.07673
   0.00000,   0.21253
   0.00000,   0.00098
   0.00000,   0.72296
   0.00000,   0.49012
   0.00000,   0.11905
   0.00000,   0.35162
   0.00000,  -0.08407
   0.00000,   0.34344
   0.00000,   0.34178
   0.00000,  -0.10423
   0.00000,  -0.16489
   0.00000,   0.24953
   0.00000,   0.43674
   0.00000,  -0.33135
   0.00000,  -0.08223
   0.00000,   0.62954
   0.00000,   0.22342
   0.00000,   0.13326
   0.00000,   0.13051
   0.00000,   0.32629
   0.00000,   0.11325
   0.00000,   0.12257
   0.00000,   0.10329
   0.00000,   0.25818
   0.00000,  -0.53890
   0.00000,  -0.13359
   0.00000,   0.01938
   0.00000,  -0.29515
   0.00000,   0.01522
   0.00000,  -0.43444
   0.00000,  -0.48874
   0.00000,   0.77954
   0.00000,   0.32996
   0.00000,  -0.11432
   0.00000,  -0.37350
   0.00000,   0.17887
   0.00000,  -0.13450
   0.00000,   0.19840
   0.00000,  -0.07731
   0.00000,   0.07967
   0.00000,  -0.42184
   0.00000,  -0.05198
   0.00000,  -0.47496
   0.00000,   0.23125
   0.00000,  -0.15652
   0.00000,  -0.23093
   0.00000,  -0.11141
   0.00000,   0.17199
   0.00000,  -0.25122
   0.00000,  -0.31588
   0.00000,  -0.68856
   0.00000,  -0.01839
   0.00000,  -0.21527
   0.00000,  -0.61631
   0.00000,  -0.14104
   0.00000,  -0.22580
   0.00000,  -0.11592
   0.00000,  -0.09268
   0.00000,  -0.29996
   0.00000,  -0.12536
   0.00000,   0.20481
   0.00000,  -0.98405
   0.00000,  -0.04984
   0.00000,   0.03628
   0.00000,  -0.21588
   0.00000,  -0.92013
   0.00000,  -0.25142
   0.00000,  -1.84008
   0.00000,   0.76164
   0.00000,   0.15432
   0.00000,  -0.33966
   0.00000,  -0.13007
   0.00000,   0.02016
   0.00000,   0.57832
   0.00000,  -0.41133
   0.00000,  -0.03574
   0.00000,   0.07298
   0.00000,   0.02604
   0.00000,   0.30631
   0.00000,  -0.14719
   0.00000,   0.24506
   0.00000,   0.08215
   0.00000,   0.16243
   0.00000,   0.22814
   0.00000,   0.10729
   0.00000,  -0.54245
   0.00000,  -0.32414
   0.00000,  -0.20307
   0.00000,  -0.14143
   0.00000,  -0.15320
   0.00000,  -0.26095
   0.00000,  -0.71760
   0.00000,  -0.53998
   0.00000,   0.14856
   0.00000,  -1.15310
   0.00000,  -0.55518
   0.00000,  -0.59072
   0.00000,  -0.04870
   0.00000,  -0.56441
   0.00000,  -0.97795
   0.00000,  -0.11742
   0.00000,  -0.49198
   0.00000,  -0.14141
   0.00000,  -0.04648
   0.00000,  -0.63279
   0.00000,  -0.56273
   0.00000,  -0.37739
   0.00000,  -1.27069
   0.00000,  -2.26917
   0.00000,   0.21783
   0.00000,  -0.41661
   0.00000,  -0.24947
   0.00000,  -0.23789
   0.00000,  -0.58654
   0.00000,  -1.08785
   0.00000,  -0.69272
   0.00000,  -0.11565
   0.00000,  -0.53838
   0.00000,  -0.21388
   0.00000,  -0.27491
   0.00000,  -0.17533
   0.00000,  -0.18230
   0.00000,   0.15674
   0.00000,   0.08672
   0.00000,  -0.20299
   0.00000,   0.00382
   0.00000,  -1.07966
   0.00000,  -0.13308
   0.00000,  -0.47978
   0.00000,  -0.34718
   0.00000,  -0.47007
   0.00000,  -0.79170
   0.00000,  -0.47086
   0.00000,  -0.45443
   0.00000,  -0.04259
   0.00000,  -0.48983
   0.00000,  -1.03233
   0.00000,  -0.04571
   0.00000,  -0.27619
   0.00000,  -0.23807
   0.00000,  -0.12633
   0.00000,  -0.38255
   0.00000,  -0.56899
   0.00000,   0.02036
   0.00000,  -0.11186
   0.00000,  -0.22320
   0.00000,  -0.67437
   0.00000,  -1.04558
   0.00000,  -0.54140
   0.00000,  -0.27694
   0.00000,  -0.41079
   0.00000,  -1.12001
   0.00000,  -0.64333
   0.00000,  -0.95573
   0.00000,  -0.31002
   0.00000,  -1.00338
   0.00000,  -0.03174
   0.00000,  -0.32658
   0.00000,  -0.56220
   0.00000,  -0.08973
   0.00000,  -0.18701
   0.00000,  -0.23020
   0.00000,  -0.38808
   0.00000,  -0.26529
   0.00000,  -0.42736
   0.00000,  -0.74960
   0.00000,  -0.35860
   0.00000,  -0.31794
   0.00000,  -0.47478
   0.00000,  -0.82728
   0.00000,  -0.35594
   0.00000,  -0.68181
   0.00000,  -0.77277
   0.00000,  -0.25635
   0.00000,  -0.51159
   0.00000,  -0.74493
   0.00000,  -0.56928
   0.00000,  -0.92986
   0.00000,  -0.60039
   0.00000,  -1.13803
   0.00000,  -0.74766
   0.00000,  -0.79911
   0.00000,  -1.06669
   0.00000,  -0.95836
   0.00000,  -0.56198
   0.00000,  -0.75887
   0.00000,  -0.58098
   0.00000,  -0.28626
   0.00000,  -0.53013
   0.00000,  -0.21125
   0.00000,  -1.62170
   0.00000,  -0.32484
   0.00000,  -0.52817
   0.00000,  -0.28467
   0.00000,  -0.70069
   0.00000,  -0.27932
   0.00000,  -0.12134
   0.00000,  -0.85039
   0.00000,  -0.72948
   0.00000,  -0.23529
   0.00000,  -0.17958
   0.00000,  -0.06806
   0.00000,  -0.04047
   0.00000,  -0.18322
   0.00000,  -0.07880
   0.00000,  -0.37078
   0.00000,  -0.22104
   0.00000,  -0.32050
   0.00000,  -0.26869
   0.00000,  -0.10806
   0.00000,  -0.23875
   0.00000,  -0.30564
   0.00000,  -0.38988
   0.00000,  -0.15204
   0.00000,  -0.73110
   0.00000,  -0.40028
   0.00000,  -0.26372
   0.00000,  -0.28072
   0.00000,  -0.16255
   0.00000,  -0.39963
   0.00000,  -0.28907
   0.00000,  -0.87921
   0.00000,  -0.29189
   0.00000,  -0.77624
   0.00000,  -0.48755
   0.00000,  -0.43925
   0.00000,  -0.87612
   0.00000,  -0.42454
   0.00000,  -0.47633
   0.00000,  -0.47442
   0.00000,  -0.13845
   0.00000,   0.17564
   0.00000,   0.07214
   0.00000,   0.01425
   0.00000,  -0.11762
   0.00000,  -0.58255
   0.00000,  -0.07071
   0.00000,  -0.63786
   0.00000,  -0.01727
   0.00000,  -0.30046
   0.00000,  -0.09451
   0.00000,  -0.21051
   0.00000,  -0.53508
   0.00000,  -0.84081
   0.00000,  -0.53882
   0.00000,  -0.32956
   0.00000,  -0.31650
   0.00000,  -0.63352
   0.00000,  -0.46224
   0.00000,  -1.06255
   0.00000,  -0.44930
   0.00000,  -0.57614
   0.00000,  -2.18507
   0.00000,  -0.63666
