MSE, Q-LIKE
   0.00000,   0.64126
   0.00000,   0.36973
   0.00000,   0.30227
   0.00000,   0.51664
   0.00000,   0.50769
   0.00000,   0.28573
   0.00000,   0.01976
   0.00000,   0.28678
   0.00000,   0.19352
   0.00000,   0.42638
   0.00000,   0.11202
   0.00000,   0.18526
   0.00000,   0.11172
   0.00000,  -0.24815
   0.00000,   0.78358
   0.00000,   0.52388
   0.00000,   0.43701
   0.00000,   0.36487
   0.00000,   0.32776
   0.00000,   0.53408
   0.00000,   0.46246
   0.00000,   0.36733
   0.00000,   0.03608
   0.00000,   0.20822
   0.00000,   0.10814
   0.00000,  -0.28482
   0.00000,  -0.39324
   0.00000,   0.36405
   0.00000,   0.19113
   0.00000,   0.10740
   0.00000,  -0.03232
   0.00000,   0.27927
   0.00000,   0.09243
   0.00000,   0.31550
   0.00000,   0.17793
   0.00000,   0.23322
   0.00000,  -0.10481
   0.00000,  -0.25473
   0.00000,  -0.03448
   0.00000,  -0.24168
   0.00000,  -0.08887
   0.00000,  -0.44672
   0.00000,  -0.66922
   0.00000,   0.89927
   0.00000,   0.29935
   0.00000,   0.07759
   0.00000,  -0.48701
   0.00000,   0.15442
   0.00000,  -0.15091
   0.00000,   0.12921
   0.00000,  -0.03317
   0.00000,   0.02023
   0.00000,  -0.21313
   0.00000,   0.00387
   0.00000,  -0.14078
   0.00000,   0.27781
   0.00000,  -0.15167
   0.00000,  -0.20337
   0.00000,   0.21108
   0.00000,   0.14731
   0.00000,   0.04157
   0.00000,  -0.16823
   0.00000,  -0.37193
   0.00000,  -0.10883
   0.00000,  -0.07204
   0.00000,  -0.52803
   0.00000,  -0.02869
   0.00000,  -0.14224
   0.00000,  -0.06624
   0.00000,  -0.02450
   0.00000,   0.18479
   0.00000,  -0.02631
   0.00000,   0.18975
   0.00000,  -0.93281
   0.00000,  -0.08377
   0.00000,   0.02697
   0.00000,  -0.05273
   0.00000,  -0.21221
   0.00000,  -0.11986
   0.00000,  -0.24097
   0.00000,   0.80887
   0.00000,   0.28133
   0.00000,   0.14806
   0.00000,  -0.15619
   0.00000,  -0.03089
   0.00000,   0.70208
   0.00000,  -0.00718
   0.00000,  -0.00373
   0.00000,  -0.01112
   0.00000,  -0.02344
   0.00000,   0.32595
   0.00000,  -0.09944
   0.00000,   0.13970
   0.00000,   0.13282
   0.00000,   0.05431
   0.00000,   0.18594
   0.00000,   0.08999
   0.00000,  -0.08282
   0.00000,  -0.20584
   0.00000,  -0.05574
   0.00000,  -0.03741
   0.00000,   0.02869
   0.00000,   0.14901
   0.00000,  -0.32127
   0.00000,  -0.30870
   0.00000,   0.18545
   0.00000,  -0.96615
   0.00000,  -0.03244
   0.00000,  -0.40709
   0.00000,   0.13710
   0.00000,  -0.21393
   0.00000,  -0.79136
   0.00000,  -0.15462
   0.00000,  -0.33658
   0.00000,  -0.26301
   0.00000,  -0.09179
   0.00000,  -0.50442
   0.00000,  -0.36816
   0.00000,  -0.23596
   0.00000,  -0.32297
   0.00000,  -1.37777
   0.00000,   0.21496
   0.00000,  -0.51823
   0.00000,  -0.44832
   0.00000,  -0.42912
   0.00000,  -0.84888
   0.00000,  -1.24314
   0.00000,  -0.82207
   0.00000,  -0.10522
   0.00000,  -0.52558
   0.00000,  -0.42344
   0.00000,  -0.57440
   0.00000,  -0.28232
   0.00000,  -0.30540
   0.00000,   0.02906
   0.00000,  -0.07948
   0.00000,  -0.37406
   0.00000,  -0.18968
   0.00000,  -1.12857
   0.00000,  -0.18457
   0.00000,  -0.38824
   0.00000,  -0.49341
   0.00000,  -0.37000
   0.00000,  -0.51132
   0.00000,  -0.30344
   0.00000,  -0.53324
   0.00000,  -0.21678
   0.00000,  -0.56286
   0.00000,  -1.17040
   0.00000,  -0.17478
   0.00000,  -0.31648
   0.00000,  -0.23859
   0.00000,  -0.20025
   0.00000,  -0.66410
   0.00000,  -0.50227
   0.00000,  -0.11836
   0.00000,  -0.03626
   0.00000,  -0.41507
   0.00000,  -0.82249
   0.00000,  -0.97603
   0.00000,  -0.54211
   0.00000,  -0.44280
   0.00000,  -0.23584
   0.00000,  -0.47675
   0.00000,  -0.31460
   0.00000,  -0.80122
   0.00000,  -0.35246
   0.00000,  -0.76277
   0.00000,  -0.22369
   0.00000,  -0.39796
   0.00000,  -0.51837
   0.00000,  -0.18555
   0.00000,  -0.10378
   0.00000,  -0.29802
   0.00000,  -0.32374
   0.00000,  -0.30510
   0.00000,  -0.42284
   0.00000,  -0.75875
   0.00000,  -0.49149
   0.00000,  -0.46640
   0.00000,  -0.58563
