MSE, Q-LIKE
   0.00000,   0.24380
   0.00000,  -0.04250
   0.00000,  -0.07379
   0.00000,   0.03454
   0.00000,  -0.00196
   0.00000,  -0.13453
   0.00000,  -0.63213
   0.00000,  -0.18716
   0.00000,  -0.17918
   0.00000,   0.06296
   0.00000,  -0.41538
   0.00000,  -0.19515
   0.00000,   0.12135
   0.00000,  -0.32569
   0.00000,   0.40212
   0.00000,   0.25854
   0.00000,  -0.25701
   0.00000,   0.12957
   0.00000,  -0.23627
   0.00000,  -0.34909
   0.00000,  -0.24312
   0.00000,   0.38603
   0.00000,  -0.31120
   0.00000,  -0.18564
   0.00000,  -0.16589
   0.00000,  -0.75228
   0.00000,  -0.34153
   0.00000,   0.28799
   0.00000,  -0.35136
   0.00000,  -0.34379
   0.00000,  -0.19406
   0.00000,  -0.14232
   0.00000,  -0.19095
   0.00000,  -0.33095
   0.00000,  -0.30515
   0.00000,  -0.03087
   0.00000,  -0.84372
   0.00000,  -0.18837
   0.00000,  -0.20776
   0.00000,  -0.23531
   0.00000,  -0.19899
   0.00000,  -0.32062
   0.00000,  -0.68487
   0.00000,  -0.98076
   0.00000,  -0.05646
   0.00000,  -0.61596
   0.00000,  -0.31142
   0.00000,  -0.12727
   0.00000,  -0.33003
   0.00000,  -0.07286
   0.00000,  -0.36237
   0.00000,  -0.16694
   0.00000,  -0.66056
   0.00000,  -0.24798
   0.00000,  -1.11516
   0.00000,  -0.16205
   0.00000,  -0.38638
   0.00000,  -0.28116
   0.00000,  -0.21544
   0.00000,   0.02298
   0.00000,  -0.29090
   0.00000,  -0.31081
   0.00000,  -0.73903
   0.00000,  -0.22437
   0.00000,  -0.36170
   0.00000,  -0.55164
   0.00000,  -0.38646
   0.00000,  -0.24078
   0.00000,   0.01667
   0.00000,  -0.32866
   0.00000,  -0.42851
   0.00000,  -0.15999
   0.00000,  -0.01779
   0.00000,  -1.40233
   0.00000,  -0.41790
   0.00000,  -0.17781
   0.00000,  -0.33331
   0.00000,  -0.58292
   0.00000,  -0.40713
   0.00000,  -0.94267
   0.00000,   0.26547
   0.00000,  -0.11644
   0.00000,  -0.95155
   0.00000,  -0.39168
   0.00000,  -0.11456
   0.00000,   0.03506
   0.00000,  -0.73098
   0.00000,  -0.35437
   0.00000,  -0.17949
   0.00000,  -0.32935
   0.00000,  -0.14587
   0.00000,  -0.44292
   0.00000,  -0.09977
   0.00000,  -0.34798
   0.00000,  -0.16567
   0.00000,  -0.05270
   0.00000,  -0.15377
   0.00000,  -0.84308
   0.00000,  -0.59725
   0.00000,  -0.54643
   0.00000,  -0.57574
   0.00000,  -0.42816
   0.00000,  -0.69374
   0.00000,  -0.95112
   0.00000,  -0.95423
   0.00000,  -0.12441
   0.00000,  -0.85815
   0.00000,  -0.66804
   0.00000,  -0.52933
   0.00000,  -0.34103
   0.00000,  -0.78186
   0.00000,  -1.07930
   0.00000,  -0.69502
   0.00000,  -1.01061
   0.00000,  -0.50748
   0.00000,  -0.41192
   0.00000,  -0.90057
   0.00000,  -0.83571
   0.00000,  -0.55218
   0.00000,  -1.06233
   0.00000,  -1.26791
   0.00000,  -0.20713
   0.00000,  -0.65474
   0.00000,  -0.59012
   0.00000,  -0.94563
   0.00000,  -0.78135
   0.00000,  -0.90005
   0.00000,  -0.99767
   0.00000,  -0.59769
   0.00000,  -0.94621
   0.00000,  -0.48723
   0.00000,  -0.41521
   0.00000,  -0.45516
   0.00000,  -0.37232
   0.00000,  -0.20222
   0.00000,  -0.23452
