MSE, Q-LIKE
   0.00000,   0.29556
   0.00000,  -0.33804
   0.00000,  -0.36117
   0.00000,  -0.02437
   0.00000,  -0.27845
   0.00000,  -0.35148
   0.00000,  -1.02590
   0.00000,  -0.63913
   0.00000,  -0.58352
   0.00000,  -0.22904
   0.00000,  -0.70619
   0.00000,  -0.58902
   0.00000,  -0.35332
   0.00000,  -0.64328
   0.00000,   0.13386
   0.00000,  -0.08658
   0.00000,  -0.44961
   0.00000,  -0.24620
   0.00000,  -1.02450
   0.00000,  -0.27277
   0.00000,  -0.39532
   0.00000,  -0.24957
   0.00000,  -0.85990
   0.00000,  -0.54696
   0.00000,  -0.13362
   0.00000,  -0.86402
   0.00000,  -0.78621
   0.00000,   0.42975
   0.00000,  -0.52180
   0.00000,  -0.49003
   0.00000,  -0.47425
   0.00000,  -0.39523
   0.00000,  -0.49894
   0.00000,  -0.66906
   0.00000,  -0.65111
   0.00000,  -0.41020
   0.00000,  -1.41392
   0.00000,  -0.79989
   0.00000,  -0.66665
   0.00000,  -0.91740
   0.00000,  -0.63455
   0.00000,  -1.00827
   0.00000,  -1.35111
   0.00000,  -0.10631
   0.00000,  -0.28773
   0.00000,  -0.72291
   0.00000,  -1.14256
   0.00000,  -0.35518
   0.00000,  -0.64944
   0.00000,  -0.40503
   0.00000,  -0.72795
   0.00000,  -0.50753
   0.00000,  -0.95031
   0.00000,  -0.62561
   0.00000,  -0.78583
   0.00000,  -0.30203
   0.00000,  -0.65741
   0.00000,  -0.84290
   0.00000,  -0.55294
   0.00000,  -0.41797
   0.00000,  -0.83889
   0.00000,  -0.86950
   0.00000,  -1.06727
   0.00000,  -0.63315
   0.00000,  -0.71224
   0.00000,  -0.96120
   0.00000,  -0.72440
   0.00000,  -0.77637
   0.00000,  -0.63308
   0.00000,  -0.62792
   0.00000,  -0.88924
   0.00000,  -0.61246
   0.00000,  -0.33302
   0.00000,  -1.83756
   0.00000,  -0.74068
   0.00000,  -0.55412
   0.00000,  -0.73624
   0.00000,  -1.28725
   0.00000,  -0.97740
   0.00000,  -1.68418
   0.00000,   0.22672
   0.00000,  -0.49804
   0.00000,  -0.87109
   0.00000,  -0.67750
   0.00000,  -0.58876
   0.00000,  -0.07719
   0.00000,  -0.89332
   0.00000,  -0.62324
   0.00000,  -0.48746
   0.00000,  -0.59199
   0.00000,  -0.32264
   0.00000,  -0.73267
   0.00000,  -0.34514
   0.00000,  -0.51720
   0.00000,  -0.40557
   0.00000,  -0.32412
   0.00000,  -0.44951
   0.00000,  -0.93615
   0.00000,  -0.89217
   0.00000,  -0.71361
   0.00000,  -0.68997
   0.00000,  -0.66849
   0.00000,  -0.66855
   0.00000,  -1.00566
   0.00000,  -0.64710
   0.00000,  -0.25674
   0.00000,  -1.21816
   0.00000,  -0.79588
   0.00000,  -0.80890
   0.00000,  -0.62482
   0.00000,  -1.00673
   0.00000,  -1.40541
   0.00000,  -0.65050
   0.00000,  -1.17139
   0.00000,  -0.66308
   0.00000,  -0.58473
   0.00000,  -1.23047
   0.00000,  -0.93872
   0.00000,  -0.83047
   0.00000,  -1.30490
   0.00000,  -2.01774
   0.00000,  -0.28081
   0.00000,  -0.81095
   0.00000,  -0.67016
   0.00000,  -0.99124
   0.00000,  -1.03447
   0.00000,  -1.23716
   0.00000,  -1.01852
   0.00000,  -0.69760
   0.00000,  -0.94434
   0.00000,  -0.74643
   0.00000,  -0.77467
   0.00000,  -0.71959
   0.00000,  -0.70694
   0.00000,  -0.40606
   0.00000,  -0.46877
   0.00000,  -0.77330
   0.00000,  -0.56082
   0.00000,  -1.52347
   0.00000,  -0.71233
   0.00000,  -1.04047
   0.00000,  -0.83531
   0.00000,  -1.07875
   0.00000,  -1.36920
   0.00000,  -1.19290
   0.00000,  -1.09821
   0.00000,  -0.75173
   0.00000,  -1.20902
   0.00000,  -1.66062
   0.00000,  -0.73484
   0.00000,  -0.93670
   0.00000,  -0.89797
   0.00000,  -0.79014
   0.00000,  -0.96591
   0.00000,  -1.20896
   0.00000,  -0.61494
   0.00000,  -0.96137
   0.00000,  -0.84083
   0.00000,  -1.19910
   0.00000,  -1.72619
   0.00000,  -1.17512
   0.00000,  -0.83784
   0.00000,  -1.07143
   0.00000,  -1.63998
   0.00000,  -1.12524
   0.00000,  -1.38850
   0.00000,  -0.86272
   0.00000,  -1.28916
   0.00000,  -0.58854
   0.00000,  -0.70081
   0.00000,  -0.86883
   0.00000,  -0.52946
   0.00000,  -0.67119
   0.00000,  -0.73054
   0.00000,  -0.74699
   0.00000,  -0.58433
   0.00000,  -0.73404
   0.00000,  -0.99006
   0.00000,  -0.72984
   0.00000,  -0.67177
   0.00000,  -0.76709
   0.00000,  -1.04125
   0.00000,  -0.66239
   0.00000,  -1.05475
   0.00000,  -1.00830
   0.00000,  -0.74385
   0.00000,  -0.84271
   0.00000,  -1.12634
   0.00000,  -0.92863
   0.00000,  -1.38434
   0.00000,  -0.91639
   0.00000,  -1.40425
   0.00000,  -1.21816
   0.00000,  -1.38905
   0.00000,  -1.68797
   0.00000,  -1.43712
   0.00000,  -1.07402
   0.00000,  -1.19932
   0.00000,  -1.11991
   0.00000,  -0.90653
   0.00000,  -1.06716
   0.00000,  -0.74807
   0.00000,  -1.92870
   0.00000,  -0.87935
   0.00000,  -1.11464
   0.00000,  -0.92049
   0.00000,  -1.12502
   0.00000,  -1.10738
   0.00000,  -0.74230
   0.00000,  -1.37024
   0.00000,  -1.39178
   0.00000,  -0.81729
   0.00000,  -0.78607
   0.00000,  -0.75239
   0.00000,  -0.71346
   0.00000,  -0.91015
   0.00000,  -0.81723
   0.00000,  -1.16832
   0.00000,  -0.96398
   0.00000,  -1.14124
   0.00000,  -1.02678
   0.00000,  -1.09301
   0.00000,  -1.02748
   0.00000,  -1.12707
   0.00000,  -1.19318
   0.00000,  -0.87100
   0.00000,  -1.48905
   0.00000,  -1.16735
   0.00000,  -1.07853
   0.00000,  -1.04561
   0.00000,  -1.03378
   0.00000,  -1.28473
   0.00000,  -1.14053
   0.00000,  -1.59351
   0.00000,  -1.07905
   0.00000,  -1.54068
   0.00000,  -1.28665
   0.00000,  -1.24835
   0.00000,  -1.58898
   0.00000,  -1.15595
   0.00000,  -1.26874
   0.00000,  -1.23237
   0.00000,  -0.92083
   0.00000,  -0.65520
   0.00000,  -0.75459
   0.00000,  -0.83642
   0.00000,  -0.94790
   0.00000,  -1.37117
   0.00000,  -0.79114
   0.00000,  -1.47611
   0.00000,  -0.85714
   0.00000,  -1.08658
   0.00000,  -0.89146
   0.00000,  -0.97598
   0.00000,  -1.25886
   0.00000,  -1.54820
   0.00000,  -1.30617
