MSE, Q-LIKE
   0.00000,   0.82674
   0.00000,   0.31253
   0.00000,   0.38904
   0.00000,   0.66101
   0.00000,   0.39521
   0.00000,   0.26922
   0.00000,  -0.65150
   0.00000,  -0.09748
   0.00000,   0.32338
   0.00000,   0.43345
   0.00000,  -0.20989
   0.00000,   0.01259
   0.00000,   0.66677
   0.00000,  -0.83795
   0.00000,   0.51722
   0.00000,   0.56170
   0.00000,  -0.19745
   0.00000,   0.58934
   0.00000,  -0.61879
   0.00000,  -0.07524
   0.00000,   0.04544
   0.00000,   0.87162
   0.00000,   0.00917
   0.00000,   0.06715
   0.00000,   0.51984
   0.00000,  -0.08359
   0.00000,   0.11385
   0.00000,   0.93865
   0.00000,  -0.11633
   0.00000,   0.06643
   0.00000,   0.29157
   0.00000,   0.06306
   0.00000,   0.15240
   0.00000,  -0.53677
   0.00000,  -0.32883
   0.00000,   0.34631
   0.00000,  -1.64756
   0.00000,  -0.00699
   0.00000,   0.04433
   0.00000,  -0.02191
   0.00000,   0.08896
   0.00000,   0.11933
   0.00000,  -1.04029
   0.00000,  -3.66553
   0.00000,   0.29562
   0.00000,  -0.56466
   0.00000,  -0.27941
   0.00000,   0.28913
   0.00000,   0.03454
   0.00000,   0.36053
   0.00000,  -0.04866
   0.00000,   0.29553
   0.00000,  -0.55172
   0.00000,   0.12216
   0.00000,  -1.10068
   0.00000,   0.05655
   0.00000,  -0.09731
   0.00000,  -0.09485
   0.00000,  -0.02603
   0.00000,   0.38630
   0.00000,  -0.13459
   0.00000,   0.01225
   0.00000,  -0.31366
   0.00000,   0.01066
   0.00000,   0.15670
   0.00000,   0.11784
   0.00000,  -0.00592
   0.00000,   0.05374
   0.00000,   0.50122
   0.00000,   0.06119
   0.00000,  -0.48169
   0.00000,   0.29474
   0.00000,   0.43457
   0.00000,  -2.41041
   0.00000,  -0.18067
   0.00000,   0.18853
   0.00000,  -0.15083
   0.00000,  -0.65542
   0.00000,  -0.41767
   0.00000,  -0.72167
   0.00000,   0.38144
   0.00000,   0.18846
   0.00000,  -1.08968
   0.00000,   0.19063
   0.00000,   0.30555
   0.00000,   0.14270
   0.00000,  -0.51019
   0.00000,   0.22074
   0.00000,   0.29684
   0.00000,  -0.02432
   0.00000,   0.20104
   0.00000,  -0.06532
   0.00000,   0.41238
   0.00000,  -0.01003
   0.00000,   0.30603
   0.00000,   0.41190
   0.00000,   0.28953
   0.00000,  -0.56048
   0.00000,  -0.40732
   0.00000,  -0.20962
   0.00000,  -0.33307
   0.00000,  -0.32531
   0.00000,  -0.60515
   0.00000,  -0.93653
   0.00000,  -0.55000
   0.00000,   0.42556
   0.00000,  -0.20928
   0.00000,  -0.37954
   0.00000,   0.28668
   0.00000,  -0.01830
   0.00000,  -0.49161
   0.00000,  -1.03146
   0.00000,  -0.38272
   0.00000,  -1.14342
   0.00000,  -0.05649
   0.00000,   0.07799
   0.00000,  -0.91290
   0.00000,  -0.54698
   0.00000,  -0.24311
   0.00000,  -1.12154
   0.00000,  -0.80255
   0.00000,   0.20844
   0.00000,  -0.30396
   0.00000,  -0.09526
   0.00000,  -0.99121
   0.00000,  -0.52911
   0.00000,  -0.32642
   0.00000,  -0.72443
   0.00000,  -0.20055
   0.00000,  -0.57236
   0.00000,   0.13734
   0.00000,   0.29511
   0.00000,   0.26510
   0.00000,   0.31145
   0.00000,   0.39310
   0.00000,   0.36566
   0.00000,  -0.01532
   0.00000,   0.23013
   0.00000,  -1.11971
   0.00000,  -0.11779
   0.00000,  -0.47992
   0.00000,   0.10757
   0.00000,  -0.38050
   0.00000,  -0.48372
   0.00000,  -1.02536
   0.00000,  -0.30777
   0.00000,   0.06746
   0.00000,  -0.39592
   0.00000,  -1.18053
   0.00000,   0.08822
   0.00000,  -0.17385
   0.00000,  -0.44755
   0.00000,  -0.04891
   0.00000,  -0.07221
   0.00000,  -0.46077
   0.00000,   0.02581
   0.00000,  -1.29198
   0.00000,   0.01310
   0.00000,  -0.45391
   0.00000,  -2.01775
   0.00000,  -0.70479
   0.00000,   0.00898
   0.00000,  -0.68480
   0.00000,  -2.07324
   0.00000,  -0.68879
   0.00000,  -1.03267
   0.00000,   0.04984
   0.00000,  -0.44156
   0.00000,   0.06676
   0.00000,  -0.01823
   0.00000,  -0.61801
   0.00000,   0.06903
   0.00000,  -0.71627
   0.00000,  -0.46502
   0.00000,  -0.69842
   0.00000,  -0.22748
   0.00000,  -0.26496
   0.00000,  -0.70331
   0.00000,  -0.14619
   0.00000,  -0.16184
   0.00000,  -0.33496
   0.00000,  -0.88955
   0.00000,   0.24558
   0.00000,  -0.74724
   0.00000,  -0.48175
   0.00000,  -0.23437
   0.00000,  -0.35250
   0.00000,  -1.28605
   0.00000,  -0.41465
   0.00000,  -1.36860
   0.00000,  -0.55779
   0.00000,  -1.08686
   0.00000,  -1.06066
   0.00000,  -1.42392
   0.00000,  -1.81146
   0.00000,  -0.93358
   0.00000,  -0.72610
   0.00000,  -0.83179
   0.00000,  -0.73257
   0.00000,  -0.45660
   0.00000,  -0.50486
   0.00000,  -0.21215
   0.00000,  -2.87547
   0.00000,  -0.41393
   0.00000,  -0.55869
   0.00000,  -0.65430
   0.00000,  -0.91527
   0.00000,  -1.23551
   0.00000,   0.02552
   0.00000,  -0.68036
   0.00000,  -1.05346
   0.00000,  -0.17994
   0.00000,  -0.07358
   0.00000,  -0.08856
   0.00000,  -0.01720
   0.00000,  -0.41474
   0.00000,  -0.19539
   0.00000,  -0.71645
   0.00000,  -0.26535
   0.00000,  -0.80460
   0.00000,  -0.57535
   0.00000,  -1.59953
   0.00000,  -0.42326
   0.00000,  -0.59719
   0.00000,  -1.21856
   0.00000,  -0.17358
   0.00000,  -1.39360
   0.00000,  -0.63884
   0.00000,  -0.51749
   0.00000,  -0.27809
   0.00000,  -0.39019
   0.00000,  -0.38807
   0.00000,  -0.66598
   0.00000,  -1.10556
   0.00000,  -0.42770
   0.00000,  -1.39192
   0.00000,  -0.83212
   0.00000,  -0.75172
   0.00000,  -1.34375
   0.00000,  -0.49767
   0.00000,   0.00923
   0.00000,  -0.56713
   0.00000,  -0.30120
   0.00000,   0.07251
   0.00000,  -0.20293
   0.00000,  -0.41892
   0.00000,  -0.46318
   0.00000,  -1.73218
   0.00000,  -0.21103
   0.00000,  -1.26504
   0.00000,  -0.28738
   0.00000,  -0.46207
   0.00000,  -0.27932
   0.00000,  -0.30602
   0.00000,  -0.59687
   0.00000,  -1.20163
   0.00000,  -0.72581
   0.00000,  -0.41002
   0.00000,  -0.59920
   0.00000,  -0.91514
   0.00000,  -0.68311
   0.00000,  -1.68758
   0.00000,  -0.63747
   0.00000,  -0.51258
   0.00000,  -1.64067
   0.00000,  -0.31696
   0.00000,  -0.45165
   0.00000,  -0.50152
   0.00000,  -0.44290
   0.00000,  -0.80664
   0.00000,  -0.58467
   0.00000,  -0.28481
   0.00000,  -0.22587
   0.00000,  -0.27189
   0.00000,  -0.51623
   0.00000,  -1.04832
   0.00000,  -0.37542
   0.00000,  -0.15835
   0.00000,   0.46812
   0.00000,  -0.27747
   0.00000,  -0.11081
   0.00000,  -0.37132
   0.00000,  -0.57100
   0.00000,   0.23586
   0.00000,  -0.12249
   0.00000,  -0.31919
   0.00000,   0.07947
   0.00000,  -0.19030
   0.00000,  -0.06386
   0.00000,  -0.21604
   0.00000,  -0.45024
   0.00000,  -0.57814
   0.00000,  -0.48405
   0.00000,  -0.90302
   0.00000,  -0.42727
   0.00000,  -0.57762
