MSE, Q-LIKE
   0.00000,   0.60908
   0.00000,   0.18520
   0.00000,   0.12361
   0.00000,   0.33181
   0.00000,   0.13473
   0.00000,   0.11748
   0.00000,  -0.66239
   0.00000,  -0.12051
   0.00000,  -0.08185
   0.00000,   0.19094
   0.00000,  -0.31845
   0.00000,  -0.10020
   0.00000,   0.21912
   0.00000,   0.07746
   0.00000,   0.47504
   0.00000,   0.31776
   0.00000,  -0.26456
   0.00000,   0.16320
   0.00000,  -0.60453
   0.00000,  -0.21532
   0.00000,  -0.17901
   0.00000,   0.45970
   0.00000,  -0.40786
   0.00000,  -0.18661
   0.00000,   0.17451
   0.00000,  -0.75974
   0.00000,  -0.33139
   0.00000,   0.69269
   0.00000,  -0.20244
   0.00000,  -0.25619
   0.00000,  -0.09222
   0.00000,  -0.09050
   0.00000,  -0.15425
   0.00000,  -0.41814
   0.00000,  -0.26750
   0.00000,  -0.00689
   0.00000,  -1.10427
   0.00000,  -0.26238
   0.00000,  -0.23305
   0.00000,  -0.38286
   0.00000,  -0.25539
   0.00000,  -0.51029
   0.00000,  -0.95944
   0.00000,  -0.38345
   0.00000,  -0.02491
   0.00000,  -0.64389
   0.00000,  -0.64987
   0.00000,  -0.11200
   0.00000,  -0.34674
   0.00000,  -0.08528
   0.00000,  -0.49008
   0.00000,  -0.20782
   0.00000,  -0.92497
   0.00000,  -0.39326
   0.00000,  -1.27990
   0.00000,  -0.19266
   0.00000,  -0.46195
   0.00000,  -0.46500
   0.00000,  -0.40877
   0.00000,  -0.05815
   0.00000,  -0.60438
   0.00000,  -0.53080
   0.00000,  -0.94703
   0.00000,  -0.34317
   0.00000,  -0.57587
   0.00000,  -0.77780
   0.00000,  -0.54300
   0.00000,  -0.47734
   0.00000,  -0.16441
   0.00000,  -0.43134
   0.00000,  -0.64098
   0.00000,  -0.28646
   0.00000,  -0.03352
   0.00000,  -1.69224
   0.00000,  -0.56106
   0.00000,  -0.25992
   0.00000,  -0.51181
   0.00000,  -1.00490
   0.00000,  -0.67562
   0.00000,  -1.61251
   0.00000,   0.36328
   0.00000,  -0.22329
   0.00000,  -1.00568
   0.00000,  -0.45244
   0.00000,  -0.22963
   0.00000,  -0.00352
   0.00000,  -1.06375
   0.00000,  -0.44417
   0.00000,  -0.20783
   0.00000,  -0.30957
   0.00000,  -0.12946
   0.00000,  -0.55023
   0.00000,  -0.01827
   0.00000,  -0.28239
   0.00000,  -0.13326
   0.00000,  -0.00693
   0.00000,  -0.18819
   0.00000,  -1.01972
   0.00000,  -0.62147
   0.00000,  -0.55973
   0.00000,  -0.54655
   0.00000,  -0.50705
   0.00000,  -0.71984
   0.00000,  -1.08095
