MSE, Q-LIKE
   0.00000,   0.70849
   0.00000,   0.15906
   0.00000,   0.11840
   0.00000,   0.49384
   0.00000,   0.26524
   0.00000,   0.11919
   0.00000,  -0.80073
   0.00000,  -0.20620
   0.00000,  -0.10972
   0.00000,   0.30705
   0.00000,  -0.31173
   0.00000,  -0.23594
   0.00000,   0.16627
   0.00000,  -0.38900
   0.00000,   0.67252
   0.00000,   0.43703
   0.00000,  -0.14989
   0.00000,   0.28505
   0.00000,  -0.65440
   0.00000,   0.13569
   0.00000,   0.06422
   0.00000,   0.06156
   0.00000,  -0.44822
   0.00000,  -0.05379
   0.00000,   0.16075
   0.00000,  -0.77913
   0.00000,  -0.54449
   0.00000,   0.75335
   0.00000,  -0.10856
   0.00000,  -0.17100
   0.00000,  -0.13160
   0.00000,   0.04597
   0.00000,  -0.13104
   0.00000,  -0.31347
   0.00000,  -0.22465
   0.00000,   0.08607
   0.00000,  -1.23825
   0.00000,  -0.42586
   0.00000,  -0.30207
   0.00000,  -0.55695
   0.00000,  -0.29836
   0.00000,  -0.65430
   0.00000,  -1.25735
   0.00000,   0.43047
   0.00000,   0.17768
   0.00000,  -0.50206
   0.00000,  -0.89918
   0.00000,   0.01960
   0.00000,  -0.35482
   0.00000,   0.05971
   0.00000,  -0.37346
   0.00000,  -0.09174
   0.00000,  -0.87092
   0.00000,  -0.20143
   0.00000,  -1.05007
   0.00000,   0.08389
   0.00000,  -0.44442
   0.00000,  -0.44471
   0.00000,  -0.26594
   0.00000,   0.10342
   0.00000,  -0.50201
   0.00000,  -0.49390
   0.00000,  -0.88691
   0.00000,  -0.28975
   0.00000,  -0.36014
   0.00000,  -0.75089
   0.00000,  -0.35089
   0.00000,  -0.44283
   0.00000,  -0.06762
   0.00000,  -0.24417
   0.00000,  -0.32272
   0.00000,  -0.12589
   0.00000,   0.18265
   0.00000,  -1.63981
   0.00000,  -0.30441
   0.00000,  -0.09927
   0.00000,  -0.38462
   0.00000,  -0.91721
   0.00000,  -0.54420
   0.00000,  -1.25497
   0.00000,   0.77575
   0.00000,   0.12320
   0.00000,  -0.53079
   0.00000,  -0.26811
   0.00000,  -0.05251
   0.00000,   0.53602
   0.00000,  -0.71740
   0.00000,  -0.16551
   0.00000,  -0.01915
   0.00000,  -0.15460
   0.00000,   0.18386
   0.00000,  -0.47589
   0.00000,   0.16641
   0.00000,  -0.07022
   0.00000,   0.04837
   0.00000,   0.22470
   0.00000,   0.02080
   0.00000,  -0.77082
   0.00000,  -0.59387
   0.00000,  -0.39796
   0.00000,  -0.41329
   0.00000,  -0.42374
   0.00000,  -0.45903
   0.00000,  -1.13805
   0.00000,  -0.94962
   0.00000,   0.17317
   0.00000,  -1.33299
   0.00000,  -0.52584
   0.00000,  -0.51599
   0.00000,  -0.12923
   0.00000,  -0.81196
   0.00000,  -1.47190
   0.00000,  -0.55080
   0.00000,  -1.02466
   0.00000,  -0.40398
   0.00000,  -0.24212
   0.00000,  -1.18094
   0.00000,  -0.94337
   0.00000,  -0.58016
   0.00000,  -1.34923
   0.00000,  -2.43123
   0.00000,   0.06531
   0.00000,  -0.88167
   0.00000,  -0.65637
   0.00000,  -0.82529
   0.00000,  -1.20510
   0.00000,  -1.62764
   0.00000,  -1.41774
   0.00000,  -0.46302
   0.00000,  -1.10227
   0.00000,  -0.52120
   0.00000,  -0.44095
   0.00000,  -0.30874
   0.00000,  -0.28384
   0.00000,   0.08031
   0.00000,  -0.01700
   0.00000,  -0.47803
   0.00000,  -0.20187
   0.00000,  -1.74328
   0.00000,  -0.40169
   0.00000,  -0.83499
   0.00000,  -0.58920
   0.00000,  -0.83971
   0.00000,  -1.11232
   0.00000,  -0.95437
   0.00000,  -0.84627
   0.00000,  -0.31943
   0.00000,  -0.95108
   0.00000,  -1.90434
   0.00000,  -0.27986
   0.00000,  -0.63606
   0.00000,  -0.63128
   0.00000,  -0.42153
   0.00000,  -0.66832
   0.00000,  -0.99060
   0.00000,  -0.27112
   0.00000,  -0.65821
   0.00000,  -0.56049
   0.00000,  -1.13627
   0.00000,  -2.07162
   0.00000,  -1.09767
   0.00000,  -0.56419
   0.00000,  -0.83313
   0.00000,  -1.86933
   0.00000,  -0.98090
   0.00000,  -1.58752
   0.00000,  -0.58960
   0.00000,  -1.33386
   0.00000,  -0.30104
   0.00000,  -0.55588
   0.00000,  -1.04985
   0.00000,  -0.35845
   0.00000,  -0.67230
