MSE, Q-LIKE
   0.00000,   0.60698
   0.00000,   0.11291
   0.00000,   0.06375
   0.00000,   0.32240
   0.00000,   0.07041
   0.00000,   0.24338
   0.00000,  -0.62652
   0.00000,  -0.19468
   0.00000,  -0.37478
   0.00000,   0.08098
   0.00000,  -0.37104
   0.00000,   0.21269
   0.00000,   0.36445
   0.00000,   0.21681
   0.00000,   0.73240
   0.00000,   0.47386
   0.00000,   0.21415
   0.00000,   0.27515
   0.00000,  -0.40605
   0.00000,  -0.06648
   0.00000,   0.00487
   0.00000,   0.82830
   0.00000,  -0.38671
   0.00000,  -0.01356
   0.00000,   0.72283
   0.00000,   0.30802
   0.00000,   0.48581
   0.00000,   0.87616
   0.00000,   0.07449
   0.00000,   0.14246
   0.00000,   0.22683
   0.00000,   0.04490
   0.00000,  -0.00751
   0.00000,  -0.42829
   0.00000,  -0.13372
   0.00000,  -0.00109
   0.00000,  -1.56756
   0.00000,  -0.03762
   0.00000,   0.00347
   0.00000,  -0.08831
   0.00000,  -0.09885
   0.00000,   0.15312
   0.00000,  -0.14519
   0.00000,  -1.15091
   0.00000,   0.35342
   0.00000,  -0.02331
   0.00000,  -0.19034
   0.00000,   0.40170
   0.00000,   0.23038
   0.00000,   0.23336
   0.00000,  -0.10312
   0.00000,   0.20884
   0.00000,  -0.13626
   0.00000,   0.06999
   0.00000,   0.14279
   0.00000,   0.41159
   0.00000,   0.25558
   0.00000,  -0.03099
   0.00000,   0.62483
   0.00000,   0.48570
   0.00000,   0.42799
   0.00000,   0.15076
   0.00000,  -0.03050
   0.00000,   0.44131
   0.00000,   0.02586
   0.00000,  -0.12347
   0.00000,  -0.22252
   0.00000,   0.28935
   0.00000,   0.25104
   0.00000,   0.16306
   0.00000,  -0.54695
   0.00000,   0.13139
   0.00000,   0.28891
   0.00000,  -1.56810
   0.00000,  -0.22037
   0.00000,   0.19632
   0.00000,   0.00428
   0.00000,  -0.92461
   0.00000,  -0.28326
   0.00000,  -2.19716
   0.00000,   0.28790
   0.00000,   0.13523
   0.00000,  -0.50319
   0.00000,   0.02406
   0.00000,   0.28313
   0.00000,  -0.07360
   0.00000,  -0.21595
   0.00000,  -0.00836
   0.00000,   0.21488
   0.00000,   0.25468
   0.00000,   0.26688
   0.00000,  -0.10799
   0.00000,   0.26542
   0.00000,   0.07213
   0.00000,   0.29773
   0.00000,   0.22077
   0.00000,   0.16008
   0.00000,  -0.51020
   0.00000,  -0.40526
   0.00000,  -0.25578
   0.00000,  -0.18564
   0.00000,  -0.27490
   0.00000,  -0.48295
   0.00000,  -0.52841
   0.00000,   0.19437
   0.00000,   0.10877
   0.00000,  -0.45721
   0.00000,  -0.87715
   0.00000,  -0.16810
   0.00000,  -0.38299
   0.00000,  -1.00817
   0.00000,  -1.10601
   0.00000,  -0.21212
   0.00000,  -1.02451
   0.00000,  -0.02633
   0.00000,  -0.12672
   0.00000,  -1.01306
   0.00000,  -0.49829
   0.00000,  -0.66693
   0.00000,  -1.96224
   0.00000,  -1.72742
   0.00000,  -0.11986
   0.00000,  -0.34042
   0.00000,  -0.45519
   0.00000,  -0.96870
   0.00000,  -0.51244
   0.00000,  -0.14854
   0.00000,  -0.77992
   0.00000,  -0.55804
   0.00000,  -0.50566
   0.00000,  -0.24764
   0.00000,   0.13073
   0.00000,  -0.18635
   0.00000,  -0.06951
   0.00000,   0.07810
   0.00000,   0.13821
   0.00000,   0.02231
   0.00000,   0.09426
   0.00000,  -0.66997
   0.00000,  -0.04583
   0.00000,  -0.49522
   0.00000,  -0.20659
   0.00000,  -0.63495
   0.00000,  -0.92631
   0.00000,  -0.96488
   0.00000,  -0.73796
