MSE, Q-LIKE
   0.00000,   0.49636
   0.00000,   0.37014
   0.00000,   0.30717
   0.00000,   0.56440
   0.00000,   0.47783
   0.00000,   0.29192
   0.00000,  -0.55980
   0.00000,   0.04393
   0.00000,   0.09552
   0.00000,   0.46548
   0.00000,  -0.35332
   0.00000,   0.01174
   0.00000,   0.37417
   0.00000,  -0.36133
   0.00000,   0.83374
   0.00000,   0.57768
   0.00000,   0.18207
   0.00000,   0.43714
   0.00000,  -0.10618
   0.00000,   0.23884
   0.00000,   0.17925
   0.00000,   0.84023
   0.00000,  -0.27130
   0.00000,  -0.00498
   0.00000,   0.41348
   0.00000,  -0.43111
   0.00000,  -0.17743
   0.00000,   0.84559
   0.00000,   0.02000
   0.00000,  -0.02897
   0.00000,  -0.06426
   0.00000,   0.08587
   0.00000,   0.04953
   0.00000,  -0.04645
   0.00000,  -0.03652
   0.00000,   0.28088
   0.00000,  -1.05575
   0.00000,  -0.21271
   0.00000,  -0.06480
   0.00000,  -0.25485
   0.00000,  -0.15761
   0.00000,  -0.37092
   0.00000,  -0.32475
   0.00000,   0.35994
   0.00000,   0.34731
   0.00000,   0.02152
   0.00000,   0.17204
   0.00000,   0.26207
   0.00000,  -0.10903
   0.00000,   0.28142
   0.00000,  -0.01075
   0.00000,   0.18627
   0.00000,  -0.57760
   0.00000,  -0.00781
   0.00000,  -0.73731
   0.00000,   0.23117
   0.00000,  -0.23535
   0.00000,  -0.17189
   0.00000,   0.33009
   0.00000,   0.26104
   0.00000,   0.03414
   0.00000,  -0.14835
   0.00000,  -0.73020
   0.00000,  -0.16924
   0.00000,  -0.10059
   0.00000,  -0.64521
   0.00000,  -0.00279
   0.00000,  -0.04393
   0.00000,   0.22036
   0.00000,   0.03486
   0.00000,  -0.03181
   0.00000,   0.10701
   0.00000,   0.36321
   0.00000,  -2.17286
   0.00000,  -0.33429
   0.00000,   0.09522
   0.00000,  -0.09802
   0.00000,  -0.45183
   0.00000,  -0.22202
   0.00000,  -0.68248
   0.00000,   0.80580
   0.00000,   0.29628
   0.00000,  -0.40157
   0.00000,  -0.13077
   0.00000,   0.05649
   0.00000,   0.62123
   0.00000,  -0.31669
   0.00000,   0.05658
   0.00000,   0.11202
   0.00000,  -0.02505
   0.00000,   0.28596
   0.00000,  -0.22087
   0.00000,   0.22253
   0.00000,   0.01956
   0.00000,   0.09118
   0.00000,   0.27125
   0.00000,   0.14606
   0.00000,  -0.57034
   0.00000,  -0.40258
   0.00000,  -0.33486
   0.00000,  -0.40937
   0.00000,  -0.37749
   0.00000,  -0.34114
   0.00000,  -0.99993
   0.00000,  -0.79740
   0.00000,   0.21826
   0.00000,  -1.21826
   0.00000,  -0.41791
   0.00000,  -0.32949
   0.00000,   0.00444
   0.00000,  -0.55276
   0.00000,  -1.37296
   0.00000,  -0.42621
   0.00000,  -1.01122
   0.00000,  -0.29333
   0.00000,  -0.10878
   0.00000,  -0.93998
   0.00000,  -0.69941
   0.00000,  -0.50248
   0.00000,  -1.01250
   0.00000,  -1.46215
   0.00000,   0.18280
   0.00000,  -0.79707
   0.00000,  -0.66158
   0.00000,  -1.26481
   0.00000,  -1.03256
   0.00000,  -1.23834
   0.00000,  -1.31132
   0.00000,  -0.18284
   0.00000,  -0.82819
   0.00000,  -0.28861
   0.00000,  -0.32384
   0.00000,  -0.09606
   0.00000,  -0.16874
   0.00000,   0.14076
   0.00000,   0.07042
   0.00000,  -0.38872
   0.00000,  -0.15649
   0.00000,  -1.69359
   0.00000,  -0.31719
   0.00000,  -0.69428
   0.00000,  -0.46939
   0.00000,  -0.55718
   0.00000,  -0.73911
   0.00000,  -0.77000
   0.00000,  -0.71093
   0.00000,  -0.15171
   0.00000,  -0.57446
   0.00000,  -1.48722
   0.00000,  -0.07639
   0.00000,  -0.32058
   0.00000,  -0.37644
   0.00000,  -0.13496
   0.00000,  -0.47412
   0.00000,  -0.72526
   0.00000,  -0.07093
   0.00000,  -0.49320
   0.00000,  -0.30522
   0.00000,  -0.93428
   0.00000,  -1.56586
   0.00000,  -0.73081
   0.00000,  -0.31509
   0.00000,  -0.48895
   0.00000,  -1.19877
   0.00000,  -0.54072
   0.00000,  -1.09457
   0.00000,  -0.25752
   0.00000,  -0.86419
   0.00000,  -0.16159
   0.00000,  -0.40492
   0.00000,  -0.83613
   0.00000,  -0.11749
   0.00000,  -0.38730
   0.00000,  -0.54956
   0.00000,  -0.58329
   0.00000,  -0.41059
   0.00000,  -0.47940
   0.00000,  -0.84895
   0.00000,  -0.41655
   0.00000,  -0.45433
   0.00000,  -0.74448
   0.00000,  -0.92231
   0.00000,  -0.27250
   0.00000,  -0.91417
   0.00000,  -0.70557
   0.00000,  -0.28060
   0.00000,  -0.68878
   0.00000,  -0.81882
   0.00000,  -0.58889
   0.00000,  -1.18045
   0.00000,  -0.45556
   0.00000,  -1.29000
   0.00000,  -0.71580
   0.00000,  -1.17468
   0.00000,  -1.13629
   0.00000,  -0.87942
   0.00000,  -0.45820
   0.00000,  -0.86064
   0.00000,  -0.74703
   0.00000,  -0.35206
   0.00000,  -0.48176
   0.00000,  -0.21000
   0.00000,  -1.75144
   0.00000,  -0.38030
   0.00000,  -0.50235
   0.00000,  -0.27753
   0.00000,  -0.71728
   0.00000,  -0.30907
   0.00000,   0.07145
   0.00000,  -0.67090
   0.00000,  -0.66987
   0.00000,  -0.04336
   0.00000,   0.02379
   0.00000,   0.05329
   0.00000,   0.08100
   0.00000,  -0.12081
   0.00000,  -0.01525
   0.00000,  -0.32184
   0.00000,  -0.10507
   0.00000,  -0.30451
   0.00000,  -0.23245
   0.00000,  -0.36803
   0.00000,  -0.24261
   0.00000,  -0.30763
   0.00000,  -0.48084
   0.00000,  -0.13220
   0.00000,  -0.73138
   0.00000,  -0.43671
   0.00000,  -0.36178
   0.00000,  -0.17208
   0.00000,  -0.05912
   0.00000,  -0.36625
   0.00000,  -0.23666
   0.00000,  -0.65108
   0.00000,  -0.14207
   0.00000,  -0.71605
   0.00000,  -0.45437
   0.00000,  -0.32206
   0.00000,  -0.95139
   0.00000,  -0.25648
   0.00000,  -0.06626
   0.00000,  -0.37026
   0.00000,  -0.08799
   0.00000,   0.26221
   0.00000,   0.10413
   0.00000,   0.02675
   0.00000,   0.02371
   0.00000,  -0.63687
   0.00000,   0.06356
   0.00000,  -0.52447
   0.00000,   0.09519
   0.00000,  -0.06230
   0.00000,   0.07866
   0.00000,  -0.12294
   0.00000,  -0.44308
   0.00000,  -0.70566
   0.00000,  -0.40136
   0.00000,  -0.13852
   0.00000,  -0.22909
   0.00000,  -0.52462
   0.00000,  -0.26433
   0.00000,  -0.92901
   0.00000,  -0.26632
   0.00000,  -0.37664
   0.00000,  -1.77616
   0.00000,  -0.18310
   0.00000,   0.05260
   0.00000,  -0.37559
   0.00000,  -0.30525
   0.00000,  -0.60535
   0.00000,  -0.71277
   0.00000,  -0.05590
   0.00000,  -0.04847
   0.00000,  -0.15653
