MSE, Q-LIKE
   0.00000,   0.79535
   0.00000,   0.38673
   0.00000,   0.37406
   0.00000,   0.74705
   0.00000,   0.54435
   0.00000,   0.37048
   0.00000,  -0.58043
   0.00000,  -0.11224
   0.00000,   0.06334
   0.00000,   0.46283
   0.00000,  -0.10856
   0.00000,  -0.07438
   0.00000,   0.21109
   0.00000,  -1.27623
   0.00000,   0.72739
   0.00000,   0.45967
   0.00000,   0.04076
   0.00000,   0.35760
   0.00000,  -0.72040
   0.00000,   0.40661
   0.00000,   0.32409
   0.00000,   0.22297
   0.00000,  -0.37742
   0.00000,   0.08893
   0.00000,   0.46614
   0.00000,  -0.17111
   0.00000,  -0.25792
   0.00000,   0.88043
   0.00000,   0.11948
   0.00000,   0.08890
   0.00000,   0.05473
   0.00000,   0.28619
   0.00000,   0.11887
   0.00000,   0.00030
   0.00000,   0.07234
   0.00000,   0.22236
   0.00000,  -1.27344
   0.00000,  -0.45720
   0.00000,  -0.08349
   0.00000,  -0.29363
   0.00000,  -0.06963
   0.00000,  -0.22309
   0.00000,  -0.62419
   0.00000,   0.77709
   0.00000,   0.44604
   0.00000,   0.03523
   0.00000,  -0.57277
   0.00000,   0.26768
   0.00000,  -0.14657
   0.00000,   0.18730
   0.00000,  -0.17999
   0.00000,   0.10286
   0.00000,  -0.63998
   0.00000,   0.00115
   0.00000,  -0.47558
   0.00000,   0.29973
   0.00000,  -0.33917
   0.00000,  -0.51432
   0.00000,   0.07337
   0.00000,   0.28146
   0.00000,  -0.21542
   0.00000,  -0.36160
   0.00000,  -0.50335
   0.00000,  -0.09294
   0.00000,  -0.08834
   0.00000,  -0.53002
   0.00000,  -0.31751
   0.00000,  -0.39186
   0.00000,  -0.05158
   0.00000,  -0.09348
   0.00000,  -0.17921
   0.00000,  -0.05425
   0.00000,   0.25337
   0.00000,  -2.03623
   0.00000,  -0.25513
   0.00000,  -0.00352
   0.00000,  -0.31267
   0.00000,  -1.01592
   0.00000,  -0.65172
   0.00000,  -1.28106
   0.00000,   0.80778
   0.00000,   0.11492
   0.00000,  -0.24768
   0.00000,  -0.20369
   0.00000,  -0.02996
   0.00000,   0.64308
   0.00000,  -0.53446
   0.00000,  -0.06790
   0.00000,  -0.03780
   0.00000,  -0.16086
   0.00000,   0.24426
   0.00000,  -0.59329
   0.00000,   0.19382
   0.00000,  -0.03103
   0.00000,   0.05302
   0.00000,   0.18449
   0.00000,  -0.07389
   0.00000,  -0.81645
   0.00000,  -1.05436
   0.00000,  -0.53381
   0.00000,  -0.42974
   0.00000,  -0.47527
   0.00000,  -0.39140
   0.00000,  -1.21793
   0.00000,  -0.52031
   0.00000,   0.30741
   0.00000,  -1.27872
   0.00000,  -0.40868
   0.00000,  -0.41648
   0.00000,  -0.31043
   0.00000,  -0.98416
   0.00000,  -1.82945
   0.00000,  -0.55268
   0.00000,  -1.19190
   0.00000,  -0.44023
   0.00000,  -0.32673
   0.00000,  -1.59256
   0.00000,  -1.02175
   0.00000,  -0.60824
   0.00000,  -1.45030
   0.00000,  -2.33536
   0.00000,   0.16084
   0.00000,  -0.85098
   0.00000,  -0.57565
   0.00000,  -0.74174
   0.00000,  -1.48676
   0.00000,  -1.69282
   0.00000,  -1.41219
   0.00000,  -0.53708
   0.00000,  -0.99055
   0.00000,  -0.56404
   0.00000,  -0.47391
   0.00000,  -0.40621
   0.00000,  -0.35114
   0.00000,   0.06063
   0.00000,  -0.03073
   0.00000,  -0.49516
   0.00000,  -0.23044
   0.00000,  -2.13494
   0.00000,  -0.39776
   0.00000,  -0.89999
   0.00000,  -0.65643
   0.00000,  -1.06905
   0.00000,  -1.41959
   0.00000,  -1.03194
   0.00000,  -0.96944
   0.00000,  -0.23758
   0.00000,  -1.00484
   0.00000,  -1.95255
   0.00000,  -0.14940
   0.00000,  -0.56666
   0.00000,  -0.38484
   0.00000,  -0.29345
   0.00000,  -0.77293
   0.00000,  -0.89396
   0.00000,  -0.09011
   0.00000,  -0.35791
   0.00000,  -0.43277
   0.00000,  -0.94447
   0.00000,  -1.97945
   0.00000,  -0.92771
   0.00000,  -0.37958
   0.00000,  -0.72309
   0.00000,  -1.91526
   0.00000,  -0.85384
   0.00000,  -1.43634
   0.00000,  -0.48386
   0.00000,  -0.98868
   0.00000,  -0.06799
