MSE, Q-LIKE
   0.00000,   0.50583
   0.00000,   0.12204
   0.00000,   0.11614
   0.00000,   0.38390
   0.00000,   0.13198
   0.00000,   0.04782
   0.00000,  -0.77216
   0.00000,  -0.34760
   0.00000,  -0.18592
   0.00000,   0.18570
   0.00000,  -0.25302
   0.00000,  -0.24361
   0.00000,   0.16684
   0.00000,  -0.46198
   0.00000,   0.32503
   0.00000,   0.25730
   0.00000,  -0.34098
   0.00000,   0.17272
   0.00000,  -0.92150
   0.00000,  -0.01947
   0.00000,  -0.11885
   0.00000,  -0.34793
   0.00000,  -0.46992
   0.00000,  -0.12557
   0.00000,   0.15193
   0.00000,  -0.63020
   0.00000,  -0.40110
   0.00000,   0.68622
   0.00000,  -0.24121
   0.00000,  -0.19435
   0.00000,  -0.15128
   0.00000,  -0.10193
   0.00000,  -0.21494
   0.00000,  -0.56377
   0.00000,  -0.45739
   0.00000,  -0.06735
   0.00000,  -1.41671
   0.00000,  -0.46559
   0.00000,  -0.40838
   0.00000,  -0.58345
   0.00000,  -0.28252
   0.00000,  -0.49206
   0.00000,  -0.77340
   0.00000,  -0.24403
   0.00000,   0.05438
   0.00000,  -0.47459
   0.00000,  -0.50683
   0.00000,  -0.07402
   0.00000,  -0.35482
   0.00000,  -0.05115
   0.00000,  -0.42953
   0.00000,  -0.14673
   0.00000,  -0.84308
   0.00000,  -0.28422
   0.00000,  -0.90327
   0.00000,  -0.07348
   0.00000,  -0.48809
   0.00000,  -0.50362
   0.00000,  -0.53545
   0.00000,  -0.05589
   0.00000,  -0.69429
   0.00000,  -0.58607
   0.00000,  -0.96975
   0.00000,  -0.45230
   0.00000,  -0.51739
   0.00000,  -0.73228
   0.00000,  -0.50743
   0.00000,  -0.61456
   0.00000,  -0.28200
   0.00000,  -0.42798
   0.00000,  -0.80914
   0.00000,  -0.35462
   0.00000,  -0.02905
   0.00000,  -1.52288
   0.00000,  -0.37981
   0.00000,  -0.28843
   0.00000,  -0.62024
   0.00000,  -1.21885
   0.00000,  -0.72517
   0.00000,  -1.59008
   0.00000,   0.51373
   0.00000,  -0.16471
   0.00000,  -0.86866
   0.00000,  -0.36579
   0.00000,  -0.21054
   0.00000,   0.15219
   0.00000,  -0.90427
   0.00000,  -0.35202
   0.00000,  -0.18435
   0.00000,  -0.34801
   0.00000,  -0.06794
   0.00000,  -0.61201
   0.00000,  -0.01780
   0.00000,  -0.31591
   0.00000,  -0.14425
   0.00000,  -0.04296
   0.00000,  -0.25282
   0.00000,  -1.10089
   0.00000,  -0.87448
   0.00000,  -0.62494
   0.00000,  -0.65353
   0.00000,  -0.72174
   0.00000,  -0.74729
   0.00000,  -1.27904
   0.00000,  -1.00927
   0.00000,  -0.00068
   0.00000,  -1.24807
   0.00000,  -0.84809
   0.00000,  -0.61094
   0.00000,  -0.57434
   0.00000,  -1.09738
   0.00000,  -1.52141
   0.00000,  -0.75013
   0.00000,  -1.21420
   0.00000,  -0.58471
   0.00000,  -0.50984
   0.00000,  -1.38470
   0.00000,  -1.15271
   0.00000,  -0.86132
   0.00000,  -1.67149
   0.00000,  -2.20904
   0.00000,  -0.22829
   0.00000,  -0.98256
   0.00000,  -0.69966
   0.00000,  -0.86032
   0.00000,  -1.24702
   0.00000,  -1.51921
   0.00000,  -1.41348
   0.00000,  -0.74940
   0.00000,  -1.21131
   0.00000,  -0.70005
   0.00000,  -0.62781
   0.00000,  -0.59694
   0.00000,  -0.56253
   0.00000,  -0.25636
   0.00000,  -0.33666
   0.00000,  -0.75752
   0.00000,  -0.50385
   0.00000,  -1.97663
   0.00000,  -0.74370
   0.00000,  -1.18710
   0.00000,  -0.79337
   0.00000,  -1.16759
   0.00000,  -1.47557
   0.00000,  -1.33458
   0.00000,  -1.03862
   0.00000,  -0.55833
   0.00000,  -1.12734
   0.00000,  -1.78882
   0.00000,  -0.51598
   0.00000,  -0.82114
   0.00000,  -0.81741
   0.00000,  -0.57811
   0.00000,  -0.73105
   0.00000,  -1.09229
   0.00000,  -0.43877
   0.00000,  -1.05649
   0.00000,  -0.65054
   0.00000,  -1.10753
   0.00000,  -2.03025
   0.00000,  -1.17869
   0.00000,  -0.65578
   0.00000,  -1.09516
   0.00000,  -2.02182
   0.00000,  -1.10809
   0.00000,  -1.49131
   0.00000,  -0.72739
   0.00000,  -1.34030
   0.00000,  -0.39263
   0.00000,  -0.49958
   0.00000,  -0.96155
   0.00000,  -0.46011
   0.00000,  -0.88417
   0.00000,  -0.70641
   0.00000,  -0.89962
   0.00000,  -0.63263
   0.00000,  -0.84124
   0.00000,  -1.16533
   0.00000,  -0.73591
   0.00000,  -0.62188
   0.00000,  -0.80089
   0.00000,  -1.16027
   0.00000,  -0.39140
   0.00000,  -0.96303
   0.00000,  -0.90734
   0.00000,  -0.55708
   0.00000,  -0.61085
   0.00000,  -0.99692
   0.00000,  -0.70825
   0.00000,  -1.16791
   0.00000,  -0.67907
   0.00000,  -1.14589
   0.00000,  -1.01215
   0.00000,  -1.09341
   0.00000,  -1.55108
   0.00000,  -1.19013
   0.00000,  -0.78385
   0.00000,  -0.84691
   0.00000,  -0.76953
   0.00000,  -0.50577
   0.00000,  -0.55972
   0.00000,  -0.27648
   0.00000,  -1.86603
   0.00000,  -0.41926
   0.00000,  -0.69489
   0.00000,  -0.55133
   0.00000,  -0.77865
   0.00000,  -0.81727
   0.00000,  -0.21062
   0.00000,  -0.95470
   0.00000,  -1.10094
   0.00000,  -0.30889
   0.00000,  -0.24268
   0.00000,  -0.21517
   0.00000,  -0.16331
   0.00000,  -0.37767
   0.00000,  -0.26458
   0.00000,  -0.70829
   0.00000,  -0.38785
   0.00000,  -0.69036
   0.00000,  -0.58514
   0.00000,  -0.82093
   0.00000,  -0.52129
   0.00000,  -0.66808
   0.00000,  -0.83272
   0.00000,  -0.33286
   0.00000,  -1.20426
   0.00000,  -0.63271
   0.00000,  -0.52712
   0.00000,  -0.49651
   0.00000,  -0.48263
   0.00000,  -0.74000
   0.00000,  -0.66769
   0.00000,  -1.09959
   0.00000,  -0.51629
   0.00000,  -1.17506
   0.00000,  -0.73241
   0.00000,  -0.72660
   0.00000,  -1.12150
   0.00000,  -0.57374
   0.00000,  -0.53893
   0.00000,  -0.65140
   0.00000,  -0.33368
   0.00000,  -0.03717
   0.00000,  -0.17154
   0.00000,  -0.26011
   0.00000,  -0.31222
   0.00000,  -0.90010
   0.00000,  -0.14322
   0.00000,  -0.98377
   0.00000,  -0.19307
   0.00000,  -0.41988
   0.00000,  -0.20600
   0.00000,  -0.32020
   0.00000,  -0.60300
   0.00000,  -1.02359
   0.00000,  -0.71806
   0.00000,  -0.48569
   0.00000,  -0.47268
   0.00000,  -0.80973
   0.00000,  -0.60673
   0.00000,  -1.32500
   0.00000,  -0.56980
   0.00000,  -0.52310
   0.00000,  -2.02825
   0.00000,  -0.53089
   0.00000,  -0.28673
   0.00000,  -0.70175
   0.00000,  -0.52644
   0.00000,  -0.80647
   0.00000,  -0.75102
   0.00000,  -0.28354
   0.00000,  -0.25241
   0.00000,  -0.35915
   0.00000,  -0.56693
   0.00000,  -0.62629
   0.00000,  -0.27071
   0.00000,  -0.13275
   0.00000,   0.30068
   0.00000,  -0.45808
   0.00000,  -0.17680
   0.00000,  -0.49953
   0.00000,  -0.40303
   0.00000,   0.03172
   0.00000,  -0.01854
   0.00000,  -0.28570
   0.00000,   0.00860
   0.00000,  -0.06551
   0.00000,   0.02758
   0.00000,  -0.11475
   0.00000,  -0.26284
   0.00000,  -0.33266
   0.00000,  -0.35336
   0.00000,  -0.80672
   0.00000,  -0.29922
   0.00000,  -0.33613
   0.00000,  -0.76711
   0.00000,  -0.55490
   0.00000,  -1.27570
   0.00000,  -0.51514
   0.00000,  -0.77555
   0.00000,  -0.85980
   0.00000,  -0.60258
   0.00000,  -1.19551
   0.00000,  -0.42405
   0.00000,  -0.39981
   0.00000,  -1.07043
   0.00000,  -0.88460
   0.00000,  -0.71255
   0.00000,  -0.79680
   0.00000,  -1.68437
   0.00000,  -0.42964
   0.00000,  -0.86423
   0.00000,  -0.57349
   0.00000,  -0.57195
   0.00000,  -0.46696
   0.00000,  -0.88450
   0.00000,  -0.48402
   0.00000,  -0.74676
   0.00000,  -0.39837
   0.00000,  -0.25652
   0.00000,  -0.40151
   0.00000,  -0.75065
   0.00000,  -0.67313
   0.00000,  -0.27006
   0.00000,  -0.54112
   0.00000,  -0.37704
   0.00000,  -0.90567
   0.00000,  -0.40311
   0.00000,  -0.78398
   0.00000,  -0.20737
   0.00000,  -0.28811
   0.00000,  -0.41134
   0.00000,  -0.26488
   0.00000,  -0.04066
   0.00000,  -0.10657
   0.00000,  -0.17819
   0.00000,  -0.22695
   0.00000,  -0.20573
   0.00000,  -0.39067
   0.00000,  -0.42392
   0.00000,  -0.37729
   0.00000,  -0.37580
   0.00000,  -1.13007
   0.00000,  -0.42132
   0.00000,  -0.34387
   0.00000,  -0.73430
   0.00000,  -0.50443
   0.00000,  -0.39048
   0.00000,  -0.40093
   0.00000,  -0.60420
   0.00000,  -0.45830
   0.00000,  -0.91752
   0.00000,  -0.46656
   0.00000,  -0.79423
   0.00000,  -0.73326
   0.00000,  -0.99216
   0.00000,  -0.88715
   0.00000,  -0.68269
   0.00000,  -1.03597
   0.00000,  -1.28783
   0.00000,  -1.33995
   0.00000,  -0.79843
   0.00000,  -0.50267
   0.00000,  -0.96170
   0.00000,  -0.81546
   0.00000,  -0.64606
   0.00000,  -0.78250
   0.00000,  -0.79933
   0.00000,  -0.39032
   0.00000,  -1.02177
   0.00000,  -0.96461
   0.00000,  -0.69469
   0.00000,  -1.04314
   0.00000,  -0.75670
   0.00000,  -0.64341
   0.00000,  -0.56584
   0.00000,  -0.80721
   0.00000,  -0.72641
   0.00000,  -0.74638
   0.00000,  -0.70947
   0.00000,  -0.74589
   0.00000,  -0.73997
   0.00000,  -0.48223
   0.00000,  -0.54368
   0.00000,  -0.92439
   0.00000,  -0.53475
   0.00000,  -0.71296
   0.00000,  -0.58560
   0.00000,  -0.54747
   0.00000,  -0.87616
   0.00000,  -0.83583
   0.00000,  -0.49951
   0.00000,  -0.21565
   0.00000,  -0.56119
   0.00000,  -0.17406
   0.00000,  -0.51483
   0.00000,  -0.50726
   0.00000,  -0.45022
   0.00000,  -0.01857
   0.00000,  -0.32405
   0.00000,  -0.49121
   0.00000,  -0.54966
   0.00000,  -0.58810
   0.00000,  -0.52449
   0.00000,  -0.42708
   0.00000,  -0.35783
   0.00000,  -0.35105
   0.00000,  -0.35950
   0.00000,  -0.41470
   0.00000,  -0.31671
   0.00000,  -0.77459
   0.00000,  -0.65322
   0.00000,  -0.90723
   0.00000,  -0.80489
   0.00000,  -0.78329
   0.00000,  -0.96610
   0.00000,  -0.73555
   0.00000,  -0.78600
   0.00000,  -0.76317
   0.00000,  -0.86911
   0.00000,  -0.80869
   0.00000,  -0.98802
   0.00000,  -0.68373
   0.00000,  -0.67697
   0.00000,  -0.68222
   0.00000,  -0.52577
   0.00000,  -0.56780
   0.00000,  -0.83218
   0.00000,  -0.65820
   0.00000,  -0.73834
   0.00000,  -0.45420
   0.00000,  -0.73555
   0.00000,  -0.89612
   0.00000,  -1.02906
   0.00000,  -0.92507
   0.00000,  -0.82435
   0.00000,  -0.68434
   0.00000,  -0.69590
   0.00000,  -0.92894
   0.00000,  -1.18768
   0.00000,  -0.99330
   0.00000,  -0.93977
   0.00000,  -1.36635
   0.00000,  -1.49420
   0.00000,  -1.54010
   0.00000,  -1.52919
   0.00000,  -0.89309
   0.00000,  -0.73848
   0.00000,  -0.74503
   0.00000,  -0.53006
   0.00000,  -0.68101
   0.00000,  -0.86930
   0.00000,  -0.92342
   0.00000,  -0.79137
   0.00000,  -0.80521
   0.00000,  -0.96374
   0.00000,  -0.90992
   0.00000,  -0.94546
   0.00000,  -0.72430
   0.00000,  -0.70326
   0.00000,  -0.74117
   0.00000,  -0.97098
   0.00000,  -1.11774
   0.00000,  -0.97825
   0.00000,   0.16292
   0.00000,  -0.56378
   0.00000,  -0.33407
   0.00000,  -0.76350
   0.00000,  -1.45805
   0.00000,  -1.42285
   0.00000,  -1.42884
   0.00000,  -1.32531
   0.00000,  -1.02940
   0.00000,  -1.12778
   0.00000,  -1.08897
   0.00000,  -1.25156
   0.00000,  -1.28784
   0.00000,  -1.19454
   0.00000,  -1.30703
   0.00000,  -0.78684
   0.00000,  -0.75154
   0.00000,  -0.90074
   0.00000,  -0.37983
   0.00000,  -1.08523
   0.00000,  -1.31494
   0.00000,  -1.34471
   0.00000,  -1.17368
   0.00000,  -0.92400
   0.00000,  -1.17785
   0.00000,  -1.02628
   0.00000,  -1.04378
   0.00000,  -1.01514
   0.00000,  -0.94331
   0.00000,  -0.80193
   0.00000,  -1.16824
   0.00000,  -0.79056
   0.00000,  -1.25597
   0.00000,  -0.41455
   0.00000,  -1.10032
   0.00000,  -1.09655
   0.00000,  -0.84632
   0.00000,  -1.05868
   0.00000,  -0.89862
   0.00000,  -1.29674
   0.00000,  -0.93463
   0.00000,  -0.92869
   0.00000,  -0.79213
   0.00000,  -0.61987
   0.00000,  -0.93211
   0.00000,  -0.57093
   0.00000,  -1.31337
   0.00000,  -0.87537
   0.00000,  -0.99524
   0.00000,  -1.26099
   0.00000,  -1.09693
   0.00000,  -0.54878
   0.00000,  -0.92423
   0.00000,  -0.66874
   0.00000,   0.45726
   0.00000,  -0.99531
   0.00000,  -0.21719
   0.00000,  -0.50787
   0.00000,  -0.39584
   0.00000,  -0.84132
   0.00000,  -0.72974
   0.00000,  -0.81750
   0.00000,  -0.47147
   0.00000,  -0.76162
   0.00000,  -0.53495
   0.00000,  -0.69340
   0.00000,  -0.59598
   0.00000,  -0.68402
   0.00000,  -0.51685
   0.00000,  -1.09131
   0.00000,  -1.07354
   0.00000,  -1.06317
   0.00000,  -0.55709
   0.00000,  -0.64578
   0.00000,  -0.25403
   0.00000,  -0.95136
   0.00000,  -1.03802
   0.00000,  -1.05507
   0.00000,  -1.29794
   0.00000,  -1.23824
   0.00000,  -1.29382
   0.00000,  -1.31493
   0.00000,  -1.78849
   0.00000,  -1.81632
   0.00000,  -1.58161
   0.00000,  -1.18873
   0.00000,  -1.42343
   0.00000,  -1.23732
   0.00000,  -1.31294
   0.00000,  -1.33095
   0.00000,  -1.41096
   0.00000,  -1.22825
   0.00000,  -0.95863
   0.00000,  -1.20759
   0.00000,  -1.41591
   0.00000,  -1.22184
   0.00000,  -1.19328
   0.00000,  -0.98468
   0.00000,  -1.19540
   0.00000,  -1.29933
   0.00000,  -1.05729
   0.00000,  -0.37921
   0.00000,  -1.03041
   0.00000,  -0.82642
   0.00000,  -1.08155
   0.00000,  -0.90804
   0.00000,  -0.39404
   0.00000,  -0.76371
   0.00000,  -1.08915
   0.00000,  -1.01069
   0.00000,  -0.83752
   0.00000,  -0.97156
   0.00000,  -0.86364
   0.00000,  -1.06547
   0.00000,  -1.10979
   0.00000,  -0.92360
   0.00000,  -1.12564
   0.00000,  -1.10323
   0.00000,  -1.07490
   0.00000,  -0.99059
   0.00000,  -0.79322
   0.00000,  -0.83525
   0.00000,  -1.04129
   0.00000,  -1.08955
   0.00000,  -1.12254
   0.00000,  -1.28364
   0.00000,  -1.53479
   0.00000,  -1.17410
   0.00000,  -1.25712
   0.00000,  -1.39050
   0.00000,  -1.22373
   0.00000,  -1.23957
   0.00000,  -1.16519
   0.00000,  -1.24818
   0.00000,  -1.06926
   0.00000,  -0.84115
   0.00000,  -0.96321
   0.00000,  -1.10185
   0.00000,  -1.00070
   0.00000,  -0.98706
   0.00000,  -0.89587
   0.00000,  -0.28011
   0.00000,  -0.63428
   0.00000,  -0.95151
