MSE, Q-LIKE
   0.00000,   0.54466
   0.00000,   0.02498
   0.00000,  -0.03760
   0.00000,   0.30254
   0.00000,   0.11580
   0.00000,  -0.04373
   0.00000,  -0.79840
   0.00000,  -0.39277
   0.00000,  -0.62036
   0.00000,  -0.05475
   0.00000,  -0.51096
   0.00000,  -0.59875
   0.00000,  -0.21255
   0.00000,  -0.66247
   0.00000,   0.49231
   0.00000,   0.04015
   0.00000,  -0.59858
   0.00000,  -0.11058
   0.00000,  -0.80626
   0.00000,  -0.21795
   0.00000,  -0.24874
   0.00000,  -0.94766
   0.00000,  -1.00297
   0.00000,  -0.34691
   0.00000,   0.02390
   0.00000,  -0.88927
   0.00000,  -0.70637
   0.00000,   0.40891
   0.00000,  -0.34459
   0.00000,  -0.52797
   0.00000,  -0.45585
   0.00000,  -0.25744
   0.00000,  -0.47487
   0.00000,  -0.61617
   0.00000,  -0.61952
   0.00000,  -0.34242
   0.00000,  -1.48092
   0.00000,  -0.81885
   0.00000,  -0.72813
   0.00000,  -1.09189
   0.00000,  -0.83979
   0.00000,  -1.21056
   0.00000,  -1.58543
   0.00000,   0.08641
   0.00000,  -0.31970
   0.00000,  -0.97595
   0.00000,  -1.30911
   0.00000,  -0.49552
   0.00000,  -0.87691
   0.00000,  -0.43916
   0.00000,  -0.84361
   0.00000,  -0.60988
   0.00000,  -1.40781
   0.00000,  -0.77886
   0.00000,  -1.56954
   0.00000,  -0.50404
   0.00000,  -1.02098
   0.00000,  -1.02184
   0.00000,  -0.84166
   0.00000,  -0.44709
   0.00000,  -1.03890
   0.00000,  -1.01400
   0.00000,  -1.41946
   0.00000,  -0.74652
   0.00000,  -0.88007
   0.00000,  -1.34506
   0.00000,  -0.88862
   0.00000,  -0.92982
   0.00000,  -0.72494
   0.00000,  -0.82742
   0.00000,  -1.03236
   0.00000,  -0.73617
   0.00000,  -0.30804
   0.00000,  -1.77758
   0.00000,  -0.72810
   0.00000,  -0.61359
   0.00000,  -0.98848
   0.00000,  -1.72209
   0.00000,  -0.98421
   0.00000,  -2.39437
   0.00000,   0.48377
   0.00000,  -0.32868
   0.00000,  -0.97192
   0.00000,  -0.63188
   0.00000,  -0.48602
   0.00000,   0.17970
   0.00000,  -1.12720
   0.00000,  -0.54905
   0.00000,  -0.47961
   0.00000,  -0.58557
   0.00000,  -0.29491
   0.00000,  -0.93780
   0.00000,  -0.23951
   0.00000,  -0.47505
   0.00000,  -0.35813
   0.00000,  -0.25298
   0.00000,  -0.50074
   0.00000,  -1.28948
   0.00000,  -1.11068
   0.00000,  -0.97359
   0.00000,  -0.92953
   0.00000,  -1.11975
   0.00000,  -1.07711
   0.00000,  -1.65191
   0.00000,  -1.41615
   0.00000,  -0.42397
   0.00000,  -1.81930
   0.00000,  -1.20123
   0.00000,  -0.99909
   0.00000,  -0.64060
   0.00000,  -1.24175
   0.00000,  -1.71380
   0.00000,  -0.74832
   0.00000,  -1.23970
   0.00000,  -0.77983
   0.00000,  -0.70477
   0.00000,  -1.50100
   0.00000,  -1.52330
   0.00000,  -1.12878
   0.00000,  -2.21656
   0.00000,  -3.00860
   0.00000,  -0.39112
   0.00000,  -1.27676
   0.00000,  -1.12966
   0.00000,  -0.99707
   0.00000,  -1.44960
   0.00000,  -1.94396
   0.00000,  -1.74267
   0.00000,  -0.82302
   0.00000,  -1.33770
   0.00000,  -0.96189
   0.00000,  -0.87064
   0.00000,  -0.76417
   0.00000,  -0.69914
   0.00000,  -0.33853
   0.00000,  -0.42052
   0.00000,  -0.81867
   0.00000,  -0.57422
   0.00000,  -1.90456
   0.00000,  -0.76096
   0.00000,  -1.21826
   0.00000,  -0.98154
   0.00000,  -1.19684
   0.00000,  -1.48759
   0.00000,  -1.15501
   0.00000,  -1.09204
   0.00000,  -0.57777
   0.00000,  -1.13947
   0.00000,  -1.78824
   0.00000,  -0.58384
   0.00000,  -0.88990
   0.00000,  -0.89649
   0.00000,  -0.71784
   0.00000,  -0.97112
   0.00000,  -1.23836
   0.00000,  -0.49676
   0.00000,  -0.67921
   0.00000,  -0.70496
   0.00000,  -1.22403
   0.00000,  -1.75020
   0.00000,  -1.11776
   0.00000,  -0.69964
   0.00000,  -0.94135
   0.00000,  -1.75242
   0.00000,  -1.13339
   0.00000,  -1.46443
   0.00000,  -0.70665
   0.00000,  -1.04470
   0.00000,  -0.26253
   0.00000,  -0.56036
   0.00000,  -0.78220
   0.00000,  -0.42215
   0.00000,  -0.63007
   0.00000,  -0.60669
   0.00000,  -0.75269
   0.00000,  -0.62629
   0.00000,  -0.86648
   0.00000,  -1.17726
   0.00000,  -0.87392
   0.00000,  -0.71899
   0.00000,  -0.95022
   0.00000,  -1.17546
   0.00000,  -0.66698
   0.00000,  -1.07222
   0.00000,  -1.16336
   0.00000,  -0.70982
   0.00000,  -1.04773
   0.00000,  -1.31388
   0.00000,  -1.06628
   0.00000,  -1.49428
   0.00000,  -1.00242
   0.00000,  -1.43190
   0.00000,  -1.36027
   0.00000,  -1.42922
   0.00000,  -1.89344
   0.00000,  -1.62206
   0.00000,  -1.14853
   0.00000,  -1.23918
   0.00000,  -1.11171
   0.00000,  -0.76424
   0.00000,  -0.94198
   0.00000,  -0.62843
   0.00000,  -2.07239
   0.00000,  -0.78715
   0.00000,  -0.96645
   0.00000,  -0.74302
   0.00000,  -1.17759
   0.00000,  -0.92780
   0.00000,  -0.49808
   0.00000,  -1.35563
   0.00000,  -1.30521
   0.00000,  -0.61029
   0.00000,  -0.51274
   0.00000,  -0.42247
   0.00000,  -0.37526
   0.00000,  -0.53005
   0.00000,  -0.43547
   0.00000,  -0.84315
   0.00000,  -0.59812
   0.00000,  -0.79552
   0.00000,  -0.75604
   0.00000,  -0.59131
   0.00000,  -0.70644
   0.00000,  -0.81847
   0.00000,  -0.92834
   0.00000,  -0.56061
   0.00000,  -1.26469
   0.00000,  -0.82768
   0.00000,  -0.70802
   0.00000,  -0.80508
   0.00000,  -0.69891
   0.00000,  -1.03851
   0.00000,  -0.78976
   0.00000,  -1.36408
   0.00000,  -0.77236
   0.00000,  -1.36761
   0.00000,  -1.09026
   0.00000,  -0.93854
   0.00000,  -1.45055
   0.00000,  -0.85498
   0.00000,  -0.79030
   0.00000,  -1.01066
   0.00000,  -0.62733
   0.00000,  -0.27587
   0.00000,  -0.42788
   0.00000,  -0.47555
   0.00000,  -0.55965
   0.00000,  -1.03719
   0.00000,  -0.38786
   0.00000,  -1.34504
   0.00000,  -0.48726
   0.00000,  -0.70443
   0.00000,  -0.44917
   0.00000,  -0.54423
   0.00000,  -0.83913
   0.00000,  -1.24814
   0.00000,  -0.92196
   0.00000,  -0.67947
   0.00000,  -0.67580
   0.00000,  -1.07910
   0.00000,  -0.80639
   0.00000,  -1.36395
   0.00000,  -0.72807
   0.00000,  -0.88447
   0.00000,  -2.23129
   0.00000,  -0.89907
   0.00000,  -0.40965
   0.00000,  -0.92609
   0.00000,  -0.75581
   0.00000,  -1.04957
   0.00000,  -1.23752
   0.00000,  -0.57933
   0.00000,  -0.54150
   0.00000,  -0.68417
   0.00000,  -0.92170
   0.00000,  -0.78980
   0.00000,  -0.49120
   0.00000,  -0.37639
   0.00000,   0.00811
   0.00000,  -0.74981
   0.00000,  -0.43913
   0.00000,  -0.78660
   0.00000,  -0.60089
   0.00000,  -0.18129
   0.00000,  -0.18988
   0.00000,  -0.51824
   0.00000,  -0.16369
   0.00000,  -0.28192
   0.00000,  -0.12961
   0.00000,  -0.37851
   0.00000,  -0.53728
   0.00000,  -0.66571
   0.00000,  -0.63257
   0.00000,  -1.32838
   0.00000,  -0.62004
   0.00000,  -0.68570
   0.00000,  -1.10260
   0.00000,  -0.78112
   0.00000,  -1.41110
   0.00000,  -0.82906
   0.00000,  -1.08765
   0.00000,  -1.14973
   0.00000,  -1.00886
   0.00000,  -1.56630
   0.00000,  -0.80899
   0.00000,  -0.75315
   0.00000,  -1.58448
   0.00000,  -1.30931
   0.00000,  -1.15786
   0.00000,  -1.22915
   0.00000,  -2.32457
   0.00000,  -0.84473
   0.00000,  -1.39191
   0.00000,  -1.00089
   0.00000,  -1.04086
   0.00000,  -0.95265
   0.00000,  -1.55413
   0.00000,  -0.95687
   0.00000,  -1.26965
   0.00000,  -0.83334
   0.00000,  -0.69736
   0.00000,  -0.78643
   0.00000,  -1.33695
   0.00000,  -1.20922
   0.00000,  -0.82360
   0.00000,  -1.08810
   0.00000,  -0.89090
   0.00000,  -1.46620
   0.00000,  -0.95277
   0.00000,  -1.45547
   0.00000,  -0.41552
   0.00000,  -0.81099
   0.00000,  -0.94412
   0.00000,  -0.70807
   0.00000,  -0.47096
   0.00000,  -0.51804
   0.00000,  -0.64209
   0.00000,  -0.73414
   0.00000,  -0.69629
   0.00000,  -0.97173
   0.00000,  -0.99876
   0.00000,  -0.93899
   0.00000,  -0.90892
   0.00000,  -1.98022
   0.00000,  -0.93980
   0.00000,  -0.89135
   0.00000,  -1.38687
   0.00000,  -1.06238
   0.00000,  -0.84232
   0.00000,  -0.85891
   0.00000,  -1.13483
   0.00000,  -0.93324
   0.00000,  -1.39550
   0.00000,  -0.92934
   0.00000,  -1.33737
   0.00000,  -1.19581
   0.00000,  -1.49871
   0.00000,  -1.38458
   0.00000,  -1.06634
   0.00000,  -1.46589
   0.00000,  -1.80967
   0.00000,  -1.97179
   0.00000,  -1.31461
   0.00000,  -0.97638
   0.00000,  -1.50238
   0.00000,  -1.39888
   0.00000,  -1.18775
   0.00000,  -1.41947
   0.00000,  -1.35703
   0.00000,  -0.90526
   0.00000,  -1.63125
   0.00000,  -1.58249
   0.00000,  -1.17542
   0.00000,  -1.69810
   0.00000,  -1.38354
   0.00000,  -1.32421
   0.00000,  -1.13562
   0.00000,  -1.43895
   0.00000,  -1.27956
   0.00000,  -1.29089
   0.00000,  -1.23659
   0.00000,  -1.25646
   0.00000,  -1.26728
   0.00000,  -0.97395
   0.00000,  -1.05544
   0.00000,  -1.39404
   0.00000,  -1.01784
   0.00000,  -1.21487
   0.00000,  -1.18145
   0.00000,  -1.03315
   0.00000,  -1.43308
   0.00000,  -1.30015
   0.00000,  -0.90592
   0.00000,  -0.41066
   0.00000,  -0.93312
   0.00000,  -0.53506
   0.00000,  -0.83987
   0.00000,  -0.85511
   0.00000,  -0.76016
   0.00000,  -0.25605
   0.00000,  -0.64540
   0.00000,  -0.79074
   0.00000,  -0.85000
   0.00000,  -0.85463
   0.00000,  -0.73945
   0.00000,  -0.58258
   0.00000,  -0.49240
   0.00000,  -0.46831
   0.00000,  -0.52610
   0.00000,  -0.57677
   0.00000,  -0.43859
   0.00000,  -1.03405
   0.00000,  -0.86125
   0.00000,  -0.94583
   0.00000,  -1.02942
   0.00000,  -1.01672
   0.00000,  -1.16298
   0.00000,  -1.01342
   0.00000,  -1.11936
   0.00000,  -1.02937
   0.00000,  -1.22754
   0.00000,  -1.23661
   0.00000,  -1.40247
   0.00000,  -1.02992
   0.00000,  -1.06213
   0.00000,  -1.02342
   0.00000,  -0.85279
   0.00000,  -0.90290
   0.00000,  -1.24721
   0.00000,  -0.97052
   0.00000,  -1.00947
   0.00000,  -0.67987
   0.00000,  -0.96038
   0.00000,  -1.17591
   0.00000,  -1.36324
   0.00000,  -1.24146
   0.00000,  -1.06717
   0.00000,  -0.85784
   0.00000,  -0.83321
   0.00000,  -1.11029
   0.00000,  -1.42428
   0.00000,  -1.21873
   0.00000,  -1.10649
   0.00000,  -1.58263
   0.00000,  -1.66838
   0.00000,  -1.74941
   0.00000,  -1.76621
   0.00000,  -1.01926
   0.00000,  -0.84124
   0.00000,  -0.87582
   0.00000,  -0.82001
   0.00000,  -0.80233
   0.00000,  -1.00127
   0.00000,  -1.10854
   0.00000,  -0.91057
   0.00000,  -0.90739
   0.00000,  -1.06394
   0.00000,  -0.97868
   0.00000,  -1.05339
   0.00000,  -0.75774
   0.00000,  -0.78872
   0.00000,  -0.82915
   0.00000,  -1.04480
   0.00000,  -1.17520
   0.00000,  -1.03703
   0.00000,   0.07022
   0.00000,  -0.48730
   0.00000,  -0.29850
   0.00000,  -0.67296
   0.00000,  -1.48636
   0.00000,  -1.44644
   0.00000,  -1.40452
   0.00000,  -1.34463
   0.00000,  -1.09907
   0.00000,  -1.11963
   0.00000,  -1.04547
   0.00000,  -1.20449
   0.00000,  -1.25421
   0.00000,  -1.05975
   0.00000,  -1.23476
   0.00000,  -0.55672
   0.00000,  -0.69765
   0.00000,  -0.69320
