MSE,Q-LIKE
   0.00000,  -1.09880
   0.00000,  -1.21301
   0.00000,  -0.56330
   0.00000,  -1.40742
   0.00000,  -0.26830
   0.00000,  -0.35718
   0.00000,  -0.56509
   0.00000,  -0.81453
   0.00000,  -1.00987
   0.00000,  -0.85374
   0.00000,  -0.66659
   0.00000,  -0.61670
   0.00000,  -0.61806
   0.00000,  -1.03650
   0.00000,  -1.60904
   0.00000,  -0.64031
   0.00000,  -0.64968
   0.00000,  -0.36972
   0.00000,  -0.80680
   0.00000,  -0.68458
   0.00000,  -0.35689
   0.00000,  -0.84367
   0.00000,  -0.81654
   0.00000,  -0.49020
   0.00000,  -0.83832
   0.00000,  -0.60313
   0.00000,  -0.51327
